Post iD,Title,Report Year,Status,Year Cancelled,Date of Last Event,Litigation,Litigation Venue,State,County,County ID,Municipality,Type,Capacity,Area,Content,Citations,State_List
2138,Noccalula Wind Energy Center (Etowah County),2025,Canceled,2014.0,2014,Yes,State,AL,Etowah County,01055,,Wind,,,"In August 2014, Pioneer Green Energy, a Texas-based developer, abandoned plans to construct a $160 million wind project comprising 35 to 40 turbines after local residents filed a lawsuit challenging the project and after the state enacted onerous restrictions on wind energy in Etowah County.","William Thorton, Wind Energy Company Pulling out of Cherokee, Etowah County Projects, Opposition Says, Anniston-Gadsden Real-Time News, Aug. 19, 2014, https://www.al.com/news/anniston-gadsden/2014/08/pioneer_green_energy_pulling_o.html.",['AL']
2139,Origis Energy Solar Farm (Covington County),2025,Pending,,2023,No,,AL,Covington County,01039,,Solar,160.0,1000.0,"Local residents expressed strong opposition to a proposed solar farm at an August 21, 2023 meeting reviewing the possible construction of a 160-MW, 1,000-acre solar panel array. The residents opposed the farm for several reasons, including that the farm would be powering communities “over an hour away” and not their own; that the solar farm might encroach on family properties that have existed for generations; and that potential road runoff might impact their well water supplies. Residents also expressed frustration that surveyors had entered their property without their permission. An online petition created by the group “Concerned Citizens of Covington County Alabama” urged Origis Energy to relocate the project to a more remote or industrial area of Covington County. As of December 31, 2023, the petition had 80 signatures.","Robert Blankenship, Oakey Ridge residents adamantly oppose solar farm, Andalusia Star News, Aug. 22, 2023, https://www.andalusiastarnews.com/2023/08/22/oakey-ridge-residents-adamantly-oppose-solar-farm/; Save Covington County from Toxic Solar Farms, Care2 Petitions, https://www.thepetitionsite.com/413/135/680/save-covington-county-from-toxic-solar-farms/ (last visited Jan. 31, 2024)",['AL']
2140,Shinbone Ridge Wind (Cherokee County),2025,Canceled,2014.0,2014,Yes,State,AL,Cherokee County,01019,,Wind,,,"In August 2014, Pioneer Green Energy abandoned plans to construct a $40 million wind project comprising 7 to 8 wind turbines in Cherokee County after local residents filed a lawsuit challenging the project and after the state enacted onerous restrictions on wind energy in Cherokee County.","William Thornton, Alabama Regs Too Strict for Turbines, Says Lawyer for Wind Energy Developer, Anniston-Gadsden Real-Time News, Aug. 20, 2014, https://www.al.com/news/anniston-gadsden/2014/08/alabama_regs_too_strict_for_tu.html; Complaint for Permanent Injunction, Shaver et al. v. Pioneer Green Energy, Case No. CV-2013-900125 (Cherokee Cnty. Oct. 21, 2013), http://www.weisradio.com/wp-content/uploads/2014/03/Cherokee-County-Lawsuit-Shinbone-Wind.pdf.",['AL']
2141,Turkey Heaven Mountain Wind (Cleburne County),2025,Canceled,2015.0,2015,Yes,State,AL,Cleburne County,01029,,Wind,,,"In October 2015, Native Energy Solutions, an Oklahoma-based developer, announced that it was no longer planning to build a wind project in Cleburne County. The project faced opposition from local residents who, in June 2014, filed a lawsuit seeking a permanent injunction that would bar the developer from constructing wind turbines in the County, citing concerns about “wind turbine syndrome” among other things. The developer filed a motion to dismiss, but the motion was denied.","Laura Camper, Wind Turbine Company Has No Plans for Alabama After Lawsuit from Cleburne County Homeowners, The Anniston Star, Oct. 20, 2015, https://www.annistonstar.com/news/wind-turbine-company-has-no-plans-for-alabama-after-lawsuit-from-cleburne-county-homeowners/article_30289b7e-775c-11e5-a572-f775a9d8f777.html; Doggett v. Nat’l Energy Solutions, No. 1:14-cv-02328-JHE, 2015 U.S. Dist. LEXIS 140953 (N.D. Ala. Oct. 16, 2015).",['AL']
2142,Nimbus Wind Farm (Carroll County),2025,Unknown,,2024,No,,AR,Carroll County,05015,,Wind,180.0,,"In 2016, Scout Clean Energy began negotiating contracts with landowners for the 180-MW Nimbus Wind Farm, which would cover 14 square miles of land atop the Ozark Mountains. In 2023, a group called Stop Wind Farms was formed to oppose this development and collected over 1,000 verified signatures in opposition, raising concerns about disturbances to the aesthetic value of the Ozark ridgeline and decreased property values. Nevertheless, on September 17, 2024, the Carroll County Quorum Court approved Scout to use county roads for installation, so long as Scout covered the cost for road maintenance around the wind farm. The project is expected to commence construction in 2025.","Andrew Mobley, Ozark Mountain Residents Opposing Arkansas 'Nimbus' Wind Farm Project, KATV, Sept. 3, 2024, https://katv.com/news/ozark-mountain-residents-opposing-arkansas-first-wind-farm-project-caroline-rogers-richard-williams-scout-clean-energy-nimbus-wind-turbine-green-energy-green-forrest-carroll-county-nature-natural-state-stop-wind-farms-crittenden-cross-quorum-court-lease; Stop Industrial Wind Turbine Farms in Arkansas, Change.org, https://www.change.org/p/stop-industrial-wind-turbine-farms-in-arkansas; Chris Bryant, Judge Says Controversial Wind Farm in Carroll County, Ark., Moving Forward, KY3, Sept. 9, 2024, https://www.ky3.com/2024/09/09/judge-says-controversia-wind-farm-carroll-county-ark-moving-forward/.",['AR']
2143,Wind Catcher Energy Connection Project (Washington County),2025,Canceled,2018.0,2018,No,,AR,Washington County,05143,,Wind,2000.0,,"In July 2018, American Electric Power abandoned plans to build a $4.5 billion, 2,000-MW wind farm in the Oklahoma panhandle, as well as an associated interstate transmission project that would have delivered electricity to Arkansas and other states. In Arkansas, a dark money group called Protect Our Pocketbooks paid for television advertisements claiming that Arkansas would receive no benefits from the project. The developer responded by issuing a statement that Protect Our Pocketbooks was “presenting misleading information to the public, including manipulation of statements by Arkansas Gov. Asa Hutchinson.” The developer further noted that the group “does not reveal the names of its backers or the sources of its substantial funding.” Although the Arkansas Public Service Commission ultimately granted approval for the Arkansas components of the project, the Wind Catcher project was canceled altogether when the Texas Public Service Commission (PSC) denied approval.","Dan Gearino, AEP Cancels Nation’s Largest Wind Farm: 3 Challenges Wind Catcher Faced, Inside Climate News, July 30, 2018, https://insideclimatenews.org/news/30072018/aep-cancels-wind-catcher-largest-wind-farm-oklahoma-oil-gas-opposition-clean-power-plan/; Talk Business & Politics Staff, Sparks Begin to Fly with Wind Catcher Electricity Transmission Project, KUAR, Mar. 7, 2018, https://www.ualrpublicradio.org/local-regional-news/2018-03-07/sparks-begin-to-fly-with-wind-catcher-electricity-transmission-project.",['AR']
2144,Black Mesa Pumped Storage Project (Apache and Navajo Counties),2025,Canceled,,2024,No,,AZ,Apache County|Navajo County,04001|04017,,Storage,6000.0,,"The developer Nature and People First has sought to develop a 6,000-MW, utility-scale pumped storage hydropower project on approximately 400 acres of land. In July 2023, three organizations—Tó Nizhóní Ání, Diné Citizens Against Ruining our Environment, and Center for Biological Diversity—submitted a letter to FERC attaching resolutions against the project from 18 Navajo Nation chapters and agencies. Nearby residents had expressed concerns that the project could damage underground water supplies and sacred lands and that the developer had not sufficiently involved nearby residents. In February 2024, FERC denied applications for a preliminary permit for the project, stating that “[t]he Commission will not issue preliminary permits for projects proposing to use Tribal lands if the Tribes on whose land the project is to be located opposes the permit.”","Renee Romo, Hydropower project at Black Mesa on Navajo Nation draws opponents, KJZZ, Dec. 27, 2023, https://kjzz.org/content/1866630/hydropower-project-black-mesa-navajo-nation-draws-opponents; Kianna Joe, ‘Tó Iiná’, Bodaway-Gap Chapter Passes Resolution Opposing Pumped Storage Project Targeting Dziłyíjiin, Navajo Times, May 25, 2023, https://navajotimes.com/reznews/to-iina-bodaway-gap-chapter-passes-resolution-opposing-pumped-storage-project-targeting-dzilyijiin/; 18 Navajo Nation Chapter and Agency Resolutions Opposing Project, FERC Case Nos. 15233-000, 15234-000, and 15235-000 (July 14, 2023), https://www.biologicaldiversity.org/programs/public_lands/rivers/pdfs/14-July-23-TNA-DINECARE-Center-FERC-FILING.pdf; Alex Hager, Federal energy regulators deny permits for a controversial project on the Navajo Nation, KUNC, Feb. 16, 2024, https://www.kunc.org/news/2024-02-16/federal-energy-regulators-deny-permits-for-a-controversial-project-on-the-navajo-nation; In re Nature and People First Arizona PHS, LLC, Order Denying Applications for Preliminary Permit, 186 FERC ¶ 61,117 (Feb. 15, 2024), https://biologicaldiversity.org/programs/public_lands/rivers/pdfs/20240215-Order-Denying-Preliminary-Permit-Black-Mesa.pdf.",['AZ']
2145,Horus Energy AZ 1 LLC’s Prince Road Solar Project (Cochise County),2025,Canceled,2024.0,2024,No,,AZ,Cochise County,04003,,Solar,75.0,597.0,"On September 11, 2024, the Cochise County Planning and Zoning Commission voted to deny a special use permit to construct a 75-MW solar farm on 597 acres of land. In voting to deny the project, the commission chairwoman stated, “We’ve got too many of these in the county now.”","Shar Porier, County P&Z Denies Special Use Permit for Solar Farm, Herald Review, Sept. 13, 2024, https://www.myheraldreview.com/county-p-z-denies-special-use-permit-for-solar-farm/article_0c16d914-71fb-11ef-8e52-eb0ef4ea0281.html.",['AZ']
2146,SunZia Transmission Line (Cochise County),2025,Pending,,2024,Yes,Federal,AZ,Cochise County,04003,,Transmission,3600.0,,"The SunZia transmission line expects to open in 2026 with the ability to carry more than 3,600 MW of wind power generated in New Mexico wind farms. Its routing in the San Pedro Valley prompted controversy, with the Tohono O’odham, Hopi, Zuni, and San Carlos Apache tribes claiming that the Bureau of Land Management ignored over 15 years of attempts by the tribes to recognize the valley as a culturally significant area. In January 2024, the Tohono O’odham Nation, San Carlos Apache Tribe, Center for Biological Diversity, and Archeology Southwest filed a lawsuit in the U.S. District Court for the District of Arizona, claiming that the review of the project violated NEPA and the NHPA. The lawsuit was dismissed in June 2024 and subsequently appealed to the Ninth Circuit Court of Appeals.","Susan Montoya Bryan & Ken Ritter, Tribes, environmental groups ask US court to block $10B energy transmission project in Arizona, AP, Jan. 23, 2024, https://apnews.com/article/wind-energy-sunzia-transmission-lawsuit-f414b9c3e4d7fc0ae2aee4a0777be92f; Wyatt Myskow, Legal Challenges Continue for SunZia Transmission Line, Inside Climate News, May 8, 2024, https://insideclimatenews.org/news/08052024/sunzia-transmission-line-legal-challenges-continue/; Susan Montoya Bryan, Judge dismisses Native American challenge to $10B SunZia energy transmission project in Arizona, AP, June 6, 2024, https://apnews.com/article/sunzia-wind-energy-native-american-sacred-sites-161e91d2aa47cc6f56c2cc928d133380; Robinson Meyer, The Long, Strange Success Story of America’s Biggest Clean Energy Project, Heatmap, June 18, 2024, https://heatmap.news/economy/sunzia; NATHPO supports Tribal Nations’ consultation on cultural resources in San Pedro Valley, Native American Rights Fund, July 29, 2024, https://narf.org/san-pedro-valley-section-106/; Susan Montoya Bryan, Native American tribes want US appeals court to weigh in on $10B SunZia energy transmission project, AP, Apr. 25, 2024, https://apnews.com/article/sunzia-line-native-american-sacred-sites-ae936488a6cdab7bf4e12d1b4a535b88; Tohono O'odham Nation v. United States Dep't of Interior, No. CV-24-00034-TUC-JGZ, 2024 WL 2863506 (D. Ariz. June 6, 2024).",['AZ']
2147,Altamont Pass Wind Resource Area First-Generation Wind Farms (Alameda and Contra Costa Counties),2025,Unknown,,2004,Yes,State,CA,Alameda County|Contra Costa County,06001|06013,,Wind,,,"In 2004, the Center for Biological Diversity brought a lawsuit against the operators of wind turbines in the Altamont Pass Wind Resource Area in Alameda and Contra Costa Counties, alleging that the “obsolete, first-generation wind turbine generators” being used at the site were killing and injuring birds in violation of the public trust doctrine. The lawsuit was dismissed, and the dismissal was upheld on appeal.","Center for Biological Diversity, Inc. v. FPL Group, Inc., 166 Cal. App. 4th 1349 (2008), as modified on denial of reh’g (Oct. 9, 2008).",['CA']
