Detailed Report,County,State,Municipality,Permitted Uses,Mentions of Moratoria,Sentiment,Sentiment Detail,Recent Projects
https://app.sparkhq.ai/reports?location=28,San Bernardino County,CA,,,Mentions moratoria,,,"CDH Vidal LLC (12/16/2024): The Vidal Solar Project, a 160 MW solar and battery storage facility covering 1,220 acres, is undergoing environmental assessment by WAPA. This significant renewable energy project will enhance local energy storage capacity and infrastructure.; Link: https://www.wapa.gov/transmission/transmission-environmental-review-nepa/vidal-solar/; Bear Valley Electric Service, Inc. (11/18/2024): Bear Valley Electric Service introduced the Bear Valley Solar Energy Project to enhance grid safety and reliability, providing emergency power backup while controlling electricity costs for residents.; Link: https://www.bvesinc.com/assets/documents/efficiency-and-environment/bves-battery-storage-and-solar-energy-press-release-111924.pdf; Clearway Energy Group (10/2/2024): The Daggett Solar + Storage project repurposes a retired gas plant site, utilizing existing transmission infrastructure for efficient renewable energy production while creating jobs and reducing carbon emissions.; Link: https://www.powermag.com/solar-plus-storage-project-brings-new-energy-to-california/"
https://app.sparkhq.ai/reports?location=30,Riverside County,CA,,,Mentions moratoria,MIXED,"- **Positive signals**: Multiple large solar and battery projects have been approved and constructed, including Crimson Storage (350MW), Oberon Solar (500MW), and numerous others, showing strong renewable energy development. - **Mixed reception**: Local residents, particularly in Desert Center, have expressed significant concerns about environmental impacts, groundwater depletion, and visual disturbance from solar projects. - **Regulatory support with conditions**: The county has established clear guidelines for solar development through ordinances and permits, but also requires substantial environmental reviews and mitigation measures.",
https://app.sparkhq.ai/reports?location=37,San Diego County,CA,,,Mentions moratoria,MIXED,"- **Community opposition**: There is significant opposition from local residents and community groups against various solar and wind projects, citing concerns about environmental impacts, community character, and safety risks. - **Regulatory and legal challenges**: Several projects face legal challenges and require extensive environmental reviews, indicating a cautious approach to approving new developments. - **Support for renewable energy**: Despite opposition, there is ongoing support for renewable energy initiatives, with some projects receiving approval and financial backing, reflecting a commitment to advancing clean energy goals.",
https://app.sparkhq.ai/reports?location=44,Kern County,CA,,,Mentions moratoria,,,
https://app.sparkhq.ai/reports?location=48,Butte County,CA,,,Mentions moratoria,MIXED,"- **Community Concerns**: There is significant community opposition to solar projects, particularly regarding their impact on local land use and aesthetics, leading to permit denials for some projects. - **Regulatory Framework**: Butte County has a structured regulatory framework for solar energy, including zoning ordinances and a Utility-Scale Solar Guide, indicating a supportive stance towards renewable energy development. - **Project Approvals and Denials**: While some solar projects have been approved, others have faced denial due to community concerns, reflecting a mixed sentiment towards energy development.",
https://app.sparkhq.ai/reports?location=56,Fresno County,CA,,,Mentions moratoria,GOOD,"- **Strong approval record**: Multiple large-scale solar and battery storage projects have been consistently approved, including the Darden Clean Energy Project (1,150 MW), Scarlet Solar (400 MW), and numerous others. - **Supportive regulatory framework**: County has established clear zoning ordinances and permitting processes specifically for solar projects, particularly in Agricultural zones. - **Positive local government stance**: County officials actively promote renewable energy development, with multiple agencies working to streamline approval processes and facilitate project development.","Intersect Power (10/23/2024): The Darden Clean Energy Project, aiming to be the largest solar facility in the nation with 1.15 GW of solar capacity and a 4,600 MWh battery storage system on 9,500 acres in Fresno County.; Link: https://www.renewableenergyworld.com/solar/utility-scale/two-massive-solar-and-storage-projects-under-review-in-california-would-be-biggest-in-the-u-s/; Ameresco (10/22/2024): A 425MW solar farm and data center project at Naval Air Station Lemoore, utilizing 920 acres and expected to create 400 construction jobs while providing backup power for the Navy base.; Link: https://www.datacenterdynamics.com/en/news/425mw-solar-farm-and-data-center-planned-for-us-navy-airbase-in-california/; Plug Power (10/20/2024): A 300MW solar photovoltaic power project in development, scheduled for commissioning in 2024, wholly owned by Plug Power to expand solar energy capacity in California.; Link: https://www.power-technology.com/data-insights/power-plant-profile-plug-power-fresno-solar-pv-park-us/"
https://app.sparkhq.ai/reports?location=126,Los Angeles County,CA,,,Mentions moratoria,MIXED,"- **Strong support signals**: Los Angeles has approved numerous large solar and battery projects, streamlined permitting processes, and established ambitious renewable energy goals. - **Mixed community response**: While many areas welcome renewable projects, there is significant opposition in communities like Acton regarding battery storage facilities and concerns about safety. - **Regulatory complexity**: The region has a mix of supportive policies but also strict requirements and moratoriums, such as LA County's ban on utility-scale wind turbines and increasing oversight of battery storage facilities.","Milford Solar Phase II, LLC (1/29/2025): 300 MW solar project in Utah with Power Purchase Agreement approved, including renewable energy prepayment financing and federal tax credit considerations.; Link: https://scppa.org/wp-content/uploads/2025/01/Board-Presentation-Special-Meeting-01-30-2025.pdf; City of Pasadena Water and Power (12/31/2024): 25MW Battery Energy Storage System (BESS) planned for Glenarm Power Plant to enhance power supply reliability and support renewable energy integration.; Link: https://www.cityofpasadena.net/planning/wp-content/uploads/sites/30/Glenarm-BESS-Project-Draft-Initial-Study-and-Mitigated-Negative-Declaration.pdf?v=1735862400042; Arevon Energy (11/24/2024): First U.S. utility-scale solar peaker plant combining 157 MW solar array with 150 MW battery storage, serving nearly one million customers.; Link: https://www.renewableenergyworld.com/solar/utility-scale/arevon-fires-up-the-first-solar-storage-peaker-plant-in-the-u-s/"
https://app.sparkhq.ai/reports?location=192,Orange County,CA,,,Mentions moratoria,BAD,"- Multiple cities and Orange County have enacted moratoriums on battery energy storage systems (BESS) due to safety concerns and fire risks - Strong community opposition to proposed energy projects, particularly the Compass Energy Storage Project in San Juan Capistrano with residents citing safety concerns - Recent fire incidents at similar facilities have prompted increased scrutiny and resistance to new energy storage developments","Blueleaf Energy Philippines (12/18/2024): Large-scale 250 MW floating solar project with 132 MW first phase, partnering with Chinese firms Xian Electric Engineering and China Energy Engineering Group. Construction to begin with operations expected in Q2 2026.; Link: https://www.philstar.com/business/2024/12/19/2408298/blueleaf-energy-taps-2-chinese-firms; Compass Energy Storage (11/19/2024): Proposed 250-megawatt battery energy storage system in San Juan Capistrano, applying directly to state for approval. Project faces community concerns but aims to enhance regional energy capabilities.; Link: https://www.ocregister.com/2024/11/20/application-made-to-state-to-build-battery-storage-facility-in-san-juan-capistrano-forgoing-city-process/; W Power, LLC (12/31/2024): Stanton Battery Energy Storage project providing 68.8 MW capacity and 275.2 MWh storage, supporting California's renewable energy goals with zero emissions and enhanced grid reliability.; Link: https://wpowerllc.com/wordpress1/stanton-battery-energy-storage/"
https://app.sparkhq.ai/reports?location=358,Santa Clara County,CA,,,Mentions moratoria,GOOD,"- **Strong Policy Support**: Santa Clara County and Palo Alto have comprehensive solar ordinances, streamlined permitting processes, and multiple programs supporting renewable energy development. - **Significant Project Approvals**: Multiple large-scale solar and battery storage projects have been approved and developed, including the 50MW Kifer Battery Storage project and numerous utility-scale solar installations. - **Proactive Planning**: The region consistently updates its energy codes and regulations to facilitate renewable energy adoption, with clear guidelines for both residential and commercial installations.","Renewable America (3/2/2025): Launched a 2.93 MW solar project in California that will provide clean energy to approximately 800 homes annually and offset 48,000 tons of CO2 emissions. The project specifically supports disadvantaged and low-income communities.; Link: https://www.wvnews.com/news/around_the_web/partners/pr_newswire/subject/licensing_marketing_agreements/renewable-america-achieves-commercial-operation-for-low-income-community-solar-project/article_ca870df5-675c-54ff-b000-447365f52afb.html; Longroad Energy (12/5/2024): Announced financial close of the Sun Pond solar and storage project in Maricopa County, featuring a 340MWh battery energy storage system. The project is set to be operational by mid-2026.; Link: https://www.energy-storage.news/longroad-energy-brings-storage-for-arizona-complex-to-600mwac-2400mwh; esVolta (11/11/2024): Secured $110 million for a 75 MW / 300 MWh battery energy storage project in San Jose, California. The project has created 200 local union jobs and will support Pacific Gas and Electric's operations.; Link: https://pv-magazine-usa.com/2024/11/12/esvolta-secures-110-million-for-300-mwh-battery-project-in-california"
https://app.sparkhq.ai/reports?location=498,Napa County,CA,,,No mentions of moratoria,MIXED,"- **Recent approvals with limitations**: While county has approved several solar projects, they implemented a ban on new commercial solar farms on agricultural land in 2019. - **Selective support**: County strongly supports floating solar and industrial-zoned projects, but actively restricts development on agricultural land to protect vineyards. - **Community division**: Projects face mixed reception with some gaining approval but encountering appeals and opposition from residents concerned about land use impacts.","Laketricity (10/17/2024): Napa County Board approves major floating solar project on 56 acres of wastewater ponds, generating 25 megawatts to power 5,000 homes. Project will generate $80,000 annual lease revenue and offset 360,000 tons of CO2 emissions over 25 years.; Link: https://www.pressdemocrat.com/article/napa/napa-solar-wastewater/; Laketricity (10/15/2024): County's largest commercial solar array approved with 63,000 panels on wastewater treatment ponds, producing 25 megawatts of electricity. Project includes $80,000 annual lease payments to support low-income sewer rate programs.; Link: https://napavalleyregister.com/article_5d65a30e-8a56-11ef-be1b-bf8d8260f825.html; Laketricity (8/21/2024): Napa County Planning Commission endorses floating solar array project covering 56 acres and generating 25 megawatts. Project aims to preserve agricultural land while reducing water evaporation from treatment ponds.; Link: https://napavalleyregister.com/news/local/napa-county-solar-array-floating-napasan-laketricity-unions-renewable-energy/article_89c4424a-6006-11ef-b76e-57768c7f0d7a.html?srsltid=AfmBOoo2h5gKLijv1GzOOlIXSjej42ULc2rEYgOm1j1qWa3FMajR9yoD"
