Detailed Report,County,State,Municipality,Permitted Uses,Mentions of Moratoria,Sentiment,Sentiment Detail,Recent Projects
https://app.sparkhq.ai/reports?location=608,Cherokee County,IA,,,Mentions moratoria,MIXED,"- **Active ordinance development**: Cherokee County is actively working on a solar ordinance, indicating a structured approach to regulating solar projects, but the process is ongoing and not yet finalized. - **Community concerns and involvement**: There is significant community involvement and concern regarding the proposed solar projects, particularly about setbacks and land use, which shows mixed local sentiment. - **Existing support for wind energy**: The county has previously enacted ordinances to support wind energy development, suggesting some level of support for renewable energy projects.",
https://app.sparkhq.ai/reports?location=1687,Woodbury County,IA,,,No mentions of moratoria,MIXED,"- **Recent regulatory progress**: County is actively developing solar ordinances and considering permits for utility-scale solar projects in industrial zones, showing openness to renewable energy. - **Strong wind opposition**: Significant community pushback against wind projects led to restrictive 2,500-foot setback requirements and over 900 residents signing anti-wind petitions. - **Balanced approach**: County aims to promote solar development while preserving agricultural land, with strict limitations on utility-scale solar in agricultural preservation zones.",
https://app.sparkhq.ai/reports?location=1993,Story County,IA,,,Mentions moratoria,GOOD,"- Story County has adopted comprehensive regulations supporting commercial solar farms and wind energy development, with specific ordinances (No. 307) detailing requirements for solar installations. - Multiple successful renewable energy projects are already operational, including the Story County Wind Energy Center and the SunSmart Ames community solar project. - The county actively encourages renewable energy development through zoning incentives, streamlined permitting processes, and has shown willingness to fight for local control over project approvals.",
https://app.sparkhq.ai/reports?location=2276,Allamakee County,IA,,,No mentions of moratoria,GOOD,"- **Strong regulatory framework**: County has actively developed and approved comprehensive solar and battery storage ordinances, showing commitment to enabling renewable energy projects. - **Multiple active projects**: Several renewable energy initiatives are underway including a battery storage facility at the former Lansing site and a wind generation project in the interconnection queue. - **Supportive local government**: County officials consistently demonstrate support through ordinance development, public hearings, and approval of renewable projects with minimal public opposition.","Alliant Energy (3/18/2025): Proposed 280MW battery energy storage system at the Lansing Generating Station site, aimed at managing excess energy from both renewable and traditional sources; Link: https://waukonstandard.com/articles/2025/03/26/public-meeting-discusses-process-implementation-proposed-alliant-energy-battery; Invinity Energy Systems (12/4/2024): New Endurium vanadium flow battery system providing 12 MWh to 1 GWh of energy storage capacity for renewable energy projects; Link: https://www.ess-news.com/2024/12/05/invinity-secures-orders-for-new-endurium-vanadium-flow-battery/; Dairyland Power Cooperative (10/31/2024): Implementation of vanadium flow battery storage systems across three locations to enhance energy reliability in rural areas; Link: https://www.energy.gov/sites/default/files/2024-11/Factsheet_LDES_Dairyland_11.4.24.pdf"
https://app.sparkhq.ai/reports?location=2291,Clinton County,IA,,,Mentions moratoria,MIXED,"- **Active moratorium on wind energy**: County has extended moratoriums on wind energy development multiple times through 2024-2025, showing caution towards wind projects. - **Approved solar projects**: County has approved several large solar projects including Rock Creek Solar and Hawkeye Solar, demonstrating openness to solar development. - **Strong community division**: Significant opposition from residents regarding both wind and solar projects, with 500+ residents attending meetings to voice concerns, while others support renewable development.","Rock Creek Solar, LLC (2/2/2025): Development of a 150MW Solar Facility in Clinton County, including road use agreements and scheduled public hearings for the project implementation.; Link: https://www.clintoncounty-ia.gov/files/meetings/2025-02-03_minutes_2806.pdf; Ranger Power (12/10/2024): White Tail Solar Project approved to produce 120 MW of clean electricity, powering up to 20,000 homes with a $130 million investment covering 1,160-1,500 acres in Washtenaw County.; Link: https://rangerpower.com/press"
https://app.sparkhq.ai/reports?location=2296,Floyd County,IA,,,Mentions moratoria,BAD,"- **Multiple Moratoriums**: County has repeatedly extended moratoriums on wind energy projects since November 2023, with the latest extending to October 2025, showing strong resistance to development. - **Restrictive Amendments**: Proposed amendments aim to severely limit wind projects by capping turbines at 70 and implementing strict setbacks, effectively killing future developments. - **Strong Public Opposition**: Significant community resistance documented through multiple public hearings, with residents expressing concerns about health impacts, property values, and environmental effects.",
https://app.sparkhq.ai/reports?location=2298,Tama County,IA,,,Mentions moratoria,BAD,- Currently has active moratoriums on both wind and solar energy projects with no expiration date. - Strong organized opposition groups have successfully blocked renewable projects and filed multiple lawsuits. - Recent regulations severely restrict solar development through caps on project size and land use restrictions.,
https://app.sparkhq.ai/reports?location=2304,Johnson County,IA,,,Mentions moratoria,GOOD,"- **Strong regulatory support**: Johnson County has established comprehensive solar and wind ordinances, created a dedicated Renewable Energy zoning district, and actively updates regulations to facilitate renewable energy development. - **Multiple approved projects**: The county has approved several significant solar projects, including the 150MW Solar Triangle project, Lone Tree Solar Project (7.5MW), and multiple smaller installations. - **Proactive planning**: Local government consistently demonstrates support through climate action plans, solar group buy programs, and partnerships with energy companies like MidAmerican Energy for large-scale projects.","MidAmerican Energy (3/9/2025): Proposed 900-acre solar farm in Johnson County that could power over 30,000 homes and generate 150 megawatts of power. The project is expected to bring $25 million in property taxes and $270 million in lease payments.; Link: https://www.press-citizen.com/story/news/local/2025/03/10/900-acre-solar-farm-in-johnson-county-part-of-midamerican-energy-proposal/82224637007/; MidAmerican Energy (2/17/2025): Seeking approval for large-scale solar project across six sites in Iowa, aiming to generate 800 megawatts of power. Sites identified in Mills, Sac, and Johnson counties, with construction planned to start next year and completion by 2027.; Link: https://kiwaradio.com/news/midamerican-seeks-approval-for-solar-and-turbine-projects/; MidAmerican Energy (2/18/2025): Solar Triangle project development, with construction projected to start in 2027 and operations beginning in 2028. The company has taken over development agreements from Megawatt Photovoltaic Development Inc. and is seeking land rights and regulatory approvals.; Link: https://www.thegazette.com/energy/sprawling-solar-farm-near-iowa-city-might-be-online-in-2028"
https://app.sparkhq.ai/reports?location=2305,Polk County,IA,,,Mentions moratoria,GOOD,"- **Strong policy support**: Iowa has comprehensive regulations and tax incentives supporting solar and wind development, including utility replacement taxes that benefit local communities. - **Significant investment and growth**: Over $25 billion in private investments in renewable energy, with projections to add thousands of megawatts of solar and wind capacity by 2030. - **Local government support**: Multiple cities like Des Moines, Polk City, and West Des Moines have adopted solar-friendly ordinances and are actively pursuing solar projects.",
https://app.sparkhq.ai/reports?location=2307,Marshall County,IA,,,Mentions moratoria,BAD,"- **Explicit Bans**: State Center unanimously passed Ordinance 389 prohibiting ground solar arrays within city limits, while Marshalltown banned ground-mounted solar arrays in residential and commercial zones. - **Active Moratoriums**: Multiple moratoriums on solar installations were implemented in 2024-2025 to restrict development while reviewing regulations. - **Strong Public Opposition**: Significant community resistance to solar installations, with residents expressing concerns about aesthetics, property values, and opposing ground-mounted arrays.",
