Detailed Report,County,State,Municipality,Permitted Uses,Mentions of Moratoria,Sentiment,Sentiment Detail,Recent Projects
https://app.sparkhq.ai/reports?location=77,DeKalb County,IL,,,Mentions moratoria,MIXED,"- **Strong support for solar**: Multiple solar projects have been approved or are under consideration, with a clear regulatory framework through solar ordinances and special use permits. - **Community division**: Significant opposition from residents regarding impacts on property values, drainage issues, and agricultural land preservation, particularly for larger solar projects. - **Historical restrictions**: Past moratoriums on wind and solar development (2017-2018) and current acreage caps on solar projects indicate cautious approach to renewable energy development.",
https://app.sparkhq.ai/reports?location=84,Whiteside County,IL,,,Mentions moratoria,GOOD,"- **Strong approval record**: Whiteside County has consistently approved multiple solar and wind projects, including several 5MW solar farms and a 212MW wind farm, showing clear support for renewable energy development. - **Proactive regulations**: The county has adopted comprehensive solar and wind ordinances, and recently updated them in 2023 to comply with state laws facilitating renewable energy development. - **Multiple successful projects**: The area has numerous operational and approved projects, including the Prairie Hill Landfill solar farm, multiple community solar installations, and the Gipper Wind Farm, demonstrating a track record of successful renewable energy development.","Nexamp Solar LLC (12/21/2024): Whiteside County Board approved a special-use permit for a 5-megawatt solar farm on farmland. The project will create 20-30 construction jobs and includes 11,000 panels. Despite initial objections from city leaders, the project was approved in alignment with state legislation supporting solar development.; Link: https://www.shawlocal.com/sauk-valley/2024/03/21/county-oks-11000-panel-locust-street-solar-farm-project-north-of-sterling/; Nexamp Solar LLC (12/19/2024): Sterling City Council approved a pre-annexation agreement for a 4-megawatt solar farm on 25 acres, scaled down from original 5-megawatt proposal. The project includes community solar subscriptions and a job training program for locals.; Link: https://www.shawlocal.com/sauk-valley/2024/09/11/sterling-wanted-parcel-for-future-industrial-projects-but-agrees-to-annex-land-support-plans-for-solar-farm/; NexAmp Energy (9/8/2024): NexAmp Energy proposed a solar project with plans for eventual agricultural use after 30-40 years. The project includes an annexation agreement with the City and emphasizes the use of local labor for construction.; Link: https://www.sterling-il.gov/AgendaCenter/ViewFile/Minutes/_09092024-390"
https://app.sparkhq.ai/reports?location=106,St. Clair County,IL,,,Mentions moratoria,GOOD,"- **Strong regulatory framework**: Multiple municipalities have established comprehensive solar ordinances and permitting processes, showing institutional support for energy development. - **Numerous approved projects**: St. Clair County has consistently approved multiple solar farm projects, including the 150MW Bee Hollow facility and various 2-4MW installations. - **Active development pipeline**: Several new solar projects are in various stages of approval and development, including the Lebanon solar farm and multiple proposals before the Zoning Board, indicating ongoing support for energy projects.","National Grid Renewables (11/20/2024): 150 MW Bee Hollow Solar Project with signed power purchase agreement with IMEA. Construction to begin in 2025 in St. Clair County, Illinois. Project will provide tax revenue, jobs, and includes a charitable fund for local initiatives.; Link: https://www.prnewswire.com/news-releases/national-grid-renewables-signs-power-purchase-agreement-with-imea-302313182.html; BTB Energy Solutions CO (2/23/2025): 2MW solar array installation project with storage facility pending special use permit approval. Public hearing scheduled by Shiloh Planning Commission to discuss the project's implementation and community impact.; Link: https://shilohil.org/wp-content/uploads/2025-02-24-Shiloh-Public-Hearing-at-the-Shiloh-Community-Center-starts-at-545-pm-1.pdf"
https://app.sparkhq.ai/reports?location=108,Clay County,IL,,,No mentions of moratoria,GOOD,"- **Active solar projects**: Clay County is actively involved in significant solar projects, such as the Maple Flats Solar Project, indicating strong support for solar energy development. - **Community and regulatory support**: The county has held meetings to discuss solar projects, showing community involvement and regulatory processes that facilitate solar energy initiatives. - **Economic incentives and investments**: There are substantial investments and economic incentives, such as tax credits, promoting solar energy adoption in the area.",
https://app.sparkhq.ai/reports?location=119,Washington County,IL,,,No mentions of moratoria,GOOD,"- **Amendments to ordinances**: Washington County has amended its wind and solar ordinances to align with state statutes, reducing restrictions and facilitating renewable energy projects. - **Active projects and approvals**: The county is actively considering and approving large-scale renewable projects, such as the Kaskaskia Renewables project and Nexamp's solar project, indicating support for energy development. - **Comprehensive regulatory framework**: The presence of detailed solar and wind energy ordinances demonstrates a structured approach to supporting and managing energy projects, ensuring compliance and community engagement.",
https://app.sparkhq.ai/reports?location=136,Will County,IL,,,Mentions moratoria,MIXED,"- **Community Opposition**: There is significant community opposition to solar projects, with residents expressing concerns about property values, environmental impacts, and compatibility with local plans. - **Regulatory Challenges**: State laws limit local control over solar projects, causing frustration among local officials who feel their governance is undermined. - **Approval of Some Projects**: Despite opposition, several solar projects have been approved, indicating a willingness to pursue renewable energy development under certain conditions.","Acciona Energia (10/20/2024): 300MW Will County Solar Farm project in Illinois, currently in permitting stage with construction expected to begin in 2024 and operations by 2025. This is one of the largest solar developments in the area.; Link: https://www.power-technology.com/data-insights/power-plant-profile-will-county-solar-farm-us/; Falconhead Solar (11/18/2024): New solar farm project in Crete, one of five planned in Will County. Expected to generate $50,000 annually in tax revenue benefiting local schools and fire departments.; Link: https://www.chicagotribune.com/2024/11/16/crete-advances-solar-farm-project-one-of-at-least-5-planned-in-will-county; TurningPoint Energy, Nautilus Solar Energy (9/4/2024): Partnership to develop three community solar projects totaling 21 MW in Illinois, including $70,000 in community investments in Will and Henry Counties.; Link: https://www.businesswire.com/news/home/20240905441560/en/TurningPoint-Energy-and-Nautilus-Solar-Energy-Announce-Partnership-on-21-MW-of-Community-Solar-Projects-in-Illinois"
https://app.sparkhq.ai/reports?location=137,Champaign County,IL,,,Mentions moratoria,GOOD,"- **Strong regulatory framework**: County has established comprehensive solar and wind ordinances, regularly approves projects, and actively updates regulations to facilitate renewable energy development - **Consistent project approvals**: Multiple solar projects have been approved over the years, including large utility-scale projects like the 150MW Prairie Solar and numerous community solar installations - **Institutional support**: Local institutions like the University of Illinois and government bodies demonstrate strong commitment to renewable energy through various successful solar initiatives","Mahomet IL Solar 1, LLC (2/19/2025): Proposed 4.99 MW community PV solar farm on 36 acres, seeking multiple waivers for zoning conditions. Project has sparked community discussions regarding environmental impacts and safety concerns.; Link: https://champaigncountyil.gov/CountyBoard/ZBA/2025/250227/250227_162-S-25%20Preliminary%20Memo.pdf; MN8 Energy (12/16/2024): Prairie Solar project featuring the largest VPPA by a U.S. city, expected to avoid 70,510 metric tons of CO2 emissions annually and create 300 construction jobs in Champaign County.; Link: https://www.morningstar.com/news/business-wire/20241217703958/mn8-energy-to-own-build-and-operate-solar-project-supporting-city-of-cambridges-historic-vppa; Little Prairie Solar LLC (11/13/2024): 135 MW utility-scale solar project with battery storage, promising significant tax revenue ($19 million more than traditional agriculture) and featuring extensive community engagement efforts.; Link: https://champaigncountyil.gov/CountyBoard/ZBA/2024/241114/241114_Minutes.pdf"
https://app.sparkhq.ai/reports?location=269,McHenry County,IL,,,Mentions moratoria,GOOD,"- **Strong approval record**: Multiple solar and battery storage projects have been approved, including large-scale projects like the 300MW Pleasant Grove Solar farm and numerous community solar installations. - **Supportive regulatory framework**: The county has established clear zoning codes and ordinances for solar energy facilities, and recently repealed restrictive conditions to better align with state renewable energy goals. - **Active development pipeline**: There are numerous ongoing and proposed solar projects, with developers consistently showing interest in the area and local authorities generally supporting renewable energy initiatives through permit approvals.","Cordelio Power (2/12/2025): Major expansion of battery energy storage system (BESS) portfolio with over 1.0 GWh of equipment, including the operational launch of McHenry BESS facility in Illinois and securing contracts for two major storage facilities in western US; Link: https://energynews.pro/en/cordelio-power-strengthens-its-bess-portfolio-with-new-contracts-and-acquisitions/; ForeFront Power (9/23/2024): Development of 5.6 MW solar installation across three Huntley Community School District campuses, projected to save $4.2 million over 20 years while providing educational opportunities; Link: https://www.forefrontpower.com/solar-for-huntley-forefront-power-to-develop-5-6-mw-of-solar-across-3-school-campuses-for-huntley-community-school-district-158-in-illinois/; TPE IL MH680 LLC, LLC (11/5/2024): Proposed 4.99 MW solar facility in McHenry County to power 800-850 homes, generating $650,285 in property tax revenue over 25 years with environmentally conscious design including pollinator-friendly vegetation; Link: https://pub-countyofmchenry.escribemeetings.com/filestream.ashx?DocumentId=143779"
https://app.sparkhq.ai/reports?location=415,Woodford County,IL,,,No mentions of moratoria,MIXED,"- **Regulatory support with community opposition**: Woodford County has approved several solar and wind projects and has updated zoning ordinances to support renewable energy, but there is significant community opposition, particularly concerning solar farms near residential areas. - **Legal challenges and procedural issues**: Some projects have faced legal challenges and procedural setbacks, indicating a contentious environment for energy development. - **Active engagement in renewable energy**: Despite opposition, the county continues to engage in renewable energy projects, with ongoing discussions and updates to regulations to align with state laws.",
https://app.sparkhq.ai/reports?location=439,LaSalle County,IL,,,Mentions moratoria,GOOD,"- **Strong approval record**: LaSalle County has consistently approved multiple solar and wind projects, including large facilities like the 1,200-acre Aurora Solar project and the 80MW Hickory Wind farm. - **Supportive regulations**: The county has comprehensive solar and wind ordinances in place, with recent amendments streamlining the process for residential solar installations and establishing clear guidelines for commercial projects. - **Existing infrastructure**: The area already hosts major renewable facilities like the Grand Ridge Energy Center combining wind, solar and battery storage, demonstrating long-term commitment to energy development.",
