Detailed Report,County,State,Municipality,Permitted Uses,Mentions of Moratoria,Sentiment,Sentiment Detail,Recent Projects
https://app.sparkhq.ai/reports?location=141,Noble County,IN,,,Mentions moratoria,MIXED,"- **Recent regulatory changes**: Noble County has established comprehensive solar ordinances but frequently debates changes to setbacks and regulations, showing ongoing uncertainty. - **Active community division**: Strong opposition exists with 1,000+ residents signing anti-solar petitions, while others support development, indicating significant community conflict. - **Shifting policy stance**: The county has alternated between allowing development (with 4,700 acre cap) and considering moratoriums, demonstrating inconsistent support for solar projects.",
https://app.sparkhq.ai/reports?location=332,Elkhart County,IN,,,No mentions of moratoria,MIXED,"- **Initial Opposition**: County initially denied a major solar project in 2021 due to community concerns, but later approved it in 2022 after modifications and new solar ordinances were established. - **Evolving Regulations**: The county has developed specific solar ordinances and guidelines, showing willingness to accommodate solar projects while maintaining strict oversight. - **Current Projects**: Multiple large-scale solar projects are in development, including the 850-acre Elkhart County Solar Project, but there's ongoing debate about future projects with some commissioners expressing hesitance.",
https://app.sparkhq.ai/reports?location=449,Jefferson County,IN,,,Mentions moratoria,MIXED,"- **Moratorium on solar projects**: Jefferson County has implemented a one-year moratorium on new utility-scale solar projects, indicating caution and community concerns about solar developments. - **Community opposition and legal challenges**: There is significant community opposition to large-scale solar projects, as evidenced by public hearings and legal actions taken by Orion Renewable Energy Group against the county's decisions. - **Regulatory updates and ongoing discussions**: The county is actively working on updating its solar ordinances and regulations, reflecting a willingness to consider renewable energy projects but with careful oversight and community involvement.",
https://app.sparkhq.ai/reports?location=546,Adams County,IN,,,No mentions of moratoria,MIXED,"- **Active community opposition**: Residents have created petitions to regulate or ban industrial solar farms, showing strong resistance to energy development. - **Recent regulatory development**: The county has approved a solar ordinance in July 2021, indicating willingness to accommodate solar projects. - **Economic vs. Agricultural tension**: There's clear conflict between potential financial benefits ($1M+) and community concerns about protecting farmland and property values.",
https://app.sparkhq.ai/reports?location=681,Daviess County,IN,,,No mentions of moratoria,GOOD,"- **Recent Approval**: Daviess County adopted a new solar development ordinance in 2025 after a two-year process, showing commitment to renewable energy development. - **Multiple Active Projects**: Multiple large-scale solar projects are in development, including R3 Antioch and R3 Billings, each planning 600MW facilities. - **Positive Government Action**: County commissioners have shown consistent support for solar development through unanimous approval of ordinance revisions and no public opposition during hearings.",
https://app.sparkhq.ai/reports?location=685,Blackford County,IN,,,Mentions moratoria,GOOD,"- **Multiple approved projects**: Several large-scale solar and wind projects have received regulatory approvals and permits, including Lake Trout Solar (245MW) and Blackford Solar (150MW). - **Supportive regulatory environment**: No active moratoriums exist and the county has shown willingness to approve special exception permits for energy projects. - **Economic benefits welcomed**: Local authorities and many community members recognize the significant economic benefits, including tax revenues and job creation from these projects.","RWE (12/31/2026): Prairie Creek Wind project - a 200 MW wind farm being developed in Blackford County, Indiana, designed to power over 42,000 homes. The project will generate $60 million in property taxes and $8.4 million in economic development payments over 30 years.; Link: https://americas.rwe.com/our-energy/onshore-wind/onshore-wind-projects-and-locations/prairie-creek-wind; Blackford Solar Energy, LLC (12/31/2024): 150-MW Solar Facility development project that will create jobs, generate tax revenue for the county, and support local businesses during construction and operation phases.; Link: https://blackfordsolar.com"
https://app.sparkhq.ai/reports?location=688,Johnson County,IN,,,Mentions moratoria,MIXED,"- **Recent moratorium**: County has implemented a 3-year moratorium on wind farms in 2024, showing opposition to wind energy development. - **Solar-friendly regulations**: County has established clear guidelines for solar projects and recently simplified the process for residential solar installations. - **Active development**: Multiple solar projects are in progress, including JCREMC's planned 52-acre solar array, but there's community concern about land use competition with housing needs.",
https://app.sparkhq.ai/reports?location=691,DeKalb County,IN,,,Mentions moratoria,MIXED,"- County has established comprehensive solar regulations and approved some smaller projects, showing willingness to work with developers. - Recent rejections of major solar projects (Sculpin Solar and Thalassa) indicate growing resistance to large-scale developments. - Strong community opposition exists, particularly from agricultural interests, but county maintains framework for future projects.",
https://app.sparkhq.ai/reports?location=692,Pulaski County,IN,,,Mentions moratoria,MIXED,"- **Active moratorium discussions**: Pulaski County has been actively discussing and implementing moratoriums on battery storage and solar projects, indicating caution and mixed support for energy development. - **Community opposition and legal challenges**: There is significant community opposition and legal challenges against solar projects like Mammoth Solar, reflecting concerns over property values and land use. - **Ongoing solar project approvals**: Despite opposition, several solar projects have been approved or are in progress, showing some level of support for renewable energy initiatives.",
https://app.sparkhq.ai/reports?location=695,Ripley County,IN,,,No mentions of moratoria,MIXED,"- **Active Development Process**: County is actively working on a solar ordinance with detailed regulations, showing willingness to accommodate solar but with careful oversight. - **Community Division**: Strong mixed reactions from residents, with some supporting solar development for economic benefits while others express concerns about property values and setbacks. - **Current Moratorium**: Has an active moratorium on solar projects while finalizing ordinance details, indicating cautious approach to development.",
