Detailed Report,County,State,Municipality,Permitted Uses,Mentions of Moratoria,Sentiment,Sentiment Detail,Recent Projects
https://app.sparkhq.ai/reports?location=123,Washington County,KS,,,Mentions moratoria,GOOD,"- **Strong Legislative Support**: Kansas Legislature is actively promoting renewable energy through new regulations and streamlined approval processes for solar and wind projects. - **Successful Project Implementation**: Multiple large-scale wind projects are being approved and developed, including the High Banks Wind Project, showing practical support for renewable energy. - **Proactive Problem-Solving**: The state is implementing solutions to address community concerns, such as light mitigation technology for wind turbines, demonstrating commitment to balancing development with community needs.",
https://app.sparkhq.ai/reports?location=423,Johnson County,KS,,,Mentions moratoria,MIXED,"- **Regulatory Support**: Multiple jurisdictions have established or are developing solar-friendly ordinances and regulations, including De Soto, Johnson County, and Shawnee. - **Strong Opposition**: Significant community resistance exists against large-scale solar projects, particularly the West Gardner Solar Project, with concerns about property values and rural character. - **Active Development**: Despite opposition, major solar projects are moving forward, such as the 3,000-acre De Soto solar facility, indicating a balance between development and community concerns.",
https://app.sparkhq.ai/reports?location=446,Crawford County,KS,,,Mentions moratoria,BAD,"- **Active Moratorium**: Crawford County has an active moratorium on wind and solar energy projects until December 31, 2024, with potential for extension. - **Strong Local Opposition**: The Crawford County Coalition Against Industrial Wind and Solar and numerous residents have voiced significant concerns about renewable energy projects. - **Multiple Extensions**: The county has a history of extending moratoriums on energy development, showing a pattern of resistance to such projects.",
https://app.sparkhq.ai/reports?location=598,Ford County,KS,,,Mentions moratoria,GOOD,"- **Strong track record**: Ford County has approved multiple large-scale renewable projects including Ironwood Wind Farm, Spearville Wind Farm, and most recently the Boot Hill Solar Project. - **Active development**: The county is currently processing permits and finalizing agreements for new renewable projects, showing continued support for energy development. - **Supportive regulations**: The county has established and continues to update regulations for wind and solar projects, demonstrating a proactive approach to enabling renewable energy development.",
https://app.sparkhq.ai/reports?location=603,Bourbon County,KS,,,Mentions moratoria,BAD,"- **Active long-term moratorium**: County has enacted a 4-year moratorium on solar projects until 2029, showing strong institutional opposition. - **Significant community resistance**: Residents have organized protests, petitions, and legal challenges against solar developments. - **Recent policy shift**: New commission in 2025 has taken explicit anti-solar stance, terminating existing agreements and implementing stricter controls.",
https://app.sparkhq.ai/reports?location=604,Barton County,KS,,,Mentions moratoria,MIXED,"- County has recently adopted comprehensive solar regulations allowing development with restrictions, showing willingness to accommodate energy projects. - Multiple moratoriums and strong community opposition indicate significant resistance to energy development, particularly near environmentally sensitive areas. - While regulations now exist, strict limitations and ongoing community division suggest cautious approach to future energy projects.",
https://app.sparkhq.ai/reports?location=605,Lincoln County,KS,,,No mentions of moratoria,GOOD,"- **Successful Wind Development**: Lincoln County has an operational 201MW Post Rock Wind Farm with 134 turbines, demonstrating a history of approving large-scale energy projects. - **Active Solar Development**: The area shows current solar development activity with companies like Yup Solar operating and a 300-acre solar farm contract on Plinsky Ranch. - **Multiple Energy Types**: The county supports diverse energy projects including wind, solar, and planned battery storage facilities, indicating favorable conditions for energy development.",
https://app.sparkhq.ai/reports?location=612,Butler County,KS,,,No mentions of moratoria,MIXED,"- **Recent Regulations**: Butler County has implemented new regulations in 2023 that allow solar development but with significant restrictions, including a 2,500-acre cap and exclusion zones. - **Active Projects**: Several solar projects are being developed or proposed, including the 500MW El Dorado Solar Farm, showing interest in renewable development. - **Community Opposition**: There is significant community skepticism and opposition, particularly towards large-scale projects and out-of-state developers, with special concern for protecting the Flint Hills region.",
https://app.sparkhq.ai/reports?location=613,Montgomery County,KS,,,Mentions moratoria,MIXED,"- Allows small-scale customer-owned electric generating facilities, but with strict size limitations of less than 25kW. - Has established interconnection standards and processes, showing openness to energy generation. - Requires significant documentation and evaluation process, indicating cautious approach to energy development.",
https://app.sparkhq.ai/reports?location=616,Coffey County,KS,,,Mentions moratoria,BAD,"- **Active moratorium**: Coffey County recently approved a three-year prohibition on commercial solar energy facilities until 2027, showing strong opposition to energy development. - **Strong community opposition**: Local farmers and residents have voiced significant concerns about solar projects, demanding public votes and expressing worries about agricultural land loss. - **Historical resistance**: The county has a history of implementing moratoriums on solar projects and shows consistent patterns of delaying or restricting energy development projects.",
