Detailed Report,County,State,Municipality,Permitted Uses,Mentions of Moratoria,Sentiment,Sentiment Detail,Recent Projects
https://app.sparkhq.ai/reports?location=318,Lyon County,KY,,,No mentions of moratoria,GOOD,"- **Multiple approved projects**: Lyon County has approved several large solar projects including the 86MW Ashwood Solar and 125MW Pleasant Valley Solar projects, demonstrating consistent support for renewable energy. - **Economic benefits recognized**: Local officials and community members acknowledge the significant economic benefits, including job creation and tax revenue from solar projects. - **Regulatory framework in place**: The county has established solar ordinances and guidelines, showing a structured approach to managing renewable energy development rather than opposition.",
https://app.sparkhq.ai/reports?location=319,Larue County,KY,,,No mentions of moratoria,GOOD,"- Solar fields are explicitly permitted as conditional uses in multiple zoning districts, showing clear regulatory support for renewable energy. - The ordinance includes detailed definitions for solar energy systems, demonstrating proactive planning for renewable energy integration. - While viewshed protection measures exist, they don't prohibit solar development but rather guide appropriate siting.",
https://app.sparkhq.ai/reports?location=341,Henderson County,KY,,,Mentions moratoria,MIXED,"- **Strong support initially**: County has approved multiple large solar projects including Unbridled Solar (160MW), Sebree Solar (400MW), and other facilities, with comprehensive solar/battery ordinances in place. - **Recent opposition emerging**: County approved a 2-year moratorium on new solar projects in early 2025 due to community concerns about drainage, glare, and aesthetic impacts. - **Balanced approach to regulation**: While pausing new projects, the county allows existing approved projects to continue and is actively developing battery storage regulations, showing willingness to work with energy developers.","NextEra Energy Resources (12/30/2024): Sebree Solar I and II projects with combined 400 MW capacity (250 MW + 150 MW), creating 300 local jobs and generating $18 million in county tax revenue; Link: https://www.nexteraenergyresources.com/sebree-solar/project-overview.html; NextEra Energy (9/10/2024): 12 MW battery energy storage system planned by Henderson Municipal Power and Light to enhance reliability and support renewable energy integration; Link: https://www.publicpower.org/periodical/article/battery-energy-storage-system-project-reliability-efforts-detailed-henderson-municipal-power-light; Community Energy Inc (10/20/2024): 50MW Community Henderson Solar PV Park project, expected to provide 117,000MWh of electricity annually with construction starting in 2024; Link: https://www.power-technology.com/data-insights/power-plant-profile-community-henderson-solar-pv-park-us/"
https://app.sparkhq.ai/reports?location=344,Harrison County,KY,,,No mentions of moratoria,GOOD,"- **Multiple project approvals**: Harrison County has approved several major solar projects including Bluebird Solar (100MW) and Blue Moon Solar (70MW), demonstrating clear support for renewable energy development. - **Economic benefits recognized**: Local authorities acknowledge significant economic advantages, including tax revenue increases and job creation, showing alignment with development goals. - **Active development progress**: Multiple solar projects are actively under construction or nearing completion, with established timelines and community engagement processes in place.",
https://app.sparkhq.ai/reports?location=348,Hart County,KY,,,No mentions of moratoria,GOOD,"- **Approval of solar projects**: Hart County has conditionally approved the Thoroughbred Solar project, indicating a positive stance towards solar energy development. - **Community engagement and support**: There is significant community involvement, with public hearings and feedback considered, showing a balanced approach to addressing concerns and support. - **Economic and environmental benefits**: The project is expected to bring economic benefits, such as job creation and tax revenue, while also aligning with renewable energy goals, suggesting a supportive environment for future projects.",
https://app.sparkhq.ai/reports?location=352,Clark County,KY,,,Mentions moratoria,BAD,- **Strong community opposition** evidenced by multiple petitions with thousands of signatures against solar developments and large turnouts at public hearings opposing projects. - **Recent restrictive ordinance** passed in 2023 specifically discouraging large-scale solar development on agricultural land. - **History of denied projects** including a recent 3900-acre solar farm rejection and the Fiscal Court's denial of solar ordinances in 2021.,
https://app.sparkhq.ai/reports?location=357,Muhlenberg County,KY,,,No mentions of moratoria,MIXED,"- Project has received conditional approval from state board but faces significant local opposition with 18 landowners intervening and multiple public comments expressing concerns. - Economic benefits are highlighted (739 construction jobs, $300M investment) but residents worry about property values, environmental impacts, and health risks. - No explicit solar moratorium exists, but locals are actively pushing for stricter regulations and setback requirements, showing organized resistance.","Lost City Solar (2/5/2025): A local public hearing was requested before the Kentucky Siting Board for the 250-megawatt Lost City Solar project, located 0.4 miles east of Penrod. Property owners raised concerns about potential impacts on property values and the environment.; Link: https://psc.ky.gov/pscscf/2024%20cases/2024-00406//20250210_Danny%20Mitchell%20Request%20for%20Public%20Meeting.pdf; Lost City Renewables LLC (1/20/2025): Economic analysis revealed the Lost City Solar Project will create 739 construction jobs with $41M in labor income, plus 22 permanent jobs. Total 30-year economic impact expected to be 839 job-years and $44.9M in labor income.; Link: https://lostcitysolar.com/wp-content/uploads/2025/02/Lost-City_Economic-Analysis.pdf; Lost City Renewables LLC (12/22/2024): Company filed Notice of Intent with Kentucky Public Service Commission for a 250-megawatt solar generating facility in Muhlenberg County, marking an important regulatory step for the project.; Link: https://psc.ky.gov/Case/ViewCaseFilings/2024-00406"
https://app.sparkhq.ai/reports?location=360,Daviess County,KY,,,Mentions moratoria,BAD,"- **Active Moratorium**: County has implemented a legally binding moratorium on solar and wind projects until March 1, 2026, halting all new applications. - **Strong Local Opposition**: Significant community concerns about property values, farmland preservation, and infrastructure impacts from solar developments. - **Restrictive Regulations**: Recently approved strict zoning amendments including 1,000-foot setbacks from property lines and enhanced decommissioning requirements for solar projects.","NextEra Energy Resources (1/15/2025): Planning Commission unanimously approved zoning ordinance amendments for a 1,200-acre solar farm that will generate 150 megawatts of renewable energy. The amendments included regulations on agricultural land impact, property setbacks, and decommissioning policies.; Link: https://www.messenger-inquirer.com/news/local/solar-farm-moving-closer-to-reality/article_6261dd27-04b8-5760-94c2-a7a23171e02b.html; Owensboro Solar, LLC (12/12/2024): Submitted detailed project plans for a 150 megawatt solar facility featuring 368,422 solar panels across 1200 acres in unincorporated Daviess County, with specific setback requirements for equipment installation.; Link: https://psc.ky.gov/pscecf/2024-00387/heather@hloky.com/12132024120659/Notice_of_Intent_Final.pdf; Owensboro Solar, LLC (12/8/2024): Filed initial Notice of Intent to construct a 150 MW solar generating facility in Daviess County, Kentucky. The Public Service Commission issued a no deficiency letter, confirming the filing meets preliminary requirements.; Link: https://psc.ky.gov/Case/ViewCaseFilings/2024-00387/login"
https://app.sparkhq.ai/reports?location=361,Simpson County,KY,,,Mentions moratoria,GOOD,"- **Multiple approved projects**: Several solar projects have been approved, including the 69.3 MW Horus Kentucky project and a 90 MW Opdenergy project - **Supportive regulatory framework**: The county has established solar ordinances and clear processes for solar development - **Legal precedent**: Courts have consistently upheld solar project approvals despite local opposition",
https://app.sparkhq.ai/reports?location=366,Elliott County,KY,,,No mentions of moratoria,,,
https://app.sparkhq.ai/reports?location=367,Green County,KY,,,No mentions of moratoria,MIXED,"- **Community opposition**: There is significant local opposition to the Exie Solar Project, with residents expressing concerns about environmental impacts and calling for the project to be halted. - **Project approvals**: Despite community concerns, multiple solar projects, including Horseshoe Bend and Exie Solar, have been conditionally approved or are in the process of seeking approval, indicating some level of institutional support. - **Regulatory involvement**: The projects are subject to regulatory oversight and public hearings, suggesting a structured process for addressing both support and opposition.","Exie Solar, LLC (7/22/2025): Most recent development: Proposed 110 MW solar facility covering 1,340 acres, with provisions for community involvement and public hearings; Link: https://kypublicnotices.newzgroup.com/KYLegals/2025/70158-2025-07-23_1003.pdf; Exie Solar, LLC (6/16/2025): Project proposal submission for 150 MW solar generation facility covering 1,800 acres near Greensburg, Kentucky; Link: https://psc.ky.gov/pscscf/2025%20cases/2025-00151/20250617_PSC%20Notice%20of%20Filing%20for%20ad%20hoc%20request%20letter%20to%20Governor%20Beshear%20and%20Notice%20of%20Intent.pdf; Exie Solar, LLC (5/18/2025): Initial notice of intent filed for 150 MW solar power station in Green County, with no local jurisdiction constraints; Link: https://psc.ky.gov/pscecf/2025-00151/keckert%40fbtlaw.com/05192025044829/051925_ExieNOI.pdf"
https://app.sparkhq.ai/reports?location=370,Floyd County,KY,,,No mentions of moratoria,GOOD,"- **Active Development**: The area is actively involved in solar energy project development, as evidenced by the Edelen Renewables project and progress meetings. - **Government Support**: Local officials and development boards are engaged in renewable energy initiatives, showing institutional backing. - **Public Engagement**: The state board is facilitating public involvement through formal hearings for a 100MW solar facility, indicating a structured approach to energy development.","Lost City Renewables LLC (3/26/2025): Public comments meeting scheduled for a solar project at Muhlenberg County Fiscal Court Room, allowing community members to provide feedback on the proposed development.; Link: https://psc.ky.gov/home; Clover Creek Solar Project LLC (3/16/2025): Public comments meeting scheduled to discuss the Clover Creek Solar Project, providing a platform for community input on this renewable energy initiative.; Link: https://psc.ky.gov/home/; Lost City Renewables LLC, Owensboro Solar LLC (12/31/2024): Review of applications for new solar facilities, including a significant 250 MW solar farm, marking major expansion of renewable energy capacity in Kentucky.; Link: https://psc.ky.gov/Case/searchCases//Admin"
https://app.sparkhq.ai/reports?location=372,Martin County,KY,,,No mentions of moratoria,GOOD,"- **Approval and development of multiple solar projects**: Martin County has approved and is actively developing several large-scale solar projects, such as the Martin County Solar Project and the Lynn Bark Energy Center, indicating strong support for renewable energy initiatives. - **Significant investment and economic benefits**: The projects involve substantial investments, like the $231 million for the Martin County Solar Project, and promise economic benefits, including job creation and increased tax revenues, which are well-received by local officials. - **Partnerships with major corporations**: Collaborations with companies like Toyota and Shell for power purchase agreements highlight the county's commitment to integrating renewable energy into its economic framework, further supporting the sentiment of approval for energy development.","Savion (1/14/2025): Major solar farm becomes operational on former coal mine in Martin County, featuring 214,000 solar panels across 1,200 acres. The project created 300+ local jobs and includes a power purchase agreement with Toyota.; Link: https://www.weku.org/the-commonwealth/2025-01-15/solar-farm-on-former-martin-county-coal-mine-up-and-running; Savion LLC (12/10/2024): Kentucky State Board approves second 200-megawatt solar facility in Martin County (Lynn Bark Energy Center), though concerns raised about local hiring practices based on first project's employment numbers.; Link: https://www.newsbreak.com/news/3710768570429-state-approves-second-solar-project-in-martin-county-only-47-locals-hired-for-first-project; Lynn Bark Energy Center, LLC (9/22/2024): Application submitted for Certificate of Construction for 200-megawatt solar facility in Martin County, including comprehensive environmental review and mitigation measures.; Link: https://psc.ky.gov/pscecf/2024-00104/djeavons%40bbcresearch.com/09232024110759/Lynn_Bark_Energy_Center_SAR_Review_09232024_OCR.pdf"
https://app.sparkhq.ai/reports?location=373,Marshall County,KY,,,No mentions of moratoria,GOOD,"- County has recently passed a comprehensive solar ordinance showing proactive support for solar development. - The ordinance provides clear guidelines and categories for different types of solar installations, indicating a well-thought-out approach to solar development. - The county's commitment to renewable energy is explicitly mentioned in their fiscal court meeting, suggesting positive institutional support.",
https://app.sparkhq.ai/reports?location=378,Breckinridge County,KY,,,No mentions of moratoria,MIXED,"- **Regulatory Support with Conditions**: Breckinridge County has approved solar energy regulations and projects, indicating support for renewable energy development, but with specific conditions and setbacks to address community concerns. - **Community Opposition and Moratoriums**: There is significant local opposition, including a temporary moratorium on certain solar projects, reflecting community concerns about the impact of solar installations. - **Ongoing Discussions and Revisions**: The county is actively revising solar ordinances and engaging in public hearings, showing a willingness to adapt policies but also highlighting ongoing debates and mixed sentiments.","Clover Creek Solar Project LLC (2/23/2025): 100 MW solar generating facility planned for Breckinridge County, Kentucky, featuring vegetative screening and projected economic benefits including job creation and increased local tax revenue.; Link: https://psc.ky.gov/pscecf/2024-00253/djeavons%40bbcresearch.com/02242025021033/New_Frontiers_Solar_Park_SAR_Review_02242025_OCR.pdf; Clover Creek Solar Project LLC (1/16/2025): Project timeline established with construction beginning June 2, 2025, and mechanical completion by July 1, 2026. Plans include local hiring initiatives and addresses community noise concerns.; Link: https://psc.ky.gov/pscecf/2024-00253/pstevenson%40fbtlaw.com/02102025072849/Responses.pdf; EDP Renewables North America (12/31/2024): New Frontiers Solar Park announced with 100 MW capacity, expected to power 16,600 homes, create 600 jobs, and generate $200 million in capital investment for Breckinridge County.; Link: https://www.edpr.com/north-america/sites/edprna/files/2025-01/KY%20New%20Frontiers%20Solar%20Fact%20Sheet_0.pdf"
