Detailed Report,County,State,Municipality,Permitted Uses,Mentions of Moratoria,Sentiment,Sentiment Detail,Recent Projects
https://app.sparkhq.ai/reports?location=418,Bossier Parish,LA,,,Mentions moratoria,MIXED,"- **Recent regulatory development**: Parish adopted detailed standards for utility-scale solar projects in August 2023, showing willingness to accommodate solar development. - **History of moratoriums**: Multiple solar moratoriums were implemented (September 2022 and March 2023) to review and establish proper regulations. - **Strict oversight**: New ordinance includes comprehensive requirements and standards for solar farms, indicating cautious but not prohibitive approach.",
https://app.sparkhq.ai/reports?location=425,Caddo Parish,LA,,,No mentions of moratoria,GOOD,"- **Strong regulatory support**: Multiple solar projects have been approved by the Louisiana Public Service Commission, including the 72.5MW Rocking R Solar and 200MW Mooringsport Solar projects. - **Explicit zoning allowance**: Caddo Parish's Unified Development Code specifically allows for solar farms with clear guidelines for development. - **Recent rejection of restrictions**: The Caddo Parish Commission voted against a solar moratorium in May 2023, demonstrating continued support for solar development.",
https://app.sparkhq.ai/reports?location=428,Iberville Parish,LA,,,Mentions moratoria,MIXED,"- **Clear regulatory framework**: Parish has adopted and updated solar ordinances showing openness to energy development. - **Strong local opposition**: Significant community pushback against proposed solar projects, with residents voicing concerns about property values and impacts. - **Strict oversight**: Parish requires rigorous permitting process including community meetings and environmental studies, indicating cautious approach to development.",
https://app.sparkhq.ai/reports?location=429,Acadia Parish,LA,,,Mentions moratoria,GOOD,"- **Active Development**: Multiple large-scale solar projects (Mowata Solar, Tournesol Solar) are being actively developed with significant investment and community engagement. - **Supportive Regulations**: The parish has established and recently updated a Solar Farm Ordinance, demonstrating proactive governance for renewable energy development. - **Positive Economic Impact**: Projects are bringing substantial benefits including job creation, tax revenue, and environmental improvements, with strong support from local government.",
https://app.sparkhq.ai/reports?location=432,Jefferson Davis Parish,LA,,,No mentions of moratoria,MIXED,"- **Recent approvals with opposition**: While Jeff Davis Parish has approved several solar projects and tax exemptions, there is significant community opposition and concerns about environmental impacts. - **Regulatory framework in place**: The parish has established solar ordinances and regulations, showing willingness to accommodate solar development while maintaining control. - **Regional challenges**: Recent developments show mixed signals with Calcasieu Parish rejecting a major solar project and lawmakers requesting holds on solar developments pending review of state laws.",
https://app.sparkhq.ai/reports?location=434,Iberia Parish,LA,,,Mentions moratoria,BAD,"- **Active Moratorium**: Iberia Parish Council has repeatedly extended moratoriums on solar farms, with the latest extension until August 2025 due to strong public opposition. - **Strong Community Opposition**: Over 100 residents have attended council meetings to voice concerns about solar farms, citing property values, environmental impacts, and quality of life issues. - **Historical Pattern**: Multiple moratoriums and extensions since 2024 show a consistent pattern of resistance to solar farm development, despite allowing solar manufacturing facilities.",
https://app.sparkhq.ai/reports?location=445,Pointe Coupee Parish,LA,,,Mentions moratoria,MIXED,"- **Recent policy shift**: Despite history of approving major solar projects, the parish enacted a 10-year moratorium on new solar permits in December 2023. - **Established framework**: Parish has comprehensive solar ordinance and regulations, showing institutional support for controlled development. - **Economic recognition**: Strong track record of approving large projects (Ventress, Oxbow, Mondu) with clear economic benefits, but increasing community concerns about land use and proximity to homes.",
https://app.sparkhq.ai/reports?location=452,Orleans Parish,LA,,,No mentions of moratoria,GOOD,"- **Strong policy support**: New Orleans has implemented a Renewable and Clean Portfolio Standard (RCPS) targeting net-zero emissions by 2040, with comprehensive rules for community solar projects and streamlined permitting processes. - **Active development**: Multiple large-scale solar projects are underway or completed, including the 20MW Michoud facility, 6.7MW school campus projects, and planned Gordon Plaza solar farm. - **Community engagement**: The city actively promotes solar adoption through programs like Solar for All NOLA, provides financial incentives, and has high approval rates (97%) for solar installations even in historic districts.","NOLA Public Schools, Green Coast Enterprises, Working Power (10/29/2024): NOLA Public Schools launches a community solar project with two charter school campuses hosting solar panels, generating 6.7 MW of power. The project aims to provide discounted electricity to school communities, with eligible households expected to save up to $250 annually.; Link: https://greencoastenterprises.com/wp-content/uploads/2024/10/Community-Solar-Announcement.pdf; Entergy (9/30/2024): Multiple solar projects planned across various states with capacities ranging from 20 to 250 megawatts, including battery storage solutions. Projects are spread across Mississippi, Louisiana, Texas, and Arkansas, with commercial operations targeted between 2024 and 2028.; Link: https://cdn.entergy.com/userfiles/content/operations_information/Entergy-renewable-portfolio.pdf; Savion LLC (3/9/2025): Launch of a 100 MW solar project in Kiowa County, Oklahoma, utilizing over 189,000 bifacial solar panels across 1,235 acres. The project will power approximately 21,000 homes annually with a long-term Power Purchase Agreement secured with a Fortune 100 company.; Link: https://solarbuildermag.com/projects/savion-launches-oklahoma-project-to-expand-u-s-solar-portfolio-projects-weekly/"
https://app.sparkhq.ai/reports?location=454,Evangeline Parish,LA,,,Mentions moratoria,MIXED,"- **Recent moratorium**: A 9-month moratorium on new solar panel farm permits was enacted in October 2023, showing some hesitation towards rapid development. - **Active development**: Multiple large solar projects are being developed (Zydeco, Royal Road, Evangeline Solar) with support from local authorities and some community members. - **Mixed community response**: While some farmers support solar development for income diversification, others express concerns about land use, property values, and safety issues.","Recurrent Energy (11/18/2024): Zydeco Solar Project - 100 MW solar photovoltaic power generation facility covering 820 acres, expected to power 17,000 homes and create 225 construction jobs; Link: https://recurrentenergy.com/project/zydeco-solar-project/; Invenergy (12/31/2024): Royal Road Solar Energy Center - 125 MW solar project that will power 28,000 homes, create 300 construction jobs, and generate $90 million in local economic benefits; Link: https://assets.contentstack.io/v3/assets/blt1b4c58e01961ab11/blta9d05c5c0d86c46b/67941929259b9a6e1f274270/RoyalRoad_ProjectFactSheet_Dev_Solar_(6)_(4).pdf?branch=production; null (12/31/2026): $250 million solar farm investment project focused on clean energy production, scheduled for completion by 2027; Link: https://www.klfy.com/video/solar-powered-farm-to-be-built-in-evangeline-parish-will-be-completed-in-2027/9319295/"
https://app.sparkhq.ai/reports?location=456,St. Landry Parish,LA,,,Mentions moratoria,GOOD,"- **Strong regulatory support**: St. Landry Parish has established comprehensive solar and wind ordinances, showing commitment to renewable energy development. - **Multiple approved projects**: The parish has approved several major solar projects including Prairie Ronde (180MW), NextEra's St. Landry Solar (150MW), and other developments, demonstrating consistent support. - **Positive economic impact**: Local officials actively promote renewable projects for their economic benefits, with projects bringing significant tax revenue and job creation to the parish.","Lightsource bp (3/25/2025): Prairie Ronde Solar project (180 MW) begins operation, powering 31,000 homes with McDonald's as the power purchaser. The project will generate over $20M for public services.; Link: https://electrek.co/2025/03/26/made-in-america-solar-just-got-a-big-win-in-louisiana; NextEra Energy Resources (11/30/2024): St. Landry Solar project (150 MW) announced, creating 250 construction jobs and generating significant tax revenue for the parish.; Link: https://www.nexteraenergyresources.com/st-landry-solar/project-overview.html; Lightsource bp (3/25/2025): Prairie Ronde solar project launches with biodiversity initiatives, using US-made components and supporting local habitat conservation alongside energy production.; Link: https://pv-magazine-usa.com/2025/03/26/louisiana-solar-project-goes-online-with-u-s-made-components"
