Detailed Report,County,State,Municipality,Permitted Uses,Mentions of Moratoria,Sentiment,Sentiment Detail,Recent Projects
https://app.sparkhq.ai/reports?location=112,Kent County,MD,,,No mentions of moratoria,MIXED,"- **Regulatory framework**: Kent County has established zoning regulations and ordinances that allow for utility-scale solar projects, indicating a structured approach to renewable energy development. However, these regulations also impose significant restrictions, such as the 5-acre limit for solar arrays on agricultural land, reflecting a cautious stance. - **Community opposition**: There is notable local opposition to large-scale solar projects, with concerns about land use, agricultural preservation, and visual impacts. This opposition has led to the denial of some projects and ongoing debates about the balance between renewable energy and local interests. - **State vs. local control**: The state of Maryland has significant influence over solar project approvals, sometimes overriding local zoning laws, which has caused tension between state mandates and local governance. This dynamic contributes to a mixed sentiment as local authorities and residents seek to maintain control over land use decisions.",
https://app.sparkhq.ai/reports?location=375,Garrett County,MD,,,No mentions of moratoria,GOOD,"- **Active solar projects and approvals**: Garrett County has multiple solar projects either approved or under construction, such as the CPV Backbone Solar Farm and the Jade Meadow III project, indicating strong support for solar energy development. - **Zoning and regulatory support**: The county has amended zoning ordinances to include provisions for solar energy systems, showing a regulatory framework that supports renewable energy projects. - **Community and economic benefits**: There is significant local support for these projects, with expectations of job creation and economic benefits, further reinforcing the positive sentiment towards energy development.",
https://app.sparkhq.ai/reports?location=395,Caroline County,MD,,,Mentions moratoria,MIXED,"- **Regulatory framework and moratoriums**: Caroline County has a history of implementing moratoriums on solar and battery energy storage systems, reflecting caution and regulatory scrutiny towards energy projects. - **Community and official opposition**: There is significant opposition from local officials and residents against state legislation that could override local control, indicating resistance to external mandates on solar development. - **Active solar projects and ordinances**: Despite opposition, the county has approved several solar projects and has established ordinances to regulate solar energy systems, showing a willingness to engage in renewable energy development under local terms.","NextEra Energy Resources (11/30/2025): The Cherrywood Solar project, a 145 MW photovoltaic solar array development that will create 350 construction jobs and generate $34.8 million in tax revenue for Caroline County; Link: https://www.nexteraenergyresources.com/cherrywood-solar/project-overview.html; Preston Community Energy Initiative LLC (4/14/2025): A 2 MW solar facility project focused on providing community energy solutions, with special emphasis on benefiting low and moderate-income families in the area; Link: https://www.citizenportal.ai/articles/3001353/Caroline-County/Maryland/Preston-Community-Energy-Initiative-seeks-approval-for-2MW-solar-facility-in-Maryland; Chaberton Solar Pahar, LLC (2/13/2025): A 3.0 MW AC solar array project with 7,776 PV solar modules, seeking Pollinator-Friendly Solar Facility Designation and working through zoning challenges in an R1 residential zone; Link: https://dnr.maryland.gov/pprp/Documents/Case-9759-Pahar-Solar-Factsheet-3-6-25.pdf"
https://app.sparkhq.ai/reports?location=461,Frederick County,MD,,,Mentions moratoria,MIXED,"- County has established clear regulations for solar development but also imposed moratoriums, showing cautious approach - Strong community opposition to solar projects on agricultural land, but government working to balance interests - Recent legislation (Bill 24-10) demonstrates willingness to accommodate solar while protecting agricultural interests","New Leaf Energy (3/6/2025): A Massachusetts-based renewable energy company has applied to build a 5MW solar facility near Woodsboro, marking a significant new renewable energy development in Frederick County.; Link: https://www.fredericknewspost.com/news/environment/; Chaberton Energy (2/11/2025): The Maryland Public Service Commission approved construction of a 5-megawatt solar facility in the Rocky Ridge area near Thurmont.; Link: https://www.fredericknewspost.com/news/economy_and_business/real_estate_and_development/proposed-solar-facility-near-thurmont-gets-construction-approval-from-state/article_f1cee087-10bf-562b-ad0f-e3ffb471f844.html; Constellation Energy Projects & Services (10/27/2024): Development of a 16.1-megawatt solar array on 100 acres at Mount Saint Mary's College, with approved environmental considerations and county permissions.; Link: https://www.dmw.com/work/mount-st-marys-university-solar-array/"
https://app.sparkhq.ai/reports?location=596,Montgomery County,MD,,,Mentions moratoria,MIXED,"- County has approved several solar projects and has supportive policies like SolSmart Gold designation, but faces significant opposition for larger projects in Agricultural Reserve - Recent amendments to zoning laws (ZTA 20-01) allow solar development but with strict limitations on size (2MW cap) and location to protect agricultural land - Strong community division exists between renewable energy advocates and agricultural preservation groups, particularly regarding projects like Chaberton Solar Sugarloaf","Mortenson (9/30/2025): The EMTOC Fleet Depot project will be the largest renewable energy-powered transit depot and microgrid in the U.S., featuring 5.5 MW of solar energy generation and 2 MW of battery storage.; Link: https://www.mortenson.com/projects/emtoc-fleet-depot-ev-charging-microgrid; null (12/19/2024): The BGE Rivers community solar farm project offers 10% savings on energy costs for subscribers while supporting environmental initiatives through tree planting and habitat creation.; Link: https://neighborhoodsun.solar/solarfarms/bge-rivers/; Croom Road Solar, LLC (10/23/2024): A 5.0 MW solar generating facility proposed in Prince George's County, occupying 25 acres of a 40-acre site at the intersection of Croom Road and Route 301.; Link: https://www.dmv.virginia.gov/sites/default/files/documents/Washington%20Post%20-%20Notice%20-%2026Sept2024.pdf"
https://app.sparkhq.ai/reports?location=704,Carroll County,MD,,,Mentions moratoria,BAD,"- County has enacted multiple moratoriums and bans on solar projects on agricultural land, with strong local opposition to solar development - Residents and officials consistently express strong concerns about preserving farmland and opposing solar projects near residential areas - Recent regulations actively restrict and prohibit solar development on agricultural land, with commissioners repeatedly opposing new solar proposals","null (12/19/2024): Rivers solar farm project offering 10% savings for subscribers on BGE rates, featuring environmental benefits through habitat creation and accessibility for all residents with no joining costs or cancellation fees.; Link: https://neighborhoodsun.solar/solarfarms/bge-rivers/; Elk Development (11/6/2024): New 3.0-megawatt solar farm proposal submitted in Carroll County, marking the eighth such proposal, with additional public hearings scheduled for Hampstead (2.125MW) and Sykesville projects.; Link: https://www.newsbreak.com/the-baltimore-sun-1266024/3665242987037-8th-solar-farm-proposal-filed-for-carroll-farmland-as-hampstead-and-sykesville-solar-proposals-set-for-virtual-public-hearings; Elk Development LLC (9/25/2024): Pleasant Valley Solar Project proposing 2.142 MW solar array on 33.17-acre site, expected to create 50 jobs and generate $8 million in economic impact with $55,600 annual tax revenue.; Link: https://dnr.maryland.gov/pprp/Documents/Case-9746-Elk-Development-Pleasant-Valley-Factsheet-9-26-24.pdf"
https://app.sparkhq.ai/reports?location=1386,Baltimore County,MD,,,Mentions moratoria,MIXED,"- **Recent regulatory balance**: County has established comprehensive solar regulations while implementing restrictions to protect farmland and community interests. - **Project approval history**: While some projects face strong local opposition, many have been successfully approved and completed, including major initiatives like landfill solar projects. - **Active policy development**: Current legislation (2025) shows ongoing efforts to manage solar development through spacing requirements rather than outright bans, indicating a measured approach.","Elk Development, LLC (3/23/2025): Public hearings scheduled for multiple solar projects including Pleasant Valley Solar project and Cape Horn solar facility, with virtual participation options available for community input.; Link: https://www.psc.state.md.us/make-a-public-comment; ForeFront Power, TurningPoint Energy (3/21/2025): Completion of four community solar projects in Maryland serving 1,300+ homes across multiple counties, creating 150+ jobs, with three additional projects planned.; Link: https://deepcreektimes.com/forefront-power-and-turningpoint-energy-announce-the-completion-of-four-community-solar-projects-in-maryland-with-three-more-on-the-way; TurningPoint Energy (1/31/2025): Developer with over 1GW of solar projects nationwide announces various community solar projects ranging from 2.34 MW to 34 MW, emphasizing local labor utilization.; Link: https://turningpoint-energy.com/projects"
https://app.sparkhq.ai/reports?location=1506,Allegany County,MD,,,No mentions of moratoria,MIXED,"- **Active projects and hearings**: Allegany County is actively considering multiple solar and wind projects, with numerous public hearings scheduled, indicating ongoing engagement with renewable energy development. - **Community opposition and concerns**: There is significant local opposition to some projects, particularly wind farms, due to concerns about visual impacts, noise, and property values, reflecting mixed community sentiment. - **Regulatory framework and support**: The county has established zoning regulations for solar and wind energy systems, showing a structured approach to renewable energy, but the presence of opposition and past project denials suggests a complex approval environment.","null (12/16/2024): Project AG2-308 was withdrawn. The project involved battery generation with a proposed capacity of 75-100 MW.; Link: https://www.interconnection.fyi/project/pjm-ag2-308; Dry Ridge Solar 1, LLC (8/20/2024): Proposed 5.0 MW solar photovoltaic facility in Allegany County, covering 31 acres of a 141.84-acre property at 13615 Dry Ridge Road in Flintstone, Maryland.; Link: https://marketplace.times-news.com/cumberland-md/public-notices/estate-no.-37564-notice-to-cre/AC1E03F3163902273BWHuqCD1678; Dry Ridge Solar 1, LLC (8/20/2024): Public hearing scheduled for the Dry Ridge Solar project, with opportunities for community input and engagement regarding the 5.0 MW solar facility.; Link: https://marketplace.times-news.com/cumberland-md/public-notices/public-notice-human-resources-/AC1E045918eec004C1GVwv980413"
https://app.sparkhq.ai/reports?location=1517,Charles County,MD,,,No mentions of moratoria,MIXED,"- **Recent regulatory changes**: Charles County has zoning regulations that permit solar energy systems, but requires special exceptions for large projects, indicating cautious acceptance. - **History of project denials**: Multiple solar projects were denied permits in 2019 due to environmental concerns, particularly regarding forest clearing and water quality impacts. - **Community division**: While some support renewable energy initiatives, there is significant local opposition to projects that impact forests or sensitive environmental areas.",
https://app.sparkhq.ai/reports?location=1527,Somerset County,MD,,,No mentions of moratoria,GOOD,"- **Zoning ordinance amendments**: Somerset County has recently amended its zoning ordinance to better accommodate solar energy systems and energy storage devices, indicating strong support for renewable energy development. - **Approval of solar projects**: The county has approved several utility-scale solar projects, such as the Nexamp, Inc. project, showing a proactive approach to expanding solar energy capacity. - **Community and regulatory support**: Public hearings and community involvement in the approval process for solar projects demonstrate a supportive environment for renewable energy initiatives.",
