Detailed Report,County,State,Municipality,Permitted Uses,Mentions of Moratoria,Sentiment,Sentiment Detail,Recent Projects
https://app.sparkhq.ai/reports?location=263,Livingston County,MI,,,Mentions moratoria,BAD,"- Multiple townships have active moratoriums on solar and wind projects, including Tyrone, Conway, and Cohoctah Townships, showing strong resistance to energy development - Significant community opposition expressed through public meetings, with residents concerned about property values, environmental impacts, and loss of farmland - Recent legal challenges by 75+ municipalities against state renewable energy rules, demonstrating widespread resistance to utility-scale energy projects",
https://app.sparkhq.ai/reports?location=278,Eaton County,MI,,,No mentions of moratoria,MIXED,"- **Regulatory support and opposition**: Eaton County has enacted solar zoning ordinances and amendments to support solar and wind energy, but there are also significant legal challenges and moratoriums, particularly in Benton Township, indicating mixed regulatory support. - **Community division**: There is a clear divide among residents, with some supporting renewable energy for economic and environmental benefits, while others strongly oppose it due to concerns about farmland preservation and property values. - **Legal and procedural conflicts**: Ongoing legal disputes, such as the Sandstone Creek Solar lawsuit, highlight tensions between local zoning regulations and renewable energy projects, reflecting a complex and contentious environment for energy development.",
https://app.sparkhq.ai/reports?location=280,Delta County,MI,,,No mentions of moratoria,MIXED,"- **Recent Developments**: Delta County has approved several renewable energy projects and ordinances, including the Renegade Solar Project and wind farms, showing support for clean energy. - **Local Opposition**: Escanaba Township has shown resistance through moratoriums, restrictive ordinances, and joining legal challenges against state solar laws. - **Regulatory Changes**: Recent state legislation (Public Act 233) has created tension between local and state control over renewable energy projects, leading to ongoing debates and legal challenges.",
https://app.sparkhq.ai/reports?location=293,Clinton County,MI,,,Mentions moratoria,MIXED,"- **Moratoriums and regulatory reviews**: Clinton County has enacted a one-year moratorium on utility-scale wind and solar projects to reassess zoning regulations, indicating caution and mixed sentiment towards large-scale energy developments. - **Community opposition and support**: There is significant community opposition to large-scale projects due to concerns about farmland loss and environmental impacts, but also support for renewable energy initiatives, reflecting a divided community stance. - **Regulatory framework development**: The county is actively working on updating ordinances for solar and wind projects, showing a willingness to regulate and potentially support future energy developments, but with careful consideration of community concerns.",
https://app.sparkhq.ai/reports?location=363,Washtenaw County,MI,,,Mentions moratoria,MIXED,"- **Active development and support**: Multiple solar projects are being developed or approved, including White Tail Solar (120MW), Railsplitter Solar, and various community solar initiatives. - **Recent moratoriums**: Manchester Township has implemented multiple extensions of moratoriums on utility-scale solar projects, showing hesitation towards rapid development. - **Community division**: Strong opposition from some residents regarding property values and rural character, while others support projects for economic benefits and environmental reasons.","Ranger Power (12/10/2024): White Tail Solar Project - A 120-megawatt solar farm approved across 1,160 to 1,500 acres, with a $130 million investment. The project will supply clean electricity to approximately 15,000 to 20,000 homes annually.; Link: https://rangerpower.com/press; Voyager Energy Storage LLC (12/2/2024): 100MW/400MWh battery energy storage facility approved by Michigan Public Service Commission, with a total cost of approximately $404 million. Project set to start by May 2027.; Link: https://www.energy-storage.news/michigan-psc-approves-100mw-400mwh-battery-energy-storage-ppa/; Invenergy (10/20/2024): Washtenaw Solar PV Park - A 150MW solar power project in permitting stage, with construction expected to begin in 2024 and reach commercial operation in 2026.; Link: https://www.power-technology.com/data-insights/power-plant-profile-washtenaw-solar-pv-park-us/"
https://app.sparkhq.ai/reports?location=480,Lenawee County,MI,,,Mentions moratoria,MIXED,"- **Regulatory support and projects approved**: There are multiple instances of solar projects being approved, such as the Beecher Solar Project in Raisin Township and the Mustang Mile Solar Energy Facility in Macon Township, indicating some level of support for energy development. - **Community opposition and moratoriums**: There is significant community opposition to some projects, such as the Carroll Road Solar Farm, and instances of moratoriums being enacted, like in Deerfield Township, reflecting resistance to energy development. - **Zoning and ordinance updates**: Many townships, such as Rome and Adrian, are actively updating their zoning ordinances to regulate solar and battery storage systems, showing a proactive approach to managing energy projects, but also indicating ongoing debates and adjustments.",
https://app.sparkhq.ai/reports?location=743,Chippewa County,MI,,,No mentions of moratoria,MIXED,"- **Local support and initiatives**: The Bay Mills Indian Community is actively pursuing solar energy projects with significant federal funding, indicating local support for renewable energy development. - **Regulatory developments**: Soo Township has adopted a solar ordinance, showing a structured approach to managing solar energy projects, which is a positive sign for future developments. - **Community resistance and legislative challenges**: There is notable opposition to state-level legislative changes that could centralize control over energy projects, reflecting local concerns about losing governance over such developments.",
https://app.sparkhq.ai/reports?location=845,St. Clair County,MI,,,Mentions moratoria,MIXED,"- **Community Concerns**: There is significant community opposition to solar projects, particularly in Fort Gratiot, with concerns about environmental impacts, noise pollution, and health risks. - **Regulatory Efforts**: Several townships, like Riley and Mussey, have adopted ordinances to regulate solar energy, indicating a structured approach to renewable energy development. - **Local Governance Challenges**: Recent state legislation has reduced local control over renewable energy projects, leading to community efforts to regain local authority, reflecting mixed support and resistance.",
https://app.sparkhq.ai/reports?location=1105,Emmet County,MI,,,No mentions of moratoria,MIXED,"- **Restrictive Wind Regulations**: County has historically maintained very restrictive wind turbine noise limits (35 decibels) that effectively banned wind development, though there are attempts to revise these. - **Progressive Solar Stance**: Multiple solar projects are being approved, including a 3MW facility on a landfill site, and cities like Petoskey have ambitious renewable energy goals. - **Active Policy Development**: County is actively working on updating solar ordinances and regulations, showing willingness to accommodate renewable energy while maintaining strict oversight.",
https://app.sparkhq.ai/reports?location=1554,Branch County,MI,,,Mentions moratoria,GOOD,"- **Approval of multiple solar projects**: Ovid Township and surrounding areas have approved several large-scale solar projects, such as the Coldwater Solar project and the Sauk Solar Park, indicating strong support for renewable energy development. - **Zoning and ordinance updates**: The township has actively updated its zoning ordinances to accommodate solar energy systems, reflecting a proactive approach to integrating renewable energy into local planning. - **Community and economic benefits**: The projects promise significant economic benefits, including job creation and tax revenue, which are highlighted as positive outcomes for the community.","DTE Electric Company (2/11/2025): Cold Creek Solar Park project received approval for a 100-megawatt solar facility that will supply power to Ford Motor Company as part of DTE's green pricing program.; Link: https://wtvbam.com/2025/02/12/755666/; DTE Energy (10/24/2024): Sauk Solar park, DTE's largest solar facility to date, became operational with 150 megawatts capacity, capable of powering 40,000 homes and creating over 350 local jobs during construction.; Link: https://www.globenewswire.com/news-release/2024/10/25/2969594/0/en/DTE-Energy-begins-operating-its-largest-solar-park-Sauk-Solar.html; Hecate Energy (9/16/2024): Sunfish Solar 2 project announced, a 360 MW solar plant expected to generate 2 GWh annually, power 183,500 homes, and create 350 construction jobs while offsetting 1.56 million tons of CO2 emissions yearly.; Link: https://constructionreviewonline.com/construction-projects/michigans-newest-solar-project-360-mw-sunfish-solar-2/"
https://app.sparkhq.ai/reports?location=1694,Kalamazoo County,MI,,,Mentions moratoria,MIXED,"- **Recent regulatory activity**: Multiple townships are actively developing or revising solar and battery storage ordinances, showing willingness to accommodate energy projects while maintaining local control. - **Mixed community response**: While some areas like Kalamazoo Township and Richland Township show support for projects, others like Comstock Township have enacted moratoriums due to safety concerns. - **Significant development plans**: Major projects like Liberty Farms Solar (220MW) are being planned, but face varying levels of community acceptance and regulatory hurdles.","DESRI (2/12/2025): Construction begins on the 250 MW Show Me State Solar Park in Callaway County, Missouri, developed by DESRI and Ranger Power. The project secured financing and will create 300 jobs.; Link: https://energynews.pro/en/missouri-desri-and-ranger-power-launch-construction-of-the-show-me-state-solar-park/; Consumers Energy (2/10/2025): Liberty Farms Solar project announced in Kalamazoo County with 220 MW capacity, capable of powering 52,000 homes annually. Part of Consumers Energy's plan to install 8,000 MW of renewable energy by 2040.; Link: https://dailyenergyinsider.com/news/47177-consumers-energy-to-build-solar-project-in-kalamazoo-county-mich/; bluefield-solar (2/24/2025): Bluefield Solar Income Fund secured £300 million refinancing for its portfolio of 69 solar PV projects, enabling capital deployment for growth initiatives.; Link: https://energynews.pro/en/bluefield-solar-completes-300-million-refinancing-for-solar-portfolio/"
https://app.sparkhq.ai/reports?location=1719,Calhoun County,MI,,,Mentions moratoria,GOOD,"- **Approval of multiple solar projects**: The county has approved several large-scale solar projects, such as the Sunfish Solar 2 and Calhoun Solar Energy Center, indicating strong support for renewable energy development. - **Active solar ordinances and regulations**: The presence of solar ordinances and zoning regulations in various townships, such as Bedford and Sheridan, shows a structured approach to facilitating solar energy projects. - **Community and economic benefits**: The projects are expected to create jobs, generate significant tax revenue, and align with Michigan's renewable energy goals, reflecting positive community and economic impacts.","Consumers Energy, Hecate Energy (2/4/2025): Sunfish Solar 2 Project announced in Lee Township, Battle Creek area. The 360-megawatt solar farm will power 69,000 homes, create 350 construction jobs, and generate $225 million in economic impact.; Link: https://wkfr.com/solar-farm-battle-creek/; Consumers Energy (10/9/2024): Proposed 140 MWAC solar generation project covering 1,925 acres across Johnstown and Bedford Charter Townships, designed to accommodate existing dairy farm operations while minimizing environmental impact.; Link: https://webgen1files.revize.com/bedfordctmi/Spring%20Creek%20SLUP%20Cover%20Letter%20.pdf; Hecate Energy (9/30/2024): Bechtel selected to design and construct Sunfish Solar 2 facility as part of Michigan's 1-gigawatt development plan, aiming for 50% renewable energy by 2030.; Link: https://buildindigital.com/bechtel-to-deliver-michigan-solar-facility/"
https://app.sparkhq.ai/reports?location=1773,Barry County,MI,,,No mentions of moratoria,MIXED,"- **Active development with opposition**: Barry County is actively processing solar projects like Spring Creek Solar, but faces significant community resistance and 'Stop Solar Farms' signs. - **Recent regulatory framework**: County has adopted new solar ordinances in 2024 showing willingness to accommodate projects, but with strict oversight and limitations. - **Local control concerns**: Strong push from residents and officials to maintain local control over solar projects, indicating cautious approach to development.",
https://app.sparkhq.ai/reports?location=2215,Alpena County,MI,,,No mentions of moratoria,GOOD,"- **Strong regulatory support**: Multiple townships (Wilson, Ossineke, Maple Ridge) have adopted solar ordinances and zoning regulations specifically allowing solar and wind energy development. - **Major projects underway**: Several significant solar projects are in development, including Holcim's 25MW solar array and Alpena Community College's 6-acre solar installation. - **Utility cooperation**: Local utilities like Alpena Power Company are actively supporting renewable energy through RFPs and power purchase agreements for solar projects.",
https://app.sparkhq.ai/reports?location=2225,Tuscola County,MI,,,Mentions moratoria,MIXED,"- **Recent state legislation**: Michigan passed laws in 2023 shifting control of renewable energy projects from local to state level, causing significant tension and legal challenges from local authorities. - **Active development**: The region has several successful wind farms (like Cross Winds Energy Park) and is considering new solar projects, showing potential for energy development. - **Local resistance**: Multiple townships have enacted moratoriums on solar/wind projects, and there's significant community opposition, particularly regarding loss of farmland and local control.","null (3/13/2025): Upper Thumb and Mid Michigan regions are leading renewable energy development, contributing 59% of state's Renewable Energy Credits. DTE and Consumers Energy are expanding with new solar parks and significant wind/solar additions planned through 2042.; Link: https://thumbwind.com/michigan-wind-farm-map; Birch Valley (2/11/2025): Large-scale solar farm development planned in Arbela Township, covering over 1,500 acres. Project benefits from new state law transferring zoning control to Michigan Public Service Commission.; Link: https://thumbnet.net/wire/headlines/52694_Arbela_Township_eyed_for_solar_farm_Tuscola_County_001255.php; NextEra Energy Resources (10/20/2024): 220.3MW Tuscola County Wind Farm operating with long-term power purchase agreement with DTE Energy, representing significant renewable energy development in Michigan.; Link: https://www.power-technology.com/data-insights/power-plant-profile-tuscola-county-wind-farm-us/"
https://app.sparkhq.ai/reports?location=2227,Mason County,MI,,,Mentions moratoria,MIXED,"- **Recent regulatory activity**: Mason County is actively working on updating solar ordinances and considering DTE's proposals for solar projects, showing openness to renewable energy development. - **Historical challenges**: The county has faced significant opposition and legal battles over the Lake Winds Energy Park, including noise complaints and a temporary moratorium on wind development in 2012. - **Current development interest**: While there is interest from utilities like DTE for new solar projects, there's notable community division and resistance, with the Planning Commission recently voting 4-3 against DTE's solar ordinance amendments.",
https://app.sparkhq.ai/reports?location=2229,Lake County,MI,,,No mentions of moratoria,GOOD,- Township has actively developed and implemented comprehensive solar energy regulations in their zoning ordinance. - Multiple iterations of zoning updates show ongoing commitment to accommodating solar energy development. - Regulations specifically allow for large principal-use solar installations intended for off-site distribution.,
https://app.sparkhq.ai/reports?location=2231,Wayne County,MI,,,No mentions of moratoria,GOOD,"- Multiple cities and townships have approved or are actively developing solar ordinances and projects, including Detroit's major Solar Neighborhoods Initiative and DTE's large battery storage facility. - Strong government support evidenced by Michigan's ambitious renewable energy goals and significant investments in solar/storage projects. - Widespread community engagement in renewable energy planning, with many neighborhoods actively participating in solar initiatives and expressing support for clean energy development.","DTE Electric Company (4/23/2025): DTE Electric seeks approval for the City of Detroit Solar Park, a 10 MW solar project in the Van Dyke/Lynch neighborhood, part of a larger 300 MW solar energy initiative. Expected to begin operations in Q3 2026.; Link: https://adms.apps.lara.state.mi.us/Mpsc/ViewCommissionOrderDocument/27115; null (3/16/2025): Michigan issues RFP for 450 MW of energy storage to support 60% renewable energy standard by 2030. DTE Energy plans to have 2.95 GW of energy storage capacity by 2042.; Link: https://batteryindustry.net/us-states-tendering-for-550-mw-of-energy-storage; North End Woodward Community Coalition (3/3/2025): Solar initiative funded by $200,000 DOE grant aims to establish solar arrays and redistribute energy credits to low-income residents in Highland Park, Hamtramck, and Detroit's North End.; Link: https://planetdetroit.org/2025/03/detroit-solar-power-initiative/"
https://app.sparkhq.ai/reports?location=2233,Huron County,MI,,,Mentions moratoria,MIXED,"- **Frequent moratoriums**: Huron County has a history of imposing moratoriums on both wind and solar energy projects, indicating caution and community concerns about renewable energy development. - **Regulatory efforts**: The county is actively working on developing solar and wind ordinances, showing a willingness to regulate and potentially support renewable energy projects. - **Community opposition**: There is significant local opposition to wind energy projects, with concerns about health impacts and loss of farmland, which complicates the approval of new projects.",
https://app.sparkhq.ai/reports?location=2234,Leelanau County,MI,,,No mentions of moratoria,GOOD,"- **Active Support**: Multiple townships are developing or updating solar ordinances to accommodate both small-scale and utility-scale solar projects, showing proactive engagement. - **Financial Investment**: The region has received significant funding for renewable energy, including USDA grants and PACE programs, demonstrating institutional support. - **Community Engagement**: Local governments are actively involving residents in solar energy discussions and showing willingness to balance agricultural interests with renewable energy development.",
https://app.sparkhq.ai/reports?location=2237,Grand Traverse County,MI,,,No mentions of moratoria,GOOD,"- **Strong regulatory framework**: Multiple townships have comprehensive solar ordinances and are actively updating them to accommodate solar development. - **Successful project approvals**: Several large solar projects have been approved, including the 50-acre Trailside Solar project in Acme Township and various utility-scale installations. - **Proactive planning**: Townships are conducting solar suitability analyses, engaging in public discussions, and creating frameworks to support renewable energy while addressing community concerns.",
https://app.sparkhq.ai/reports?location=2238,Keweenaw County,MI,,,No mentions of moratoria,BAD,"- Solar energy is explicitly not recognized as either principal or accessory use in zoning, effectively prohibiting solar developments. - Public complaints have been recorded regarding existing solar installations, indicating community resistance. - Lack of formal frameworks and special provisions for green energy projects creates significant regulatory barriers.",
https://app.sparkhq.ai/reports?location=2239,Houghton County,MI,,,Mentions moratoria,MIXED,"- **Regulatory challenges and moratoriums**: There have been multiple moratoriums on wind and solar projects in Adams and Stanton Townships, reflecting significant local opposition and regulatory hurdles. - **Community engagement and compliance**: Despite past opposition, Circle Power is actively engaging with the community and adhering to local ordinances for the Scotia Wind project, indicating a willingness to address concerns. - **Zoning ordinances and renewable energy integration**: The presence of zoning ordinances in Hancock and Adams Townships for solar and wind energy suggests a structured approach to renewable energy, though community sentiment remains divided.",
https://app.sparkhq.ai/reports?location=2242,Ingham County,MI,,,Mentions moratoria,MIXED,"- **Recent state legislation**: Public Act 233 shifts control of large renewable projects from local to state level, creating uncertainty and potential conflicts between state and local authorities. - **Active community engagement**: Multiple townships are developing or updating solar and wind ordinances, showing willingness to accommodate renewable energy while maintaining local control. - **Mixed local response**: While some areas show support through solar carports and PACE programs, others express strong concerns about farmland preservation and property values, particularly in Wheatfield and Locke Townships.",
