Detailed Report,County,State,Municipality,Permitted Uses,Mentions of Moratoria,Sentiment,Sentiment Detail,Recent Projects
https://app.sparkhq.ai/reports?location=234,Jackson County,MO,,,No mentions of moratoria,GOOD,"- **Strong government support**: Multiple approvals for solar projects by Missouri Public Service Commission and local governments, including large-scale projects like the KCI solar farm (up to 500MW). - **Progressive regulations**: Cities like Blue Springs, Oak Grove, and Kansas City have updated their codes to facilitate solar installations and streamlined permitting processes. - **Significant ongoing development**: Multiple large-scale projects in development or approved, including the Beavertail Solar project (400MW) and numerous utility-scale solar facilities, showing strong momentum for renewable energy.",
https://app.sparkhq.ai/reports?location=350,Callaway County,MO,,,No mentions of moratoria,MIXED,"- **Recent project approvals**: Multiple large solar projects have been approved, including the 250MW Show Me State Solar Project and the Guthrie Solar Project, showing some support for renewable energy. - **Strong local opposition**: Significant community resistance exists, with residents forming opposition groups, expressing concerns about property values, and pushing for stricter regulations. - **Regulatory uncertainty**: Recent legislation and court decisions have created uncertainty around solar taxation and regulation, with new bills proposing more local control and restrictions on solar development.","DESRI (2/10/2025): Construction begins on a 250MW solar project in Callaway County, Missouri. The project will create over 300 jobs during peak construction and has a power purchase agreement with Meta. This represents a major renewable energy development for the state.; Link: https://www.energymonitor.ai/news/desri-ranger-power-start/; Cider Solar (2/4/2025): New York begins construction of its largest solar farm, the Cider Solar Farm. The project will create hundreds of jobs and support the state's goal of achieving 70% renewable energy by 2030.; Link: https://energynews.pro/en/new-york-launches-construction-of-its-largest-solar-farm-cider-solar-farm/; Toyota Tsusho America, Avantus (8/25/2024): Construction begins on the 159 MWdc Norton solar project in Texas. The project will create 250 jobs and reduce 230,000 metric tons of CO2 emissions annually. A long-term power supply agreement has been secured with an industrial customer.; Link: https://energynews.pro/en/toyota-tsusho-america-and-avantus-launch-159-mw-solar-project-in-texas/"
https://app.sparkhq.ai/reports?location=504,Wayne County,MO,,,,,,
https://app.sparkhq.ai/reports?location=799,Ralls County,MO,,,No mentions of moratoria,GOOD,"- **Multiple approved projects**: The area has approved and is actively developing major renewable energy projects, including the 200MW Huck Finn Solar Project and potential wind farms. - **Strong utility support**: Ameren Missouri is actively investing in and expanding renewable energy projects in the region, with plans for additional developments. - **Economic benefits welcomed**: Local communities are benefiting from significant revenue ($14M+) and job creation (250+ construction jobs), showing positive reception to energy development.",
https://app.sparkhq.ai/reports?location=800,Cass County,MO,,,No mentions of moratoria,GOOD,"- **Multiple approved projects**: Cass County has approved several major solar projects, including the 150MW Cass County Renewable Energy Center and other facilities totaling 500MW. - **Supportive regulations**: The county has comprehensive solar and wind energy regulations in place that provide clear guidelines for development while protecting community interests. - **Active development**: There are multiple ongoing and planned energy projects, including NextEra Energy's proposed 200MW solar project, showing continued support for energy development.",
https://app.sparkhq.ai/reports?location=801,Boone County,MO,,,No mentions of moratoria,MIXED,"- **Proactive renewable development**: Boone County has established comprehensive Solar Energy Overlay District (SEOD) regulations and is actively working on solar and wind regulations, showing commitment to renewable energy. - **Strong opposition to wind**: The county enacted restrictive wind regulations in 2021 that were criticized as a 'de facto wind ban', indicating resistance to certain types of renewable energy. - **Community division**: While there is institutional support for solar projects and Columbia has ambitious renewable energy goals, there are significant community concerns about property values, environmental impacts, and quality of life issues.",
https://app.sparkhq.ai/reports?location=803,Cooper County,MO,,,No mentions of moratoria,GOOD,"- **Active Development**: Cooper County has an active large-scale solar + battery project (75-100MW) in the interconnection queue, showing openness to utility-scale renewable development. - **Local Support**: The City of Bunceton within Cooper County demonstrates strong support through community solar programs and streamlined permitting processes. - **Regional Progress**: The broader region shows positive momentum with Ameren's successful launch of multiple solar facilities, indicating a supportive regulatory environment.",
https://app.sparkhq.ai/reports?location=806,Cole County,MO,,,No mentions of moratoria,MIXED,"- **Recent legislative challenges**: The 2024 bill banning eminent domain for wind and solar projects signals growing resistance to renewable energy development. - **Supportive regulatory framework**: The state has established solar rebates and renewable energy standards, showing institutional support for clean energy. - **Ongoing policy tensions**: Multiple lawsuits and legislative battles over solar rebates and taxes indicate a complex, evolving landscape for energy development.",
https://app.sparkhq.ai/reports?location=809,Henry County,MO,,,No mentions of moratoria,MIXED,"- **Significant project approval**: Henry County Commission has approved major solar projects and tax incentives, including the 400MW Beavertail Solar Project and Chapter 100 agreements. - **Strong local opposition**: Over 100 citizens filed petitions against solar developments, commissioners supporting solar were voted out, and there's significant community pushback regarding transparency and environmental concerns. - **Economic benefits vs. community concerns**: While projects promise substantial economic benefits ($1M+ annual revenue, hundreds of jobs), there's persistent tension between development goals and preservation of agricultural lifestyle.",
https://app.sparkhq.ai/reports?location=810,Buchanan County,MO,,,No mentions of moratoria,MIXED,"- County has recently approved solar farm regulations in 2024 and is actively working to accommodate solar development, but has a complete ban on commercial wind energy from 2020. - Strong community opposition was demonstrated against wind energy projects, with over 700 signatures gathered against wind development. - The county is taking a cautious, regulated approach to solar development with detailed requirements for landscaping, safety measures, and decommissioning plans.",
