Detailed Report,County,State,Municipality,Permitted Uses,Mentions of Moratoria,Sentiment,Sentiment Detail,Recent Projects
https://app.sparkhq.ai/reports?location=196,Greene County,NC,,,Mentions moratoria,BAD,"- County just approved a **two-year moratorium** on new solar farm permits in March 2025 due to community concerns about safety and environmental impacts. - Strong local opposition voiced regarding the NextEra solar project, with residents expressing concerns about farmland preservation, fire safety, and property values. - While the county has approved some projects historically, recent community pushback and the moratorium signal a significant shift against future energy development.",
https://app.sparkhq.ai/reports?location=205,Watauga County,NC,,,No mentions of moratoria,GOOD,"- **Strong municipal support**: Town of Boone has achieved 100% renewable energy for municipal operations and has clear permitting processes for solar installations. - **Regulatory framework**: Multiple jurisdictions have established comprehensive ordinances for renewable energy, including Seven Devils' Alternative Energy Resources Ordinance and Watauga County's solar lease agreements. - **Historical success**: The region has a positive track record with renewable projects, including the successful Mod-1 Wind Turbine Project and the recent Brighter Future Solar Project.",
https://app.sparkhq.ai/reports?location=207,Nash County,NC,,,No mentions of moratoria,GOOD,"- **Strong approval history**: Nash County has consistently approved numerous solar farm projects over the past decade, including large projects like the 692-acre Phobos Solar farm and multiple smaller installations. - **Supportive regulations**: The county has established clear zoning regulations for solar farms and recently approved battery storage systems, showing proactive support for energy development. - **Economic benefits recognized**: Local officials consistently highlight the positive economic impact of solar projects, including tax revenue and job creation, with minimal opposition from residents.","Natron Energy (8/26/2024): Plans to invest $1.4 billion in a new sodium-ion battery factory in North Carolina, with expected production of 14 GW of batteries. The project is significant for using more sustainable materials without lithium, cobalt, or nickel.; Link: https://www.utilitydive.com/news/natron-energy-1-4-b-sodium-ion-battery-factory-kingsboro-north-carolina/725211/; NextEra Energy Resources (12/31/2024): The Skylight Solar project will provide 78 megawatts of clean solar energy, generating local jobs and millions in revenue for Nash County while supporting environmental goals.; Link: https://www.nexteraenergyresources.com/skylight-solar.html; Skylight Solar (11/25/2024): Approval of a 31-megawatt Battery Energy Storage System (BESS) for the Skylight Solar farm in Castalia, featuring four climate-controlled units with lithium-ion batteries to enhance energy storage capabilities.; Link: https://www.nashvillegraphic.com/search.php?location=0&page=15&search=house+fire"
https://app.sparkhq.ai/reports?location=441,Rowan County,NC,,,Mentions moratoria,BAD,"- Strong community opposition led to multiple project withdrawals and rejections, including a 575-acre solar farm in Gold Hill and a 428-acre project in western Rowan County. - County implemented multiple moratoriums on solar development since 2019, with extensions through 2021, showing significant regulatory caution. - Recent large-scale solar proposals have faced consistent rejection from both Planning Board and County Commissioners, with residents citing concerns about property values, wildlife impact, and aviation safety.","East Energy Operations, LLC (3/30/2025): Proposes a rooftop solar facility with solar arrays located on two new barns for local renewable energy production; Link: https://clearinghouse.nc.gov/SCH; Taeda Solar (3/30/2025): Plans a new 55 MW AC solar photovoltaic facility in Granville County; Link: https://clearinghouse.nc.gov/SCH; Onaway Solar, LLC (3/30/2025): Seeks to develop a 45 MW AC solar project in Hoke County; Link: https://clearinghouse.nc.gov/SCH"
https://app.sparkhq.ai/reports?location=590,Union County,NC,,,Mentions moratoria,GOOD,"- **Strong track record**: Multiple solar projects have been approved and successfully implemented, including the 60MW Monroe Solar Facility and other Duke Energy projects. - **Supportive regulations**: The area has established structured fee systems and permitting processes specifically for solar farms, indicating institutional support. - **Ongoing development**: Active discussions about new solar regulations and text amendments show continued commitment to renewable energy integration.",
https://app.sparkhq.ai/reports?location=906,Wayne County,NC,,,No mentions of moratoria,GOOD,"- **Strong regulatory framework**: Wayne County has established comprehensive solar ordinances and zoning regulations that explicitly allow and regulate solar energy facilities, showing institutional support for development. - **Track record of approvals**: The county has consistently approved solar projects, including recent approval of two 80MW solar farms in 2023, demonstrating ongoing support for energy development. - **Favorable legal environment**: North Carolina court rulings support solar development through tax exemptions, and the county has multiple operational solar facilities showing successful project implementation.",
https://app.sparkhq.ai/reports?location=964,Pender County,NC,,,No mentions of moratoria,BAD,"- **Recent Rejections**: Multiple large solar projects have been rejected, including a significant 2,300-acre proposal by Coastal Pine Solar, with the rejection being upheld by courts. - **Strong Community Opposition**: Local residents and the Farm Bureau consistently voice concerns about environmental impacts, flooding risks, and loss of agricultural land. - **Restrictive Regulations**: County has implemented new, more stringent zoning regulations making it harder to approve solar projects, requiring conditional rezoning instead of special use permits.","TransAlta (9/12/2024): North Carolina Solar portfolio featuring 20 solar sites with total capacity of 122 MW, contracted with Duke Energy. Each site generates approximately 6.7 MW using advanced solar technology.; Link: https://tapublictest.azurewebsites.net/about-us/our-operations/facilities/north-carolina-solar/"
https://app.sparkhq.ai/reports?location=1433,Anson County,NC,,,No mentions of moratoria,GOOD,"- **Multiple approved projects**: Several large-scale solar projects have been successfully approved and constructed, including the $180M Innovative Solar project and Wadesboro Solar Farm. - **Economic benefits recognized**: Projects have significantly increased tax revenue (from $700 to $32,000 annually) and created hundreds of local jobs. - **Supportive regulations**: The county has implemented a Solar Energy Ordinance and has clear zoning regulations that specifically accommodate solar facilities while ensuring responsible development.",
https://app.sparkhq.ai/reports?location=1435,Durham County,NC,,,No mentions of moratoria,GOOD,"- **Strong Policy Support**: Durham County has established comprehensive guidelines through their Solar Energy Supplementary Planning Document (SPD) and actively approves large-scale solar projects. - **Multiple Approved Projects**: The county has approved several significant solar farms, including a 49.9MW project at Bluestone farm and a 33MW project at Whinfield, demonstrating consistent support for renewable energy. - **Government Commitment**: Local government entities (City of Durham, Durham County, Durham Public Schools) have joined Duke Energy's Green Source Advantage program, committing to significant renewable energy purchases and setting ambitious clean energy goals.",
https://app.sparkhq.ai/reports?location=1437,Avery County,NC,,,No mentions of moratoria,GOOD,"- **Successful solar project**: Avery County has established a solar farm that generates electricity for 150 homes, indicating support for solar energy development. - **Local economic benefits**: The solar project provided local job opportunities, showing community and economic support for renewable energy. - **Promotion of solar energy**: Companies like Yup Solar are actively promoting solar installations in the area, suggesting a favorable environment for energy projects.",
