Detailed Report,County,State,Municipality,Permitted Uses,Mentions of Moratoria,Sentiment,Sentiment Detail,Recent Projects
https://app.sparkhq.ai/reports?location=630,Richland County,ND,,,No mentions of moratoria,MIXED,"- **Initial opposition and restrictive ordinance**: Colfax Township had a 1995 ordinance prohibiting solar installations, showing historical resistance to solar development. - **Significant economic benefits driving support**: The Flickertail Solar Project promises substantial financial benefits, including increasing township budget from $80,000 to $180,000 annually and generating $1.4M in revenue over 5 years. - **Recent progress but ongoing challenges**: While public hearings are scheduled and community response has been generally positive, there are still concerns about setback requirements, application fees, and impact on farmland.","Flickertail Solar Project, LLC (3/9/2025): Large-scale 300-megawatt solar facility proposed in Richland County, ND, spanning 3,464 acres with an estimated cost of $375 million. Public hearing scheduled for March 24, 2025.; Link: https://www.valleynewslive.com/2025/03/10/solar-project-proposed-richland-county/; Otter Tail Power Company (12/8/2024): Plans to add two solar facilities totaling 345MW - Solway Solar (50MW) in Minnesota and Abercrombie Solar (295MW) in North Dakota, with operations starting in 2026 and 2028 respectively.; Link: https://markets.businessinsider.com/news/stocks/otter-tail-advances-plan-to-add-345mw-of-solar-power-1034116542; Flickertail Solar Project, LLC (2/5/2025): Initial public notice and hearing announcement for the 300MW solar energy facility in Richland County, marking the beginning of the public consultation process.; Link: https://psc.nd.gov/public/notices/noticeselectricgas.php?docket_card2008Page=1"
https://app.sparkhq.ai/reports?location=663,Eddy County,ND,,,No mentions of moratoria,MIXED,"- **Recent regulatory updates**: County has updated zoning ordinances for both wind and solar energy facilities, showing openness to renewable energy development. - **Strong community opposition**: Significant resident concerns about property values, noise pollution, and health impacts from proposed wind projects. - **Economic benefits vs. local resistance**: While projects like Flickertail Wind Farm promise substantial economic benefits ($100M boost), there's persistent local opposition and calls for increased public engagement.",
https://app.sparkhq.ai/reports?location=666,Divide County,ND,,,No mentions of moratoria,GOOD,"- **Active Development of Solar Ordinance**: The county is proactively developing and refining comprehensive solar regulations, showing commitment to enabling energy development. - **Engagement with Developers**: County officials have met with solar developers like Pine Gate Renewables, indicating openness to energy projects. - **Supportive Infrastructure**: The zoning code explicitly defines and allows for solar farms, with clear guidelines for projects generating 15kW or more.",
https://app.sparkhq.ai/reports?location=1212,Cass County,ND,,,No mentions of moratoria,GOOD,"- **Strong local support**: Multiple approvals and permit extensions have been granted, with consistent backing from local officials and farmers. - **Active development**: The project has received a 5-year permit extension and is actively moving forward with construction planned for 2025. - **Regulatory adaptation**: The state has shown willingness to modify regulations (like prime farmland rules) to accommodate renewable energy development.","Otter Tail Power Company (12/8/2024): Plans to add 345 megawatts of solar capacity to enhance renewable energy offerings, focusing on providing reliable and low-cost power.; Link: https://www.ottertail.com/investors/news/default.aspx; Harmony Solar (11/24/2024): Public Service Commission approved the 200-megawatt Harmony Solar project in Cass County, marking a significant expansion of solar energy in the region.; Link: https://news.prairiepublic.org/tags/solar-power; Harmony Solar ND, LLC (8/13/2024): 200-megawatt solar project near Casselton moves forward after seven years, expected to generate $500,000 annually in local taxes.; Link: https://www.nordakpublishing.com/articles/utility-sized-solar-farm-near-casselton-takes-step-forward"
https://app.sparkhq.ai/reports?location=1228,McLean County,ND,,,Mentions moratoria,BAD,"- **Active opposition**: McLean County has repeatedly denied permits for wind projects, including the recent rejection of the Discovery Wind Farm in 2024, showing consistent resistance to renewable energy. - **Historical restrictions**: The county has implemented moratoriums on both solar and wind projects, with explicit measures to block renewable energy development to protect coal interests. - **Strong local resistance**: There is significant community opposition to renewable projects, with concerns about impacts on wildlife, infrastructure, and rural lifestyle consistently being raised at public hearings.",
https://app.sparkhq.ai/reports?location=3456,Bottineau County,ND,,,No mentions of moratoria,GOOD,"- **Active Investment**: Willow City is actively investing in solar energy initiatives and promoting sustainability. - **Community Support**: The city runs campaigns like Solarize Willow City to encourage residential solar adoption. - **Infrastructure**: Local companies like Yup Solar assist with permitting and implementation, indicating established support systems for energy projects.",
https://app.sparkhq.ai/reports?location=4005,Wells County,ND,,,No mentions of moratoria,MIXED,"- **Existing regulations**: Wells County has established wind energy facility regulations, showing openness to renewable energy development while ensuring oversight. - **Active development**: The Flickertail Wind Project shows ongoing interest in wind development, with significant economic benefits projected. - **Community opposition**: Local residents have expressed strong concerns about noise, property values, and environmental impacts, indicating divided community sentiment.",
https://app.sparkhq.ai/reports?location=4362,Traill County,ND,,,No mentions of moratoria,,,
https://app.sparkhq.ai/reports?location=4420,Stutsman County,ND,,,No mentions of moratoria,GOOD,"- **Strong project history**: Multiple large wind farms have been approved and developed, including the 200MW Courtenay Wind Farm and planned 285-turbine NextEra project. - **Supportive regulatory environment**: State legislature and PSC show consistent support through tax credits, project approvals, and financial incentives like the $125M forgivable loan. - **Positive local reception**: Evidence of strong local support from officials and residents, with multiple successful projects bringing economic benefits to landowners and communities.",
https://app.sparkhq.ai/reports?location=4614,McHenry County,ND,,,No mentions of moratoria,GOOD,"- **Multiple approved projects**: McHenry County has successfully approved and implemented several wind projects, including the New Frontier Wind farm and Ruso Wind Project. - **Strong financial investment**: The region has attracted significant investment, including a $92 million tax equity investment from JP Morgan, indicating institutional confidence. - **Community engagement**: Projects demonstrate active community involvement with local hiring practices, community support initiatives, and educational workshops.",
