Detailed Report,County,State,Municipality,Permitted Uses,Mentions of Moratoria,Sentiment,Sentiment Detail,Recent Projects
https://app.sparkhq.ai/reports?location=121,Washington County,NE,,,No mentions of moratoria,MIXED,"- **Initial opposition**: Planning Commission unanimously recommended denying two solar farm installations in 2020 due to strong community opposition. - **Successful projects**: OPPD's community solar program has been successful with high participation and a waiting list, showing community support. - **Recent developments**: Large-scale projects like Big Elk Solar are being developed, but the county's history of denying projects suggests careful scrutiny of new proposals.",
https://app.sparkhq.ai/reports?location=639,Jefferson County,NE,,,Mentions moratoria,MIXED,"- **Regulatory Evolution**: County has established specific regulations for both wind and solar energy, but has also implemented multiple moratoriums while reviewing and updating regulations. - **Community Division**: Strong opposition from some residents (forming Wind Watchers group, expressing concerns at meetings) balanced by others supporting renewable projects and their economic benefits. - **Active Development**: Despite challenges, major projects like the Big Blue Wind project (300MW) are moving forward, and the county has frameworks for both wind and solar development.",
https://app.sparkhq.ai/reports?location=856,Banner County,NE,,,No mentions of moratoria,GOOD,"- **Active Development Interest**: Multiple large-scale energy projects are being actively proposed, including the 400MW Situla solar project and previous wind farm proposals, showing strong development potential. - **Community Economic Benefits**: Projects promise significant economic advantages including job creation (225-600 construction jobs) and substantial tax revenue ($1.4M+ annually), which can increase local support. - **Supportive Regulatory Environment**: Nebraska has enacted supportive legislation like LB1048 to facilitate energy development, and Banner County is actively engaging with developers through public meetings and board discussions.","Dunlieh Energy (11/4/2024): FTC Solar secured a deal to provide solar tracker systems for over 1GW of projects, starting with the 500MW Situla energy project in Nebraska. The project will create 225 construction jobs and contribute $1.4 million annually in taxes.; Link: https://www.power-technology.com/news/ftc-solar-trackers-dunlieh-energy/; Dunlieh Energy (9/16/2024): Dunlieh Energy announced plans for the Situla Solar Project in Banner County - a 400MW solar facility with 200MW battery storage on 2,000 acres. The $886 million project promises 400-600 construction jobs and $49 million in tax revenue over 35 years.; Link: https://ruralradio.com/kozy/news/dunlieh-energy-pitches-a-situla-solar-project-for-banner-county; FTC Solar (11/3/2024): FTC Solar entered into a major supply agreement with Dunlieh Energy to provide trackers for over 1GW of solar projects, with deliveries beginning in 2025 for the Situla Energy Project in Nebraska.; Link: https://www.stocktitan.net/news/FTCI/ftc-solar-announces-1gw-tracker-supply-agreement-with-dunlieh-ik0iqhzxtsjt.html"
https://app.sparkhq.ai/reports?location=860,Lancaster County,NE,,,Mentions moratoria,MIXED,"- **Recent approvals with opposition**: County has approved several large solar projects (Salt Creek Solar, Panama Energy Center) but faces significant community opposition and lawsuits - **Evolving regulations**: County has updated zoning codes to better accommodate renewable energy while maintaining strict requirements for setbacks and screening - **Wind restrictions**: Has some of the strictest wind turbine setback requirements in Nebraska (1-mile from non-participating homes), indicating cautious approach to renewable energy","NextEra Energy (1/20/2025): Lancaster County Board approved a $600 million solar farm project covering 2,400 acres near Hallam. The project will be the largest in Nebraska, expected to generate $42 million in tax revenue and includes increased setbacks and safety measures to address community concerns.; Link: https://www.klkntv.com/lancaster-county-board-of-commissioners-approve-proposed-solar-farm-near-hallam/; Bridge Renewable Energy (12/28/2024): Lincoln Electric System is implementing a new battery storage project in Haymarket, leasing 3-megawatt batteries for 11 years. The project will be part of a community microgrid in downtown Lincoln to provide backup power during peak usage and outages.; Link: https://www.newspressnow.com/news/regional_news/nebraska/lincoln-electric-system-implementing-new-battery-storage-project-in-haymarket/article_b61f2ef3-d748-53ed-b11c-192cf34dac5d.html; NextEra Energy (12/1/2024): NextEra Energy proposed a 304-megawatt solar farm with 120-megawatt battery storage capacity in Lancaster County. The project will cover over 2,400 acres and include battery storage allowing for up to four hours of energy storage.; Link: https://journalstar.com/news/local/government-politics/florida-company-proposing-what-would-be-lancaster-countys-largest-solar-farm/article_9f3c304c-a066-11ef-a6eb-638df8390d6f.html"
https://app.sparkhq.ai/reports?location=861,Scotts Bluff County,NE,,,Mentions moratoria,MIXED,"- County has both approved and rejected major solar projects, showing careful consideration rather than blanket support or opposition - Recently updated regulations and lifted moratorium show willingness to accommodate solar development with proper oversight - Community displays divided opinions, with some strongly supporting projects for economic benefits while others raise concerns about impacts","Situla Solar Energy Project LLC (2/3/2025): Revival of a 400 MW solar energy generation and battery storage facility in Scotts Bluff County, with construction planned to begin in Q3 2027 using over 610,000 solar panels. The project was previously rejected but is now viable after lifting of a moratorium on renewable energy projects.; Link: https://ruralradio.com/kozy/news/situla-solar-energy-project-to-be-resurrected-in-scotts-bluff-county/; Dunlieh Energy (9/16/2024): Proposal for a utility-grade solar facility on 2,000 acres in Banner County, featuring 400 MW generation capacity and 200 MW battery storage. The $886 million project promises 400-600 construction jobs and $49 million in tax revenue over 35 years.; Link: https://ruralradio.com/kneb-fm/news/dunlieh-energy-pitches-a-situla-solar-project-for-banner-county/; Dunlieh Energy (9/16/2024): Similar solar facility planned for northwest Banner County, emphasizing community engagement and requiring environmental impact studies and transmission line interconnection approvals.; Link: https://ruralradio.com/kolt/news/dunlieh-energy-pitches-a-situla-solar-project-for-banner-county/"
https://app.sparkhq.ai/reports?location=863,Burt County,NE,,,Mentions moratoria,MIXED,"- **Active development support**: County has approved multiple large solar projects and established supportive solar regulations, showing positive stance toward solar. - **Current restrictions**: Has an active moratorium on wind energy projects while reviewing regulations, indicating caution. - **Community division**: While there's strong support for solar projects, there's significant opposition to wind developments, showing mixed community sentiment.","Invenergy (1/31/2025): The Beeline Solar Energy Center, a 250 MW solar generation facility planned to operate by 2028, will power 54,000 homes and generate over $110 million in local revenue while creating jobs and reducing emissions.; Link: https://assets.contentstack.io/v3/assets/blt1b4c58e01961ab11/blt10f3898f2ca1fb82/67a12162c0a3738518408c75/INV_ProjectFactSheet_Beeline_Solar_Feb_2025.pdf?branch=production; FTC Solar (10/22/2024): FTC Solar will supply tracker systems for 1GW of solar projects across three Nebraska sites: 448MW in Burt County, 320MW in Cass County, and 225MW in Butler County.; Link: https://investor.ftcsolar.com/news-releases/news-release-details/ftc-solar-supply-approximately-1gw-projects-sandhills-energy; Consolidated Edison Development (11/10/2024): The Burt County Wind Project, a 75MW wind power initiative with 16 turbines, is currently in development and expected to be completed in 2025.; Link: https://www.power-technology.com/marketdata/power-plant-profile-burt-county-wind-project-us/"
https://app.sparkhq.ai/reports?location=865,Antelope County,NE,,,Mentions moratoria,GOOD,"- **Multiple approved projects**: The county has approved several major wind projects including Thunderhead Wind Energy (300MW) and Upstream Wind Energy (202.5MW), showing consistent support for renewable energy. - **Economic benefits welcomed**: Local authorities recognize significant economic benefits, with projects bringing millions in tax revenue and hundreds of jobs, indicating positive reception. - **Established regulatory framework**: The county has clear zoning regulations for wind energy and is actively working on solar regulations, demonstrating a structured approach to energy development.",
https://app.sparkhq.ai/reports?location=868,Buffalo County,NE,,,Mentions moratoria,GOOD,- **Strong track record**: Successfully built and operates Nebraska's largest solar farm with community support. - **Clear regulatory framework**: Comprehensive zoning regulations for both personal and commercial solar installations. - **Active development**: Ongoing updates to renewable energy regulations and multiple approved projects demonstrate commitment to energy development.,
https://app.sparkhq.ai/reports?location=874,Cass County,NE,,,Mentions moratoria,BAD,"- **Recent Permit Denial**: The county board denied a major solar project permit in early 2025 after a 4-year process, leading to an ongoing court appeal. - **Strong Local Opposition**: Multiple sources indicate significant community resistance and concerns about solar projects, particularly regarding agricultural land preservation and property values. - **History of Restrictions**: The county implemented a moratorium on solar projects in 2022 and later established strict setback requirements of 500 feet from residences, showing cautious approach to solar development.","FTC Solar (10/22/2024): Major solar development project to supply 1GW of solar tracker systems across three Nebraska sites: 448MW in Burt County, 320MW in Cass County, and 225MW in Butler County, using advanced 1P Pioneer trackers.; Link: https://investor.ftcsolar.com/news-releases/news-release-details/ftc-solar-supply-approximately-1gw-projects-sandhills-energy; NextEra Energy Resources (11/30/2025): First solar energy project in Nebraska, generating 265 megawatts of clean energy with $36 million in projected local revenue over 30 years and creating 250-300 local jobs.; Link: https://www.nexteraenergyresources.com/cass-county-solar/project-overview.html; Cass County Solar (3/26/2025): Appeal of denied commercial solar farm permit, highlighting potential economic benefits and tax revenue generation for the local community.; Link: https://www.newsbreak.com/news/3873423181235-cass-county-solar-appeals-to-district-court"
https://app.sparkhq.ai/reports?location=878,Otoe County,NE,,,Mentions moratoria,BAD,"- **Multiple Moratoriums**: County has enacted and repeatedly extended moratoriums on both solar and wind energy projects throughout 2022-2024, showing consistent resistance to renewable energy development. - **Restrictive Regulations**: New zoning regulations limit solar to only 1% of county land and impose 1,000-foot setbacks from property lines, making most projects unfeasible. - **Strong Local Opposition**: Significant community pushback against both solar and wind projects, with residents consistently voicing concerns about agricultural land preservation and visual impacts.",
