Detailed Report,County,State,Municipality,Permitted Uses,Mentions of Moratoria,Sentiment,Sentiment Detail,Recent Projects
https://app.sparkhq.ai/reports?location=1312,Grafton County,NH,,,Mentions moratoria,MIXED,"- **Mixed local response**: While some towns like Lebanon, Plymouth, and Bethlehem actively support solar projects, others show strong opposition to wind energy with moratoriums and community bills of rights. - **Regulatory progress**: Many towns are developing or have implemented solar ordinances and tax exemptions, showing institutional support for renewable energy. - **Historical resistance**: Past moratoriums on wind energy and strong community opposition to large-scale projects indicate ongoing challenges for energy development.",
https://app.sparkhq.ai/reports?location=1364,Rockingham County,NH,,,No mentions of moratoria,GOOD,"- **Multiple approved projects**: Several towns have approved or are developing significant solar projects, including Rockingham County's 5MW array, Unitil's 4.9MW Kingston project, and Derry's 2.2MW landfill installation. - **Supportive regulations**: Many towns have established or are updating solar and wind ordinances to facilitate renewable energy development, including Portsmouth, North Hampton, and Stratham. - **Active community engagement**: Multiple towns show proactive involvement in renewable energy through community power programs, energy commissions, and public support for solar initiatives.","Encore Renewable Energy (3/24/2025): 2.2 MW solar array project at a closed landfill in Derry, NH, projected to save the community over $3.5 million over 25 years and help achieve 100% renewable energy goals.; Link: https://encorerenewableenergy.com/town-of-derry-new-hampshire-moves-forward-with-new-solar-array-on-town-landfill; Encore Renewable Energy (12/15/2024): Initial approval of the 2.2 MW Derry solar project, marking a significant step in the town's commitment to renewable energy with projected long-term economic benefits.; Link: https://encorerenewableenergy.com/town-of-derry-new-hampshire-moves-forward-with-new-solar-array-on-town-landfill/; Unitil Corporation (8/19/2024): Groundbreaking of 4.9-megawatt solar array in Kingston, NH - the largest utility-owned solar project in the state, capable of powering 1,200+ homes.; Link: https://unitil.com/news/unitil-breaks-ground-first-utility-owned-solar-array-nh"
https://app.sparkhq.ai/reports?location=1758,Hillsborough County,NH,,,No mentions of moratoria,MIXED,"- **Supportive regulations**: Many towns like Amherst, Wilton, and Peterborough have adopted ordinances explicitly permitting solar and wind energy systems, showing openness to renewable energy. - **Active opposition**: Several communities show strong resistance, particularly to wind projects, with documented protests and legal challenges in places like Antrim and New Ipswich. - **Evolving policies**: Multiple towns are currently developing or updating their renewable energy regulations, indicating a transition period rather than established stance.",
https://app.sparkhq.ai/reports?location=1784,Sullivan County,NH,,,No mentions of moratoria,GOOD,"- **Multiple towns have approved solar projects**: Claremont approved a 10MW solar project, Newport is considering solar arrays, and Lempster has an operational wind farm. - **Supportive regulations**: Several towns (Plainfield, Grantham, Cornish) have explicit zoning ordinances allowing solar and wind energy systems. - **Financial incentives**: Communities offer tax exemptions and PILOT agreements for renewable energy projects, demonstrating commitment to encouraging development.",
https://app.sparkhq.ai/reports?location=2925,Merrimack County,NH,,,Mentions moratoria,GOOD,"- **Strong regulatory support**: Multiple towns have established solar-friendly zoning ordinances and regulations, with clear frameworks for permitting solar projects. - **Active development**: Several large solar projects are being approved or considered across the region, including a 17MW project in Hopkinton and multiple projects in Concord. - **Legal precedent**: Recent NH Supreme Court ruling prevents communities from rejecting solar projects based solely on aesthetics or property values, strengthening support for solar development.","Kearsarge Solar LLC (5/23/2025): 5 MW solar collection system approved on Concord's capped landfill, utilizing 21.4 acres to generate clean energy with financial benefits through lease payments and net metering agreement; Link: https://citizenportal.ai/articles/3495433/Concord/Merrimack-County/New-Hampshire/Kearsarge-Solar-LLC-proposes-5MW-solar-project-on-Concords-capped-landfill; Encore Renewable Energy (9/12/2024): Proposed 5 MW solar array with 12,000 panels, including $20,000 community donation and environmental considerations for endangered species protection; Link: https://citizenportal.ai/articles/1488581/New-Hampshire/Solar-Project-Sparks-Controversy-Over-Environmental-Impact; null (5/23/2025): Solar array project approved by Concord City Council on capped landfill, generating 5 MW of clean energy, supporting city's goal of 100% renewable energy by 2040; Link: https://citizenportal.ai/articles/3495435/Concord/Merrimack-County/New-Hampshire/Concord-City-Council-approves-solar-project-on-capped-landfill-for-clean-energy"
https://app.sparkhq.ai/reports?location=3232,Carroll County,NH,,,No mentions of moratoria,GOOD,"- Multiple towns have approved or are actively considering solar projects, including East Conway Solar (110MW), Madison (364 panels), and Moultonborough (2.59MW solar array). - Several towns have updated their zoning ordinances to explicitly permit and encourage solar development, including Jackson, Conway, and Wakefield. - Significant infrastructure investments are being made, such as the 2.45MW battery storage project in Moultonborough and various community solar initiatives supported by local officials.",
https://app.sparkhq.ai/reports?location=3252,Strafford County,NH,,,No mentions of moratoria,GOOD,"- **Strong regulatory support**: Multiple towns (Durham, Milton, Somersworth, Rochester) have adopted or updated solar ordinances specifically designed to facilitate solar energy development. - **Active project development**: Several major solar projects are underway, including NH's first landfill solar project in Somersworth and multiple community solar initiatives. - **Financial incentives**: Towns are implementing solar tax exemptions and other incentives to encourage residential and commercial solar adoption.","Walden (11/13/2024): The Lilac State Solar Project - a proposed 20 MW solar energy facility utilizing single axis tracker technology, to be connected to the Eversource transmission line.; Link: https://www.farmington.nh.us/home/news/lilac-state-solar-project; Ameresco (8/11/2024): New Hampshire's first landfill solar project on a Superfund site, expected to generate 67 million kWh over 20 years and avoid 2,461 metric tons of CO2 emissions annually.; Link: https://www.businesswire.com/news/home/20240812336815/en/Ameresco-and-the-City-of-Somersworth-Break-Ground-on-New-Hampshire%E2%80%99s-First-Landfill-Solar-Project-to-be-Placed-on-a-Superfund-Site; Ameresco (8/11/2024): The Somersworth Superfund site solar project, demonstrating innovative land reuse while providing economic benefits through lease payments and PILOT program.; Link: https://www.epa.gov/newsreleases/epa-new-england-celebrates-major-milestone-somersworth-superfund-site"
https://app.sparkhq.ai/reports?location=5385,Cheshire County,NH,,,No mentions of moratoria,GOOD,"- **Multiple approved projects**: Several solar projects have been approved or are under consideration, including Swanzey Solar Gardens, Keene Meadow Solar Station, and multiple projects in Troy. - **Supportive regulations**: Many towns have solar-friendly zoning ordinances and tax exemptions, such as Keene's Land Development Code and Swanzey's 100% solar tax exemption. - **Active government support**: The NH Department of Energy is implementing grant programs and the region shows strong institutional support through initiatives like the Community Power Program.","Revision Energy (2/23/2025): Proposed solar array project at Cedarcrest Cemetery with focus on minimizing visual impact and buffer requirements. Project received initial Planning Board support.; Link: https://keenenh.gov/wp-content/uploads/2025/04/2025_02_24_PB_Minutes_Adopted.pdf; Cheshire County (11/17/2024): 25kW photovoltaic solar array installation project at Red Barn Facility in Westmoreland, NH, partially funded by U.S. Department of Energy.; Link: https://co.cheshire.nh.us/photovoltaic-solar-array-cheshire-county-red-barn-facility-on-river-rd-westmoreland; Enso Energy (11/4/2024): 49.9MW solar farm approved in Hampshire with 56% biodiversity gain, including provisions for sheep grazing and environmental protection measures.; Link: https://www.solarpowerportal.co.uk/enso-energy-greenlit-49-9mw-hampshire-solar-farm/"
https://app.sparkhq.ai/reports?location=7708,Coos County,NH,,,No mentions of moratoria,GOOD,"- **Active renewable energy development**: Multiple approved wind projects including the 99MW Granite Reliable Power facility, and recent solar installations like the Glen House project demonstrate strong support for energy development. - **Supportive regulations**: Multiple towns (Gorham, Berlin) have specific zoning provisions allowing solar installations, and Coos County has shown willingness to approve conditional use permits for energy projects. - **Municipal leadership**: Towns like Colebrook and Milan are actively pursuing solar initiatives on municipal buildings and entering agreements with solar developers, showing local government support.",
https://app.sparkhq.ai/reports?location=8694,Belknap County,NH,,,No mentions of moratoria,GOOD,"- **Multiple approved projects**: Several towns in the area have approved solar projects, including a 5MW community solar system in Laconia and utility-scale solar farm in Alton. - **Supportive regulations**: Multiple towns have established or are developing solar-friendly ordinances, including Barnstead's new solar guidelines and Gilmanton's existing solar regulations. - **Proactive initiatives**: Laconia is considering requiring solar panels on new construction, while Center Harbor is pursuing collaborative grants for renewable energy projects.",
