Detailed Report,County,State,Municipality,Permitted Uses,Mentions of Moratoria,Sentiment,Sentiment Detail,Recent Projects
https://app.sparkhq.ai/reports?location=288,Sandoval County,NM,,,Mentions moratoria,MIXED,"- **Strong institutional support**: County consistently approves large solar and storage projects, including multiple $200M+ developments, showing clear commitment to energy development. - **Active community opposition**: Significant resident pushback against recent projects like Diamond Tail, particularly regarding safety and environmental concerns. - **Split decisions**: Recent project approvals have passed by narrow margins (3-2 votes), indicating divided perspectives among decision makers.","Exus Renewables (2/11/2025): The TAG project combines solar panels and battery storage, with independent validation from Natural Power confirming the project's design. The project will provide economic benefits through construction jobs and funding to local schools and the county.; Link: https://www.renewableenergymagazine.com/pv_solar/natural-power-validates-exus-renewables--312m-20250212; ESVolta Development, LLC (11/3/2024): The Gila Monster Battery Energy Storage Project received approval for $300 million in bonds to build a 50-megawatt battery storage facility. The project will support PNM's clean energy storage and generate tax revenue for Sandoval County, with operations expected to begin by 2029.; Link: https://sandovalsignpost.com/2024/11/04/county-commission-rundown/; Terra-Gen (9/19/2024): The Edwards Sanborn Solar + Storage Project will be the world's largest solar-plus-storage facility with 1,118 MW of solar generation and 2,165 MWh of energy storage. The project demonstrates significant advancement in renewable energy infrastructure.; Link: https://www.luminatellc.com/page/4/?et_blog"
https://app.sparkhq.ai/reports?location=495,Bernalillo County,NM,,,No mentions of moratoria,GOOD,"- **Strong government support**: Multiple large-scale solar and battery storage projects have been approved, including the 364MW Atrisco Solar project and numerous PNM initiatives. - **Significant investment**: Major investments like Maxeon's $1.9B solar manufacturing facility and $156M in federal funding for solar access demonstrate strong commitment to renewable energy. - **Regulatory framework**: The region has established solar ordinances, community solar programs, and streamlined permitting processes to facilitate energy development projects.","Enlight Renewable Energy (12/18/2024): Completed the Atrisco solar and energy storage project, featuring 364 MW of solar power and 1.2 GWh battery storage system, now fully operational in New Mexico.; Link: https://www.energy-storage.news/enlight-commissions-solar-plus-storage-project-in-new-mexico/; PNM (11/28/2024): Plans to build the Sunbelt Project, a 100 MW solar array with up to 50 MW of battery storage in northwest New Mexico, with an estimated cost of $220.4-252 million.; Link: https://nmpoliticalreport.com/2024/11/29/pnm-plans-to-build-a-new-solar-facility-in-northwest-new-mexico/; Aypa Power, Plus Power (11/27/2024): PNM seeking regulatory approval for major battery storage projects (150MW/600MWh) from these developers to enhance energy reliability for summer 2026.; Link: https://www.energy-storage.news/us-utility-public-service-company-of-new-mexico-seeks-approval-for-battery-storage-contracts-own-project/"
https://app.sparkhq.ai/reports?location=956,Chaves County,NM,,,No mentions of moratoria,GOOD,"- **Strong track record of approvals**: Multiple large-scale solar and wind projects have been successfully approved and commissioned, including the 140MW Roswell and Chaves County Solar Energy Centers and the 247MW Oso Grande Wind Project. - **Continued development**: New projects are actively being developed, such as the 250MW Coyote Willow Energy Park with 125MW battery storage, showing ongoing support for renewable energy. - **Supportive regulatory environment**: The county has consistently worked to accommodate renewable energy, developing solar regulations when needed and receiving support from the New Mexico Public Regulation Commission for various projects.",
https://app.sparkhq.ai/reports?location=969,Otero County,NM,,,No mentions of moratoria,GOOD,"- **Strong project approval history**: Multiple large-scale solar and battery storage projects have been approved and developed, including the Buena Vista Energy Center and numerous other facilities. - **Supportive regulatory environment**: The county has approved multiple industrial revenue bonds worth hundreds of millions to finance renewable energy projects. - **Positive economic impact**: Projects have created hundreds of jobs and generated millions in tax revenue, with strong support from local officials and utilities.","NextEra Energy Resources (2/12/2025): Buena Vista III Project - 100 MW solar energy and 100 MW battery storage project, expected to create 220 jobs and contribute $33 million to the local economy; Link: https://agendasuite.org/iip/otero/file/getfile/29598; Chaberton Energy (1/27/2025): Lake Jody community solar project - 2.8 MW capacity serving 650 households, with 50% allocation to low-income families at 30% discount. Four additional projects totaling 28 MW pending approval; Link: https://www.easternprogress.com/prosperity-works-chaberton-partner-to-develop-over-28-mw-of-new-mexico-solar/article_7db2e6ae-4a79-5bd4-bfb1-0655fe8842ce.html; National Renewable Solutions (11/18/2024): Shallow Basket Project - 140 MW solar and 50 MW battery storage, $145 million investment, partnership with Jicarilla Apache Nation, expected to power 38,000 homes by 2025; Link: https://natrs.com/category/uncategorized/"
https://app.sparkhq.ai/reports?location=978,Rio Arriba County,NM,,,No mentions of moratoria,GOOD,"- **Strong government support**: Rio Arriba County has consistently approved and supported multiple large-scale solar and battery storage projects, including the recent $145M Shallow Basket Project. - **Active development**: Multiple successful renewable energy projects are operational or under construction, including Jicarilla 1 & 2 solar plants and various battery storage facilities. - **Community acceptance**: The Jicarilla Apache Nation actively participates in and benefits from renewable energy projects, demonstrating strong local support and partnership.","Kit Carson Electric Cooperative (3/11/2025): Implementation of a Microgrid Project in Northern New Mexico, including 7.5 MW of Battery Energy Storage Systems with 38.25 MWh total capacity, aimed at improving energy resilience especially during wildfires and emergencies.; Link: https://kitcarson.com/electric/electric-info/microgrid-project; PowerSecure, National Rural Telecommunications Cooperative (1/9/2025): $23 million contract for three microgrid locations with 7.5 MW of battery storage capacity, capable of sustaining critical loads for up to 5.5 hours during power outages.; Link: https://kitcarson.com/wp-content/uploads/2025/01/KCEC-POWERSECURE-NRTC-MICROGRID-AWARD-Final.pdf; National Renewable Solutions (11/18/2024): Secured $145 million in financing from Deutsche Bank for the Shallow Basket project, featuring 140 MW of solar and 50 MW of storage capacity, creating 250 jobs during construction.; Link: https://pv-magazine-usa.com/2024/11/19/solar-developer-secures-145-million-solar-plus-storage-project-in-new-mexico/"
https://app.sparkhq.ai/reports?location=980,Santa Fe County,NM,,,Mentions moratoria,MIXED,"- **Strong institutional support**: Santa Fe County has adopted multiple pro-solar policies and ordinances, including the Community Solar Act and Solar Rights Act, showing commitment to renewable energy. - **Significant community division**: While there is support for renewable energy, there is strong organized opposition to large-scale projects like Rancho Viejo Solar, particularly regarding safety concerns and property values. - **Active regulatory development**: The county is currently working on updating regulations for utility-scale renewable projects, indicating a desire to better manage rather than prohibit development.","AES (2/5/2025): The Santa Fe County Planning Commission approved the Rancho Viejo Solar project (96MW solar + 45MW storage) despite 12 hours of public testimony opposing it. Local residents expressed concerns about fire risks and property values.; Link: https://www.kunm.org/kunm-news-update/2025-02-06/thurs-resignation-offer-from-trump-administration-could-undermine-federal-services-in-new-mexico-more; AES Corp (1/6/2025): AES Corp challenged recommendations to block their Rancho Viejo Solar project (96MW solar + battery storage), disputing claims and planning to showcase improved fire suppression measures at an upcoming Planning Commission meeting.; Link: https://www.santafenewmexican.com/news/local_news/aes-rebuts-unsubstantiated-claims-in-recommendation-to-block-rancho-viejo-solar-project/article_4766027a-cc45-11ef-b68d-e31587d54391.html; PCR U.S. Investments (10/31/2024): At a meeting regarding the proposed Diamond Tail Solar Project, residents expressed concerns about fire risks and PFAS contamination. The developer detailed fire safety measures and discussions with local fire departments.; Link: https://www.kunm.org/text/kunm-news-update/2024-11-01/fri-in-final-week-of-early-voting-officials-watch-for-election-disinformation-more"
https://app.sparkhq.ai/reports?location=985,Grant County,NM,,,Mentions moratoria,MIXED,"- **Recent moratorium**: Silver City enacted a moratorium on community solar facilities in 2021, showing some hesitation towards solar development. - **Positive state-level support**: New Mexico is actively promoting renewable energy with significant wind projects approved in Grant County, indicating favorable regional sentiment. - **Regulatory development**: Grant County is working on creating renewable energy regulations, suggesting openness to projects but with careful oversight.","Pluma LLC (3/21/2025): 160-acre community solar farm development in Arenas Valley, with 40% allocation for low-to-medium income households; Link: https://www.scdailypress.com/2025/03/22/big-solar-project-slated-arenas-valley-state-land; New Mexico Commissioner of Public Lands (2/26/2025): Approval of six new community solar projects on state lands, collectively powering 6,000 homes and generating $16.2 million for public institutions; Link: https://www.nmstatelands.org/2025/02/27/commissioner-garcia-richard-approves-six-new-community-solar-projects/; Chaberton Energy (1/27/2025): Lake Jody community solar project generating 2.8 megawatts for 650 households, with 50% allocation for low-income families at 30% discount; Link: https://www.easternprogress.com/prosperity-works-chaberton-partner-to-develop-over-28-mw-of-new-mexico-solar/article_7db2e6ae-4a79-5bd4-bfb1-0655fe8842ce.html"
https://app.sparkhq.ai/reports?location=999,Valencia County,NM,,,No mentions of moratoria,GOOD,"- **Strong approval record**: Multiple solar and battery storage projects have been approved, including Sky Ranch Solar (190MW), community solar projects, and PNM's battery storage initiatives. - **Supportive regulatory framework**: The area has established Solar Field Overlay Zones and consistently approves special use permits for solar projects. - **Active development**: Numerous ongoing and planned solar projects demonstrate continued commitment to renewable energy, with significant investments from companies like NextEra Energy, PNM, and Affordable Solar.","null (2/26/2025): Six new community solar projects approved on state lands, each producing 5 megawatts, collectively powering 6,000 homes and generating $16.2 million for public institutions; Link: https://www.nmstatelands.org/2025/02/27/commissioner-garcia-richard-approves-six-new-community-solar-projects/; Affordable Solar (2/24/2025): Construction begins on New Mexico's first community solar project, including seven installations generating 35 MW total, with half dedicated to low-income families; Link: https://pv-magazine-usa.com/2025/02/25/new-mexicos-first-community-solar-project-begins-construction/; Chaberton Energy (1/27/2025): Lake Jody community solar project development announced, generating 2.8 megawatts for 650 households with four additional projects pending for 28MW total capacity; Link: https://www.easternprogress.com/prosperity-works-chaberton-partner-to-develop-over-28-mw-of-new-mexico-solar/article_7db2e6ae-4a79-5bd4-bfb1-0655fe8842ce.html"
https://app.sparkhq.ai/reports?location=1444,Catron County,NM,,,No mentions of moratoria,GOOD,"- **Multiple approved projects**: The county has approved several major renewable energy projects including the Borderlands Wind Project and Wildcat Solar Power Plant. - **Strong economic benefits**: Projects are bringing significant revenue to the county ($10M+ in tax revenue) and creating numerous jobs (100+ construction jobs). - **Government support**: Multiple government agencies (BLM, State Land Office) have shown active support through project approvals and environmental clearances.",
https://app.sparkhq.ai/reports?location=1620,Doña Ana County,NM,,,No mentions of moratoria,GOOD,"- **Strong project momentum**: Multiple large-scale solar and storage projects have been approved and are under construction, including the Santa Teresa Solar project (150MW), Milagro Solar project (150MW), and Buena Vista Energy Center (120MW). - **Supportive regulatory environment**: The county has clear zoning regulations for solar facilities, and the state recently upheld community solar regulations to expand access. - **Consistent approval history**: The county has a track record of approving solar projects through industrial revenue bonds and special use permits, with strong support from local officials and utilities.","New Mexico State Land Office (2/26/2025): Approval of six new community solar projects on state lands, each producing 5 megawatts and collectively powering 6,000 homes. The projects will generate $16.2 million for public institutions and contribute to the state's goal of tripling renewable energy leases.; Link: https://www.nmstatelands.org/2025/02/27/commissioner-garcia-richard-approves-six-new-community-solar-projects/; OE Solar (2/25/2025): Selected for a $964,000 solar project in Dona Ana County, with 80% federal grant funding. The project aims to power approximately 1,000 homes and supports local sustainability goals.; Link: https://citizenportal.ai/articles/2425445/Do%C3%B1a-Ana-County/New-Mexico/Dona-Ana-County-selects-OE-Solar-for-964K-solar-project-by-October; DESRI Asset Holdings, L.L.C. (1/12/2025): The Santa Teresa Solar + Storage Project, featuring 150 MW AC solar capacity and 150 MW AC battery storage, expected to generate 460,783 MWh annually and create 200 construction jobs.; Link: https://www.nadb.org/uploads/files/santa_teresa_energy_project_proposal_eng_published.pdf"
