Detailed Report,County,State,Municipality,Permitted Uses,Mentions of Moratoria,Sentiment,Sentiment Detail,Recent Projects
https://app.sparkhq.ai/reports?location=35,Multnomah County,OR,,,No mentions of moratoria,GOOD,"- **Strong policy support**: Multiple initiatives and programs actively promote renewable energy, including the PropertyFit Program, Community Solar Program, and streamlined permitting processes. - **Major investments**: Portland General Electric is implementing significant battery storage projects (400MW) and has approved multiple solar installations, showing strong utility backing. - **Government commitment**: Multnomah County and Portland consistently update regulations to facilitate renewable energy adoption, including zoning amendments and solar access provisions.","Energy Trust of Oregon (10/28/2024): Major collaborative funding initiative for low-income solar projects, combining EPA grants to support rooftop solar installations and battery storage systems. The project includes workforce development programs focusing on training underrepresented populations in the solar industry.; Link: https://www.portland.gov/bps/cleanenergy/grant-committee/documents/cfca-proposal-narrative-energy-trust-oregon-portland/download; Bonneville Environmental Foundation (9/30/2024): Empowering PDX initiative to deploy community solar projects with 600 kWh energy storage, targeting low-income and BIPOC households. Expected to save $12.8M in utility bills and reduce CO2 emissions by 10,000 tons annually.; Link: https://www.portland.gov/bps/cleanenergy/grant-committee/documents/cfca-proposal-narrative-bonneville-environmental/download"
https://app.sparkhq.ai/reports?location=72,Jefferson County,OR,,,No mentions of moratoria,GOOD,"- **Strong regulatory support**: Jefferson County has adopted ordinances permitting wind energy facilities and shows consistent approval of solar projects, including multiple successful installations. - **Active development**: Multiple solar projects have been approved and completed, including the Adams Solar Center, Elbe Solar Center, and ongoing development of the 63MW Madras Solar Energy Facility. - **Positive government engagement**: Local authorities actively facilitate renewable energy development through PILOT agreements, public hearings, and supportive planning commission decisions.","BrightNight (12/5/2024): Warm Springs tribes partnering with BrightNight to develop a significant 250-megawatt solar farm, marking their entry into the solar energy sector; Link: https://www.bendbulletin.com/localstate/environment/warm-springs-tribes-plan-to-lease-land-for-massive-solar-energy-project/article_65757a42-b314-11ef-9c6e-5f4e369c017c.html; Sunstone Solar, LLC (11/13/2024): Large-scale 1,200 MW solar facility with 7,200 MWh battery storage planned, including agricultural mitigation and comprehensive wildfire prevention strategies; Link: https://www.oregon.gov/energy/facilities-safety/facilities/Council%20Meetings/2024-11-24-EFSC-Combined-PowerPoint.pdf; Madras PV1, LLC (10/17/2024): 63 MW Madras Solar Energy Facility requesting three-year construction deadline extension to 2027, including battery storage system; Link: https://www.oregon.gov/energy/facilities-safety/facilities/Facilities%20library/2024-10-18-MSEF-AMD1-Draft-Proposed-Order.pdf"
https://app.sparkhq.ai/reports?location=246,Linn County,OR,,,No mentions of moratoria,MIXED,"- **Strong local opposition** to large-scale solar projects like Muddy Creek Energy Park, with organized community groups actively fighting development. - **Some smaller projects moving forward** successfully, including Marble Solar and Burlingame Solar community projects. - **Local codes permit solar development** but face significant community resistance when proposed on agricultural land.",
https://app.sparkhq.ai/reports?location=247,Clackamas County,OR,,,No mentions of moratoria,GOOD,"- **Strong institutional support**: Multiple solar projects have been approved by Clackamas County, including large facilities like Firwood Solar Farm (15 MW) and numerous community solar projects. - **Clear regulatory framework**: The county has established comprehensive guidelines for solar installations and maintains solar access ordinances to protect solar energy systems. - **Active community engagement**: Local sustainability boards and committees actively promote solar adoption, and there's significant participation in community solar programs with corporate partners like Microsoft and Nike.",
https://app.sparkhq.ai/reports?location=252,Deschutes County,OR,,,No mentions of moratoria,GOOD,"- **Strong approval history**: Multiple solar projects have been approved without opposition, including a 10MW Saturn Power project and two 70-acre solar farms, demonstrating consistent support for renewable energy. - **Supportive regulations**: The county has established solar access ordinances since 1983 and recently implemented CPACE financing to encourage clean energy development. - **Active development**: Multiple large-scale projects are in development, including the 4,037-acre Expedition Solar Project and plans to convert Knott Landfill into the county's largest solar producer.","null (12/5/2024): Oregon's largest solar farm approved in Morrow County, covering 10,000 acres. The project combines agricultural use with renewable energy production and includes provisions to protect local farming communities.; Link: https://statelibraryeclips.wordpress.com/category/oregon-state-agencies/land-conservation-and-development-commission/; Enel Greenpower North America LLC (11/30/2024): BLM initiates environmental review for the Expedition Solar Project in Deschutes County - a massive 700-megawatt solar facility planned on 4,037 acres of public land.; Link: https://rv-times.com/2024/12/01/massive-solar-farm-near-redmond-greenlit-for-environmental-review/; Enel Greenpower North America LLC, Finley Butte Climate Fixer LLC (9/27/2024): Two major solar projects proposed on BLM land in Deschutes County, potentially generating 1,350 megawatts combined on over 7,300 acres of public land.; Link: https://capitalpress.com/2024/09/28/massive-solar-projects-proposed-for-thousands-of-acres-of-deschutes-county-blm-land/"
https://app.sparkhq.ai/reports?location=256,Gilliam County,OR,,,No mentions of moratoria,GOOD,"- **Strong track record**: The county has consistently approved and supported multiple large-scale renewable energy projects, including wind farms (Montague, Leaning Juniper), solar farms (Pachwáywit Fields), and battery storage facilities. - **Economic benefits recognized**: Local government actively promotes renewable energy through Rural Renewable Energy Development Zones (RRED) and tax incentives, showing commitment to attracting such projects. - **Community support**: Multiple successful projects have created jobs and generated significant tax revenue, with minimal opposition documented in public comments or local meetings.","Pine Gate Renewables (12/5/2024): Sunstone Solar plant approved - largest permitted solar project in the nation with 1,200 megawatts capacity, capable of powering 300,000 homes. Construction to begin in 2026.; Link: https://www.kgw.com/article/tech/science/environment/oregon-massive-solar-power-project-sunstone-solar/283-c898216e-7eac-4ea6-8ef7-36f73909b96d; null (2/13/2025): Active wind generation project (G1074) at Jones Canyon Substation, Oregon, showing progress in renewable energy development.; Link: https://www.interconnection.fyi/project/bpa-g1074; Aurora Solar, LLC (9/19/2024): 41 MW battery energy storage system proposed with minimal environmental impact, to be installed in existing indoor structures.; Link: https://www.energy.gov/sites/default/files/2025-01/CX-031964.pdf"
https://app.sparkhq.ai/reports?location=260,Harney County,OR,,,No mentions of moratoria,GOOD,"- **Multiple successful projects**: Harney County has approved and hosts several operational solar farms including Suntex Solar, West Hines Solar, and Starvation 1, demonstrating a track record of supporting renewable energy. - **Economic benefits recognized**: The county has established payment agreements with solar companies ($7,000 per MW capacity), showing recognition of financial benefits and willingness to accommodate projects. - **Active development**: Ongoing discussions and approvals for new solar projects, including NewSun Energy's developments, indicate continued support for renewable energy growth in the region.",
https://app.sparkhq.ai/reports?location=266,Crook County,OR,,,No mentions of moratoria,GOOD,- **Strong track record of approvals**: County has approved multiple large solar projects and continues to process expansion requests. - **Supportive infrastructure**: County has established purchasing rules promoting solar technology and works actively with developers on interconnection. - **Proactive planning**: County is updating zoning codes to better accommodate renewable energy while addressing environmental concerns.,"West Prineville Solar Farm LLC (5/20/2025): Received approval to expand solar farm from 320 acres to 654 acres in Crook County, including a comprehensive Habitat Mitigation Plan and collaboration with conservation groups; Link: https://co.crook.or.us/sites/default/files/fileattachments/county_administration/meeting/packets/15280/west_prineville_stipulated_findings_.pdf; West Butte Wind Energy (3/26/2025): First large-scale wind farm approved in Central Oregon with 52 wind towers, expected to generate $1M annually in tax revenue for Crook County; Link: https://www.bendsource.com/news/regions-first-windfarm-gets-federal-nod-2138706"
https://app.sparkhq.ai/reports?location=267,Hood River County,OR,,,No mentions of moratoria,GOOD,"- **Strong community support**: Multiple successful solar initiatives including the Solarize Hood River County campaign and community solar projects with over 100 participating households. - **Clear regulatory framework**: County has established comprehensive solar installation guidelines and permit processes, indicating openness to energy development. - **Active investment**: Recent grants awarded for multiple renewable energy projects including solar plus storage microgrids, showing ongoing commitment to energy development.",Hood River County (11/18/2024): Mt. Hood Town Hall receives implementation grant for solar panels and battery storage system to reduce utility costs and provide backup power during outages; Link: https://hoodrivercountyenergyplan.org/odoe-round-3-winners; Hood River County (11/18/2024): Wy'east Middle School awarded grant for innovative microgrid project using electric school buses and fleet vehicles as storage for PV system; Link: https://hoodrivercountyenergyplan.org/odoe-round-3-winners; Hood River County (11/18/2024): Cascade Locks Fire Station receives planning grant for solar plus storage system development; Link: https://hoodrivercountyenergyplan.org/odoe-round-3-winners
https://app.sparkhq.ai/reports?location=272,Josephine County,OR,,,No mentions of moratoria,GOOD,"- **Strong regulatory support**: Multiple jurisdictions have adopted solar-friendly ordinances and updated development codes to accommodate solar projects. - **Active development**: Several solar projects are in progress or under consideration, including the Kelly Creek Solar Project and a 10-megawatt solar farm by Cypress Creek Renewables. - **Government backing**: The BLM has opened over one million acres for solar development, and local governments have created detailed guidelines to streamline the permitting process.",
https://app.sparkhq.ai/reports?location=274,Lake County,OR,,,Mentions moratoria,GOOD,"- Lake County has consistently approved multiple solar projects over the years, including the Obsidian Solar Center (400MW), Archway Solar (400MW), and numerous smaller facilities - The county has a track record of working with developers to address concerns and create viable solutions, such as implementing wildlife mitigation plans and establishing clear permitting processes - Local government and economic development groups actively support renewable energy as an economic driver, with projects bringing significant tax revenue and job opportunities to the area","Obsidian Solar Center, LLC (5/28/2025): Major 400 MW solar facility with 50 MW battery storage planned for Lake County, OR on 4,091 acres. Currently seeking 3-year construction deadline extension.; Link: https://www.oregon.gov/energy/facilities-safety/facilities/Facilities%20library/2025-05-29-OSCAMD2-Public-Notice-of-Proposed-Order.pdf; Obsidian Solar Center, LLC (11/26/2024): Amendment request to extend construction deadlines to February 2028 for approved 400 MW solar facility with battery storage in North Lake County.; Link: https://www.oregon.gov/energy/facilities-safety/facilities/Facilities%20library/2024-11-27-OSCAMD2-pRFA2-Public-Notice.pdf; Obsidian Renewables, PSEG Solar Source (10/20/2024): 10.5 MW PSEG Lake County Solar Energy Center operational since 2016, powering 2,000 homes through 20-year PacifiCorp agreement.; Link: https://www.power-technology.com/data-insights/power-plant-profile-pseg-lake-county-solar-energy-center-us"
https://app.sparkhq.ai/reports?location=276,Klamath County,OR,,,No mentions of moratoria,GOOD,"- **Strong project momentum**: Multiple large-scale solar and energy storage projects have been approved or are under development, including the 240MW Hayden Solar, 400MW Swan Lake Storage, and several community solar projects. - **Supportive regulatory framework**: The county has established comprehensive solar installation permitting frameworks and solar access permits to protect residential solar energy systems. - **Demonstrated track record**: The county has consistently approved various energy projects over the years, from utility-scale solar farms to battery storage facilities, showing a pattern of support for renewable energy development.",
