Detailed Report,County,State,Municipality,Permitted Uses,Mentions of Moratoria,Sentiment,Sentiment Detail,Recent Projects
https://app.sparkhq.ai/reports?location=737,Clay County,SD,,,No mentions of moratoria,MIXED,"- **Recent regulatory development**: Clay County has just implemented a new solar ordinance in 2024, showing willingness to accommodate solar energy development. - **Community concerns**: There is significant opposition from preservation advocates regarding setbacks near Spirit Mound Historic Prairie, with requests for larger setbacks than what was approved. - **Balanced approach**: The county demonstrates a methodical approach to energy development by incorporating public input and establishing comprehensive regulations while still moving forward with allowing projects.",
https://app.sparkhq.ai/reports?location=887,Bon Homme County,SD,,,Mentions moratoria,MIXED,"- **Project approval with opposition**: While the Prevailing Wind Park project was ultimately approved, there was significant community opposition regarding noise, health risks, and property values. - **Local governance support**: County officials and boards generally supported the project, reducing fees and granting permits, showing institutional backing. - **Community division**: Strong evidence of split community sentiment, with some residents advocating for stricter setbacks and others highlighting economic benefits.",
https://app.sparkhq.ai/reports?location=896,Codington County,SD,,,Mentions moratoria,GOOD,"- **Strong regulatory framework**: Codington County has comprehensive wind energy ordinances and is actively developing solar ordinances, showing support for renewable energy development. - **Track record of approvals**: Multiple large wind projects have been approved, including Crowned Ridge Wind I & II and Dakota Range Wind Project, demonstrating consistent support for energy development. - **Proactive development**: The county is considering new energy projects like battery storage facilities and has shown interest in expanding renewable energy infrastructure through various initiatives.",
https://app.sparkhq.ai/reports?location=897,Grant County,SD,,,Mentions moratoria,GOOD,"- **Multiple approved projects**: The county has approved several major wind projects including Crowned Ridge Wind (300MW), Dakota Range (302.4MW), and Dakota Range III (151.2MW), showing consistent support for renewable energy. - **Proactive regulations**: Grant County has established comprehensive zoning ordinances for both solar and wind energy systems, demonstrating a structured approach to renewable development. - **Economic benefits emphasized**: Local officials consistently highlight the economic advantages of energy projects, including job creation, tax revenues, and landowner payments, indicating positive reception of renewable energy development.",
https://app.sparkhq.ai/reports?location=944,Hyde County,SD,,,No mentions of moratoria,GOOD,"- **Strong regulatory support**: Multiple wind projects have been approved by the South Dakota PUC, including North Bend Wind Project and Triple H Wind Project, showing consistent regulatory backing. - **Significant investment and development**: Major projects like the $285M North Bend Wind Project and $300M Triple H Wind Project demonstrate substantial commitment to renewable energy. - **Positive community engagement**: Local farmers have expressed support for wind projects, citing economic benefits through lease payments and improved infrastructure maintenance.",
https://app.sparkhq.ai/reports?location=1241,Campbell County,SD,,,No mentions of moratoria,MIXED,"- **Recent approvals with conditions**: County approved two conditional use permits for wind farm development in November 2024, but tabled noise variance requests due to concerns. - **Historical controversy**: Previous wind farm phases faced significant opposition from landowners regarding inadequate regulations and zoning ordinances. - **Economic benefits vs. community concerns**: While there's support from economic development board and evidence of tax benefits, persistent concerns exist about noise levels, property values, and insufficient protective regulations.","Campbell County Wind Farm 2, LLC (4/24/2025): WAPA approved an interconnection request for Campbell County Wind Farm 2, allowing construction of a 29-turbine wind farm with associated infrastructure. The project received a Finding of No Significant Impact (FONSI), clearing the way for development.; Link: https://www.energy.gov/sites/default/files/2025-04/fonsi-ea-2062-campbell-county-wind-farm-2-2025-04.pdf; Campbell County Wind Farm 2, LLC (10/31/2024): Sound modeling assessment completed for the 100 MW wind power facility, confirming compliance with local noise limits of 45 dBA at nonparticipating structures. The project will consist of 29 GE Sierra 140 turbines on agricultural land in Campbell County, South Dakota.; Link: https://www.wapa.gov/wp-content/uploads/2025/04/508_AppH_Campbell-County-Wind-Sound-Modeling-November-18-2024_PDFA.pdf; Campbell County Wind Farm 2, LLC (7/31/2024): Initial Environmental Assessment draft released for the proposed 29-turbine wind farm, including plans for access roads, collection substation, and underground electrical systems, with focus on environmental compliance and impact assessment.; Link: https://www.wapa.gov/wp-content/uploads/2024/08/Campbell-County-Wind-Farm-2-Final-Draft-Environmental-Assessment-1.pdf"
https://app.sparkhq.ai/reports?location=1729,Brookings County,SD,,,Mentions moratoria,GOOD,"- **Multiple approved projects**: Brookings County has approved several major energy projects including wind farms (Buffalo Ridge II, Tatanka Ridge), solar farms (Brookings Solar Project), and battery storage facilities (Cloverleaf Battery Project). - **Supportive regulations**: The county has established comprehensive wind energy and commercial ordinances that explicitly allow and regulate renewable energy development. - **Recent approvals**: The county continues to approve new energy projects, with recent permits granted for a 5MW solar facility and a 175MW battery storage system in 2024.","NextEra Energy Resources (11/5/2024): Proposed lithium-ion battery storage system near Waverly, South Dakota, aimed at stabilizing the local power grid and providing cheaper electricity. The project has raised some safety concerns from local residents due to its proximity to homes.; Link: https://www.thepublicopinion.com/story/news/2024/11/06/lithium-ion-battery-plant-might-open-near-watertown/76051602007/; Spearmint Energy (9/22/2024): Development of the Cloverleaf Battery Project in White, SD - a 175-megawatt battery storage facility designed to store excess energy from renewable sources and enhance grid stability.; Link: https://brookingsregister.com/stories/battery-project-powering-up-near-white,98995; MRES (9/12/2024): Approval of the Brookings Solar Project - a 5-megawatt solar facility that will power approximately 1,100 homes annually, with construction planned to begin in fall and complete by late 2025.; Link: https://www.mrenergy.com/news/mres-receives-conditional-use-permit-for-brookings-solar-project"
https://app.sparkhq.ai/reports?location=2353,Douglas County,SD,,,No mentions of moratoria,GOOD,"- **Proactive Regulation**: County has recently passed Ordinance No. 2024-01 specifically to include Solar Energy Systems as a conditional use. - **Clear Framework**: The ordinance provides detailed definitions and guidelines for solar energy development, showing commitment to facilitating these projects. - **Public Engagement**: County actively encourages community involvement in the planning process, demonstrating a balanced approach to renewable energy development.",
https://app.sparkhq.ai/reports?location=2637,Minnehaha County,SD,,,Mentions moratoria,MIXED,"- **Initial support but later opposition**: While the county approved solar ordinances in 2014 and initially supported projects, a major solar project was ultimately denied due to community opposition. - **Regulatory framework exists**: The county has established zoning regulations for Solar Energy Conversion Systems (SECS) and allows them as conditional uses in multiple districts. - **Community division**: There's evident tension between policy support and local resistance, with NIMBY concerns about aesthetics and property values affecting project approvals.",
https://app.sparkhq.ai/reports?location=3055,Pennington County,SD,,,Mentions moratoria,MIXED,- **Recent success**: County approved and completed the large Wild Springs Solar Project (128MW) in early 2024 - **Growing opposition**: 95% of residents expressed disapproval of solar installations in agricultural areas in mid-2025 - **Regulatory uncertainty**: County implemented a one-year moratorium on new wind/solar projects in late 2024 to review regulations,
https://app.sparkhq.ai/reports?location=3186,Yankton County,SD,,,Mentions moratoria,MIXED,"- **Recent regulatory development**: County is actively working on solar ordinances and has approved wind projects, showing willingness to accommodate renewable energy. - **Strong public opposition**: Significant community resistance to the Swan Lake Wind Project, with many residents expressing concerns at public meetings. - **Balanced approach**: County is implementing careful regulations and permits for both solar and wind projects, indicating neither full support nor complete opposition.","NextEra Energy Resources, LLC (10/8/2024): Swan Lake Wind Project - 248 MW wind farm with 97 turbines planned in South Dakota, currently undergoing Environmental Assessment; Link: https://www.wapa.gov/about-wapa/regions/ugp/environment/swan-lake-wind-project-doe-ea-2248; Swan Lake Wind, LLC (8/13/2024): Wind energy project facing strong public opposition and legal concerns regarding permit application, with decision postponed for further review; Link: https://www.yankton.net/community/article_d81fbd04-59ec-11ef-b8a9-bfcf1321d6ae.html"
https://app.sparkhq.ai/reports?location=3222,Union County,SD,,,Mentions moratoria,,,
https://app.sparkhq.ai/reports?location=3615,Beadle County,SD,,,Mentions moratoria,GOOD,"- **Supportive Infrastructure**: The city actively encourages solar installations by simplifying the permitting process. - **Large-Scale Development**: A significant 200MW wind facility project is being planned, showing openness to major renewable energy developments. - **Economic Integration**: The area demonstrates commitment through infrastructure investment and promoting economic benefits like job creation and property value increases.",
https://app.sparkhq.ai/reports?location=3645,Deuel County,SD,,,Mentions moratoria,GOOD,"- **Strong local support**: Multiple wind projects have been approved in Deuel County, including the recent $621M South Deuel Wind Project with 68 turbines, showing consistent regulatory backing. - **Economic benefits**: Projects bring significant economic advantages with millions in tax revenue and landowner payments ($78M in landowner payments, $38M in tax revenue for South Deuel project alone). - **Established track record**: County has successfully hosted several operational wind farms including Deuel Harvest North, Crowned Ridge II, and Tatanka Ridge, demonstrating a positive history with energy development.","Invenergy (3/5/2025): Large-scale wind project approved in South Dakota with 68 turbines, valued at $621 million. Project will generate 260 megawatts and provide significant economic benefits including $78M in landowner payments and $38M in tax revenue over 30 years.; Link: https://southdakotaagconnection.com/news/south-dakota-approves-new-wind-farm-project; Invenergy (3/4/2025): South Dakota Public Utilities Commission approved a 260 MW wind farm, one of the largest in the state. Project includes over 50 environmental conditions and will create 243 construction jobs plus 8 permanent positions.; Link: https://electrek.co/2025/03/04/south-dakota-largest-wind-farms-green-light/; Invenergy (3/2/2025): South Deuel Wind Project received approval for construction of up to 68 wind turbines. The project will generate $118 million in combined local tax revenue and landowner lease payments over its operational lifespan.; Link: https://www.sdpb.org/business-economics/2025-03-03/puc-approves-261-million-wind-farm-project-in-deuel-county"
https://app.sparkhq.ai/reports?location=3711,Roberts County,SD,,,Mentions moratoria,GOOD,"- **Strong regulatory support**: Roberts County adopted Wind Energy Systems ordinance in 2017, showing proactive support for wind energy development. - **Successful project approval**: The Dakota Range III wind project received approval from the Public Utilities Commission with strong community support. - **Multiple renewable projects**: The area has a history of supporting renewable energy, including the Summit Wind Farm and potential battery storage projects.",
https://app.sparkhq.ai/reports?location=3897,Clark County,SD,,,No mentions of moratoria,MIXED,"- **Initial opposition and regulatory challenges**: Clark County initially imposed restrictive setback requirements and faced legal challenges from developers, showing early resistance. - **Eventual approval and success**: Despite early challenges, multiple renewable projects were approved including the 400MW Crocker Wind Farm and Wild Springs Solar Project. - **Community concerns persist**: Ongoing tensions between developers and locals regarding setbacks, noise concerns, and environmental impacts indicate mixed acceptance of energy projects.",
https://app.sparkhq.ai/reports?location=3898,Charles Mix County,SD,,,No mentions of moratoria,MIXED,"- **Project approval with opposition**: While the Prevailing Wind Park project received approval and permits, there were significant local concerns and legal complaints about noise levels and safety measures. - **Economic benefits vs community concerns**: Despite offering substantial economic benefits through tax revenue and jobs, residents voiced strong concerns about health impacts, noise pollution, and visual disturbance. - **Regulatory compliance**: The region shows willingness to approve energy projects but implements strict regulations and oversight, including specific noise limits and setback requirements.",
