Detailed Report,County,State,Municipality,Permitted Uses,Mentions of Moratoria,Sentiment,Sentiment Detail,Recent Projects
https://app.sparkhq.ai/reports?location=382,Henry County,TN,,,No mentions of moratoria,GOOD,"- **Multiple successful solar projects**: Henry County has already approved and completed a 6.75MW solar farm in Puryear, with another 50MW project under consideration. - **Strong community support**: Local officials and utilities actively celebrate and promote solar development, with no recorded opposition. - **Economic benefits recognized**: The community acknowledges benefits including job creation, tax revenue, and utility cost savings of $300,000 annually.",
https://app.sparkhq.ai/reports?location=390,Greene County,TN,,,Mentions moratoria,BAD,"- **Active Moratorium**: Greene County has repeatedly extended moratoriums on solar energy projects since 2022, with the latest 14-month extension showing strong resistance to development. - **Strict Zoning Restrictions**: New regulations limit solar farms to only M-2 High Impact Use zones on brownfields with 500ft setbacks, severely restricting development opportunities. - **Community Opposition**: Significant community resistance documented through public meetings, with residents concerned about property values, aesthetics, and farmland preservation.",
https://app.sparkhq.ai/reports?location=485,Knox County,TN,,,No mentions of moratoria,GOOD,"- **Strong track record**: Multiple successful large-scale solar projects completed, including 5.3MW distributed solar project and plans for 325MW by 2026. - **Supportive regulations**: Clear zoning guidelines and permitting processes for solar installations, showing institutional support for energy development. - **Active partnerships**: Multiple successful public-private partnerships with TVA, KUB, and developers demonstrating commitment to renewable energy growth.",
https://app.sparkhq.ai/reports?location=645,Lincoln County,TN,,,Mentions moratoria,GOOD,"- **Multiple successful solar projects**: Lincoln County has approved and completed several large solar projects, including the 150MW Elora Solar Project and other smaller installations. - **Supportive zoning regulations**: The 2014 Lincoln County Zoning Resolution explicitly encourages solar energy utilization and allows utility facilities that provide renewable energy. - **Strong community and economic benefits**: The solar projects have generated significant tax revenue and jobs, with no documented opposition from locals or officials.",
https://app.sparkhq.ai/reports?location=702,Gibson County,TN,,,No mentions of moratoria,GOOD,"- **Active solar initiatives**: The city of Trenton has demonstrated strong support for solar energy with user-friendly permitting processes and multiple successful projects. - **Educational commitment**: The Gibson High School solar farm installation shows early adoption and commitment to renewable energy education. - **Regulatory framework**: Tennessee has established clear guidelines for wind facilities while empowering local governments to create their own regulations, indicating openness to renewable energy development.",
https://app.sparkhq.ai/reports?location=1340,Morgan County,TN,,,No mentions of moratoria,GOOD,"- City demonstrates commitment to sustainability through major solar projects like the Morgan County Correctional Complex installation. - Local authorities have established permitting processes for solar installations, indicating institutional support. - Solar services including battery storage are actively being promoted and installed in the area.",
https://app.sparkhq.ai/reports?location=1399,Fayette County,TN,,,Mentions moratoria,BAD,"- **Active moratorium**: County currently has a one-year moratorium on new solar farms and is considering extending it. - **Strong local opposition**: Multiple recent instances of residents voicing strong opposition to proposed solar projects, particularly on Payne Road. - **Increasing restrictions**: County has history of implementing and extending moratoriums, while continuously tightening regulations on solar developments.","Yum Yum Solar LLC (8/8/2024): Large-scale solar project spanning 3,896 acres in Fayette County, Tennessee. The project includes solar panel installation, minor grading, and gravel access roads construction with environmental considerations for stormwater management.; Link: https://dataviewers.tdec.tn.gov/dataviewers/BGWPC.GET_WPC_DOCUMENTS?p_file=557532194356297481"
https://app.sparkhq.ai/reports?location=1405,Davidson County,TN,,,Mentions moratoria,MIXED,"- **Recent moratorium**: Davidson County approved a moratorium on solar farms in October 2023 due to community concerns about environmental impacts and property values. - **Strong institutional support**: Multiple successful solar projects have been implemented, including Metro Water Services' eight solar installations and Vanderbilt University's partnerships for renewable energy. - **Clear renewable goals**: Nashville has set ambitious targets for 100% renewable power by 2041 and has comprehensive codes for battery storage systems, showing commitment to energy development.",
https://app.sparkhq.ai/reports?location=1932,Shelby County,TN,,,Mentions moratoria,MIXED,"- **Recent moratorium**: Shelby County has implemented a 180-day moratorium on new commercial solar farms in Conservation Agriculture Zoning Districts, showing regulatory caution. - **Mixed project outcomes**: While some solar projects like MLGW's 100MW solar/80MW battery initiative are moving forward, others like the Graceland Solar project have faced significant opposition and rejection. - **Regulatory evolution**: The county is actively working on updating solar regulations and ordinances, indicating a desire to better manage rather than prohibit solar development.","MLGW (3/17/2025): MLGW proposed integrating 100 megawatts of solar power and 80 megawatts of battery storage to enhance local energy generation and affordability for customers. The project aims to address peak energy demand and includes community engagement.; Link: https://citizenportal.ai/articles/2681299/Memphis-City/Shelby-County/Tennessee/MLGW-proposes-100-megawatts-of-solar-and-80-megawatts-of-battery-storage; null (3/6/2025): MLGW announced plans to issue an RFP for up to 100 MW of solar generation and 80 MW of utility-scale battery storage, with the RFP set to be released on March 14.; Link: https://www.publicpower.org/search?f%5B0%5D=content_type%3Aevent&f%5B1%5D=content_type%3Aperiodical_article&keys_search_input=&topics=&name=&page=326; Memphis Light, Gas & Water (3/4/2025): MLGW plans to issue RFP for 100MW solar generation and 80MW battery storage, requiring modifications to current TVA contract to enable own power generation capability.; Link: https://www.commercialappeal.com/story/news/local/2025/03/05/mlgw-solar-power-generation-battery-storage/81612793007/"
https://app.sparkhq.ai/reports?location=2492,Madison County,TN,,,No mentions of moratoria,GOOD,"- **Consistent Project Approval**: Multiple solar projects have been approved and built, including the 70MW McKellar Solar Farm and 2MW Jackson Solar Farm. - **Strong Government Support**: County Commission shows overwhelming support with recent 18-3 vote for new solar project in Denmark. - **Successful Partnerships**: Multiple successful collaborations between Silicon Ranch, TVA, Meta, and local authorities, with significant investments and job creation.",
