Detailed Report,County,State,Municipality,Permitted Uses,Mentions of Moratoria,Sentiment,Sentiment Detail,Recent Projects
https://app.sparkhq.ai/reports?location=17,Adams County,WA,,,Mentions moratoria,GOOD,"- **Proven track record**: Adams County has successfully hosted Washington's largest solar farm (Adams Nielson Solar Farm) and continues to approve new projects like the Cunningham Solar Project. - **Supportive regulations**: The county has established comprehensive guidelines in Chapter 17.72 specifically for solar energy facilities, showing commitment to renewable energy development. - **Positive economic impact**: Multiple sources highlight the significant financial benefits to the county through tax revenue and job creation from existing solar projects.",
https://app.sparkhq.ai/reports?location=21,Benton County,WA,,,Mentions moratoria,BAD,"- Benton County has enacted explicit bans and moratoriums on solar projects in agricultural zones, showing strong institutional opposition - County commissioners consistently vote against and file lawsuits to stop energy projects, including recent suits against Horse Heaven and Wautoma - Local community shows overwhelming opposition, with 80% against Horse Heaven project and significant resistance to other developments","Innergex Renewable Development (1/10/2025): Governor Jay Inslee approved Washington's largest solar project - the Wautoma Solar Project, featuring 470 megawatts of solar energy and 470 MW battery storage system, capable of powering 300,000 homes.; Link: https://www.tri-cityherald.com/news/local/article298339918.html; Scout Clean Energy (11/21/2024): Horse Heaven project advances with site certification agreement signing, proposing 1,150 megawatts capacity combining wind turbines, solar panels, and battery storage, despite significant local opposition.; Link: https://www.tri-cityherald.com/news/local/article295949869.html; Innergex Renewable Development (11/25/2024): Benton Solar Project recommended for approval, featuring 1.3 million solar panels, promising economic benefits for farmers through lease payments and creating up to 225 construction jobs.; Link: https://www.tri-cityherald.com/news/local/article295519194.html"
https://app.sparkhq.ai/reports?location=42,Kittitas County,WA,,,Mentions moratoria,MIXED,"- **Recent regulatory framework**: County has established comprehensive solar overlay zones and regulations, showing willingness to accommodate solar development while protecting agricultural land. - **History of opposition**: Multiple instances of strong local resistance to solar projects, including moratoriums between 2017-2019 and significant community concerns about agricultural land preservation. - **Current project progress**: Several solar projects have been approved and are moving forward (like Schnebly Coulee Solar Farm), but face ongoing scrutiny and must navigate strict permitting requirements.",
https://app.sparkhq.ai/reports?location=248,Yakima County,WA,,,Mentions moratoria,BAD,"- **Active Moratorium**: Yakima County has maintained a moratorium on moderate to large-scale solar facilities since July 2022, with multiple extensions and strong local opposition to solar development. - **Strong Local Opposition**: County commissioners and residents consistently express concerns about solar projects' impacts on agricultural land, fire safety, and wildlife, actively fighting against state-approved projects. - **Regulatory Barriers**: The county lacks comprehensive solar regulations and is actively working to create restrictive guidelines, while also pushing back against state authority to approve solar projects.","Innergex Renewable Development (12/1/2024): The Wautoma Solar Project (470 MW with battery storage) received unanimous recommendation for approval from the Energy Facility Site Evaluation Council, marking a significant milestone for large-scale solar implementation in the region.; Link: https://www.columbian.com/news/2024/dec/02/washington-panel-recommends-gov-inslee-approve-wautoma-solar-project/; Ostrea Solar, LLC (2/24/2025): Construction began on the Ostrea solar project, proceeding despite county moratorium on solar projects, with completion expected by summer 2026.; Link: https://www.newsbreak.com/news/3829662178110-ostrea-solar-project-construction-begins-amid-county-moratorium; Yakama Power (1/30/2025): Innovative rail energy storage project announced by Yakama Nation, featuring 500MW capacity using advanced rock-based gravity storage technology instead of traditional water-based methods.; Link: https://www.nwpb.org/2025/01/31/yakama-power-looks-to-alternative-energy-storage-projects/"
https://app.sparkhq.ai/reports?location=250,Lewis County,WA,,,No mentions of moratoria,MIXED,"- **Recent opposition**: Lewis County Commissioners rejected wind farm code changes in 2022 due to strong local opposition and concerns about environmental impacts. - **Existing projects**: The county has approved some renewable projects like the Skookumchuck Wind Energy Project, showing willingness to consider energy development. - **Economic transition**: The county is actively transitioning from coal to renewables with projects like the Tono Solar project, but faces community resistance and economic concerns.",
https://app.sparkhq.ai/reports?location=289,Klickitat County,WA,,,Mentions moratoria,BAD,"- **Active Moratorium**: County has enacted multiple moratoriums on large-scale solar projects, with the most recent prohibiting developments over one acre in specific townships. - **Strong Community Opposition**: Local residents have organized groups like C.E.A.S.E. to protest solar developments, citing concerns about environmental impacts, property values, and safety risks. - **Restrictive Regulations**: County has implemented strict zoning controls and prohibitions on large-scale solar development in certain areas, particularly in the Goldendale and Centerville valleys.","Rye Development (3/5/2025): The Goldendale Energy Storage Project received water-quality certification, moving forward with plans for a 1,200 MW electricity generation facility. The project faces opposition from Native groups over cultural concerns but represents a significant potential contribution to Washington state's energy needs.; Link: https://tdn.com/news/local/business/article_ff247748-f85a-11ef-866f-979e836108bc.html; Avangrid (8/28/2024): BPA plans to connect a 75-megawatt battery energy storage system with new control and communication equipment. Environmental assessments indicate no significant environmental impacts.; Link: https://www.bpa.gov/-/media/Aep/environmental-initiatives/categorical-exclusions/cx-2024/20240829-lund-hill-battery-energy-storage-system-interconnection.pdf; Cypress Creek Renewables LLC (5/4/2025): The Carriger Solar Project (160 MW solar facility with 63 MW battery storage) received expedited processing approval and land use consistency confirmation from EFSEC, with environmental impacts deemed manageable.; Link: https://www.efsec.wa.gov/sites/default/files/230001/orders/899%20-%20Carriger_OrderGrantingExpeditedProcessing.pdf"
https://app.sparkhq.ai/reports?location=686,Douglas County,WA,,,No mentions of moratoria,BAD,"- **Strong community opposition**: Residents, conservation groups, and tribal nations consistently voice strong opposition to solar projects, particularly the Badger Mountain proposal. - **Regulatory restrictions**: County has implemented interim controls that effectively restrict new renewable energy developments and had a previous moratorium. - **Environmental concerns**: Significant pushback from environmental groups and state wildlife officials regarding impacts on endangered species habitat.",
https://app.sparkhq.ai/reports?location=877,Skagit County,WA,,,Mentions moratoria,BAD,"- **Strong Local Opposition**: Multiple community groups, officials, and residents have voiced strong opposition to energy storage projects, particularly the Goldeneye BESS project, citing environmental and safety concerns. - **Active Moratorium**: Skagit County enacted a moratorium on energy storage and facility permits on farmland in September 2024, showing significant regulatory resistance. - **Government Opposition**: County Commissioners have officially opposed the Goldeneye BESS project and are working to restrict utility developments on farmland, demonstrating institutional resistance to energy development.","Tenaska (2/20/2025): A 200-megawatt battery complex proposed near Sedro-Woolley faces opposition from Skagit County commissioners despite being part of Washington's renewable energy push. The project would cover 16 acres of farmland.; Link: https://article.wn.com/view/2025/02/21/Battery_project_in_Skagit_County_clears_hurdle/; NextEra Energy Resources (1/2/2025): Approval received for a 200-megawatt battery energy storage system to support renewable energy sources. Located in an industrial zone, the project received special permission despite public concerns about safety and land use.; Link: https://www.cascadiadaily.com/2025/jan/03/battery-energy-storage-system-approved-for-industrial-land-west-of-mount-vernon/; Goldfinch Energy Storage (8/27/2024): Skagit County Commissioners opposed the Goldeneye battery energy storage system due to concerns about impacts on salmon habitats and farmland. The project failed to meet local land use regulations and conduct proper site analysis.; Link: https://www.skagitcounty.net/Departments/Home/press/082824.htm"
https://app.sparkhq.ai/reports?location=1373,Columbia County,WA,,,No mentions of moratoria,GOOD,"- **Active Development**: Columbia County has a large existing wind farm (Lower Snake River Wind Project) and is actively developing new wind energy projects, including a recent solar interconnection request. - **Supportive Regulations**: The county recently adopted comprehensive wind energy regulations (Ordinance 2025-01) that provide clear guidelines for developers while protecting community interests. - **Positive Track Record**: The county has a history of approving and supporting renewable energy projects, with multiple successful wind farms operating in the area since 2012.",
https://app.sparkhq.ai/reports?location=1374,Whatcom County,WA,,,Mentions moratoria,GOOD,"- **Strong regulatory support**: Whatcom County has recently updated codes to allow battery storage systems, wind power facilities, and actively promotes solar installations through streamlined permitting. - **Multiple successful projects**: The region has several operational renewable projects including the Glacier Battery Storage facility, Corvus Energy's battery factory, and numerous solar installations. - **Active government promotion**: Local government bodies consistently support renewable initiatives through grants, incentives, and programs like C-PACER, showing commitment to expanding clean energy infrastructure.","NextEra Energy Resources, LLC (11/28/2024): Proposed 800-megawatt hour Battery Energy Storage System (BESS) on a 22.55-acre site, designed to provide energy for up to 4 hours; Link: https://www.wcrinc.com/wp-content/uploads/2024/12/2024_11_NovLegalNotices.pdf; NextEra Energy, Tenaska (9/4/2024): Multiple battery storage systems proposed in Northwest, indicating shift towards battery technologies to support renewable energy sources; Link: https://www.anacortesnow.com/news/business-news/5466-battery-farms-the-energy-industrys-new-darling-line-up-to-enter-skagit-co-and-whatcom-co"
