Detailed Report,County,State,Municipality,Permitted Uses,Mentions of Moratoria,Sentiment,Sentiment Detail,Recent Projects
https://app.sparkhq.ai/reports?location=2,Adams County,WI,,,No mentions of moratoria,GOOD,"- **Approval of solar projects**: Jackson County approved a 30-year lease for a solar field, showing strong support for renewable energy. - **Community engagement and planning**: The Town of Rome is actively engaging the community in discussions about solar projects, indicating a positive attitude towards energy development. - **Regulatory support**: There are ongoing efforts to develop zoning regulations for solar installations, aligning with state guidelines and supporting renewable energy growth.",
https://app.sparkhq.ai/reports?location=113,Rock County,WI,,,No mentions of moratoria,GOOD,"- Multiple large solar projects have been approved and completed in Rock County, including North Rock Solar (50MW), Paddock Solar (65MW), and Darien Solar (250MW), showing strong support for renewable energy development. - Local governments are actively developing and implementing solar ordinances to facilitate renewable energy projects, with towns like Plymouth, Janesville, and Beloit creating clear regulatory frameworks. - There is significant economic investment and community support, with projects bringing millions in revenue, creating jobs, and utilities like Alliant Energy and MGE making major commitments to renewable energy development.","We Energies (3/6/2025): The Darien Solar Energy Center becomes operational with 250 MW capacity. The company also announces plans for Dawn Harvest Solar (150 MW solar + 50 MW battery) and Vista Sands Solar (1.3 GW + 300 MW battery storage), making it the largest solar farm in the state.; Link: https://www.power-eng.com/renewables/solar/wisconsin-builds-on-solar-goals-with-new-farm/; we-energies, wisconsin-public-service, madison-gas-and-electric (10/1/2024): Wisconsin utilities propose nearly $2 billion investment in five renewable energy projects, with plans to eliminate coal by 2032 and achieve carbon-free electricity goals by 2050.; Link: https://urbanmilwaukee.com/2024/10/02/wisconsin-utilities-propose-1-9-billion-in-renewable-energy-projects; We Energies (9/29/2024): Company announces plans to add nearly 800 megawatts of solar, wind, and battery storage, utilizing federal tax credits and union labor from across Wisconsin.; Link: https://news.we-energies.com/we-energies-announces-plan-to-build-nearly-800-megawatts-of-new-solar-wind-and-battery-storage-in-wisconsin/"
https://app.sparkhq.ai/reports?location=336,Polk County,WI,,,No mentions of moratoria,GOOD,"- **Adoption of ordinances**: Polk County has adopted ordinances for both small wind energy systems and renewable energy systems, indicating regulatory support for energy projects. - **Approval of large-scale projects**: The county has approved significant projects like the Apple River Solar Project, showing a strong commitment to renewable energy development. - **Community and economic benefits**: The projects are expected to bring substantial economic benefits, job creation, and community support, reflecting positive sentiment towards energy development.",
https://app.sparkhq.ai/reports?location=339,St. Croix County,WI,,,Mentions moratoria,MIXED,"- **Strong organized opposition** to major solar projects evidenced by 4,700+ signature petition and packed town halls against Xcel's Ten Mile Creek Solar Project. - **Some success with smaller projects** like Northern Prairie Solar and St. Croix Valley Solar, showing selective acceptance. - **History of resistance** to renewable energy demonstrated by wind farm opposition and battery storage moratorium, but balanced by solar-friendly zoning in some townships.","Xcel Energy (2/13/2025): Ten Mile Creek Solar Project - 650 MW solar energy project in St. Croix County with strong local opposition. Project expected to provide clean energy for 140,000+ homes, create 300 construction jobs, and generate significant annual revenue for local municipalities.; Link: https://www.theameryfreepress.com/news/xcel-energy-plan-utility-seeks-permission-to-build-650-megawatt-solar-array/article_44e7eb30-e95a-11ef-9ddc-d7871da144fa.html; Xcel Energy (1/17/2025): Solar farm planned to replace Oak Park Heights coal plant, covering 5,000 acres. Expected to generate $3M annually for local governments when fully operational, though facing community concerns about wildlife, farmland loss, and property values.; Link: https://www.twincities.com/2025/01/18/xcel-energy-solar-farm-plan-wisconsin-st-croix-county; Xcel Energy (10/21/2024): Ten Mile Creek Solar Project near New Richmond announced to deliver 200 MW of energy with expansion potential. Part of Xcel's larger goal to reduce carbon emissions by 85% by 2030. Permit filing planned for 2025.; Link: https://xcelenergytransmission.com/projects/king-transmission-connection/"
https://app.sparkhq.ai/reports?location=676,Columbia County,WI,,,Mentions moratoria,MIXED,"- **Regulatory support and projects approved**: Columbia County has approved several solar and energy storage projects, including the High Noon Solar Energy Center and the Columbia Energy Storage Project, indicating institutional support for renewable energy development. - **Community opposition and concerns**: There is significant community opposition to large-scale solar projects, with concerns about agricultural land use, environmental impacts, and property values, as evidenced by public meetings and a recall election of a county supervisor. - **Active regulatory framework**: The county has been actively updating zoning ordinances to manage solar energy projects, showing a commitment to integrating renewable energy while addressing local concerns.","OneEnergy Renewables (11/11/2024): OneEnergy Renewables signed an agreement to build two solar projects (Good Oak and Gristmill) totaling 165 MW in Columbia County, Wisconsin. The projects will have capacities of 98 MW and 67 MW respectively, supporting Wisconsin's net-zero emissions goals by 2050.; Link: https://www.solarpowerworldonline.com/2024/11/oneenergy-to-build-165-mw-new-wisconsin-solar-power/; we-energies, wisconsin-public-service, madison-gas-and-electric (10/1/2024): Wisconsin utilities proposed nearly $2 billion investment in five renewable energy projects, including solar, wind, and battery storage components. The utilities plan to eliminate coal from their energy mix by 2032, transitioning to renewable sources to achieve carbon-free energy by 2050.; Link: https://urbanmilwaukee.com/2024/10/02/wisconsin-utilities-propose-1-9-billion-in-renewable-energy-projects; Alliant Energy (10/28/2024): Alliant Energy signed a supply contract with Energy Dome to introduce the first full-sized CO2 battery system deployment in the U.S. The innovative project is designed to operate without significant degradation over 30 years and will serve as a pilot installation following successful implementation in Italy.; Link: https://www.utilitydive.com/news/alliant-energy-dome-agreement-utility-scale-carbon-dioxide-battery-storage/731393/"
https://app.sparkhq.ai/reports?location=750,Vilas County,WI,,,No mentions of moratoria,BAD,"- **Explicit prohibition**: Vilas County explicitly prohibits solar energy systems as both principal and accessory uses in their zoning regulations. - **County-level restriction**: The centralized authority at the county level means these prohibitive regulations apply uniformly across the jurisdiction. - **Limited progress**: While there are discussions about permit fees and regulations for solar panels in Manitowish Waters, there's no indication of changes to the county's restrictive stance.",
https://app.sparkhq.ai/reports?location=921,Racine County,WI,,,Mentions moratoria,GOOD,"- **Strong Policy Support**: Multiple municipalities have adopted or are developing comprehensive solar ordinances, including Yorkville and Racine, showing institutional support for renewable energy. - **Numerous Approved Projects**: Multiple solar projects have been approved across different scales, from residential installations to large utility-scale projects like the Paris Solar Project and Root River Solar. - **Active Development**: Significant ongoing investment in solar infrastructure, including Microsoft's proposed 250MW solar project and multiple community solar initiatives, demonstrates strong market interest.","OneEnergy Development, LLC (4/30/2026): The Root River Solar Project - a 6 Megawatt solar generation facility that will serve over 1,400 residences. Construction planned for spring 2026, featuring pollinator-friendly landscaping and environmental considerations.; Link: https://data.zoninghub.com/viewfile.aspx?fileid=86425; Peter Murphy (2/23/2025): New 32-acre private solar utility project under review by the Commission, including building, site, and operation plan review with opportunity for public comment.; Link: https://caledonia-wi.gov/sites/default/files/meetings/25plan0224%20Agenda%20Packet%20-%20Compressed.pdf; OneEnergy Development, LLC (1/29/2025): Root River Solar 6.000 MWAC solar photovoltaic system with single-axis trackers, occupying 101.70 acres of agricultural land with 24 inverters and security infrastructure.; Link: https://data.zoninghub.com/viewfile.aspx?fileid=86426"
https://app.sparkhq.ai/reports?location=947,Jefferson County,WI,,,No mentions of moratoria,GOOD,"- Multiple large solar projects have been approved and are under construction, including Crawfish River Solar (75MW), Badger State Solar (149MW), and Whitewater Solar (180MW) - The county has developed comprehensive solar ordinances and regulations to facilitate solar development while protecting community interests - Strong support from local government bodies, with unanimous approvals for projects and active engagement in developing renewable energy infrastructure","Whitewater Solar, LLC (12/20/2024): A large 180 MWac solar farm project that could power around 35,000 homes. The project is currently under PSC review and faces some community opposition regarding farmland conversion.; Link: https://whitewaterbanner.com/public-service-commission-considering-approval-of-massive-solar-farm-east-of-the-city/; Ranger Power LLC (10/20/2024): A 75MW solar PV park under construction, expected to complete in 2024. The project spans 500 acres and will supply renewable energy to approximately 20,000 households.; Link: https://www.power-technology.com/data-insights/power-plant-profile-ranger-power-jefferson-county-solar-pv-park-us/; Invenergy (12/31/2026): The Sinnissippi Solar Energy Center, a 100+ megawatt clean energy project that will power over 20,000 homes and represent a $172 million investment in Jefferson County.; Link: https://sinnissippisolar.invenergy.com/"
https://app.sparkhq.ai/reports?location=1139,Wood County,WI,,,No mentions of moratoria,GOOD,"- Multiple large solar projects have been approved and successfully completed, including the 150MW Wood County Solar Project and additional projects in development - Strong institutional support shown through regulatory approvals, battery storage additions, and financial commitments from utilities like Alliant Energy - Significant economic benefits highlighted, including $600,000 annual revenue for local governments and creation of hundreds of construction jobs","NextEra Energy Resources (1/8/2025): NextEra Energy Resources initiates permitting for two major solar-storage hybrid projects: Akron Solar (200MW solar + 200MW BESS) and Fox Solar (100MW solar + 50MW BESS), representing significant renewable energy infrastructure expansion in Wisconsin.; Link: https://www.energy-storage.news/nextera-energy-resources-commences-permitting-for-250mw-of-hybrid-bess-in-wisconsin/; we-energies, wisconsin-public-service, madison-gas-and-electric (10/1/2024): Wisconsin utilities propose nearly $2 billion investment in five renewable energy projects, including solar, wind, and battery storage, as part of their plan to eliminate coal by 2032 and achieve carbon-free electricity goals.; Link: https://urbanmilwaukee.com/2024/10/02/wisconsin-utilities-propose-1-9-billion-in-renewable-energy-projects; Invenergy, Qcells USA (9/29/2024): Joint application for Saratoga and Ursa Solar Projects with $902 million investment to construct utility-scale solar generation and battery storage systems, totaling 400 MW capacity with projected $2 billion customer savings over 20 years.; Link: https://apps.psc.wi.gov/ERF/ERFview/viewdoc.aspx?docid=518697"
https://app.sparkhq.ai/reports?location=1280,Portage County,WI,,,No mentions of moratoria,GOOD,"- **Strong regulatory support**: Multiple large solar projects have been approved, including Vista Sands (1.3GW) and Portage Solar (250MW), showing consistent regulatory backing. - **Active development pipeline**: The area has several solar projects in various stages of development, with strong corporate interest (e.g., Microsoft PPA) and utility support. - **Proactive planning**: The Town of Grant is developing a Solar Overlay Map and updating zoning codes to accommodate future solar projects, demonstrating forward-thinking policies.","Porchlight Solar Project, LLC (1/22/2025): Proposed 163.8 MW solar electric generation facility with battery storage system in Portage County, Wisconsin. Project spans 1,133 acres and is currently in public comment phase until February 28, 2025.; Link: https://apps.psc.wi.gov/pages/viewdoc.htm?docid=530523; Doral Renewables (12/12/2024): Vista Sands Solar Project approved - largest solar project in Wisconsin's history at 1.3 GW. Will power 200,000 homes, create 500 construction jobs, and provide $6.5M annually to local communities.; Link: https://cleantechnica.com/2024/12/13/giant-solar-power-project-to-highlight-water-conservation-grassland-restoration/; National Grid Renewables (12/30/2024): Portage Solar Project - 250 megawatt solar facility that will generate $25M over 25 years and reduce carbon emissions by 342,000 metric tons annually.; Link: https://nationalgridrenewables.com/in-development/portage-solar-project/"
