Detailed Report,County,State,Municipality,Permitted Uses,Mentions of Moratoria,Sentiment,Sentiment Detail,Recent Projects
https://app.sparkhq.ai/reports?location=222,Hampshire County,WV,,,No mentions of moratoria,MIXED,"- **Initial support**: A 20MW solar project was approved in 2021 with strong community backing and no protests. - **Growing opposition**: Recent community meetings show significant resistance to new solar/wind projects, with 170+ residents signing petitions against solar developments and vocal opposition to wind turbines. - **Regulatory balance**: County has implemented balanced regulations (500-acre limit on solar, specific setbacks) rather than outright bans, showing willingness to accommodate energy development with restrictions.",
https://app.sparkhq.ai/reports?location=229,Marion County,WV,,,No mentions of moratoria,GOOD,"- **Strong state support**: West Virginia Legislature has authorized up to 200 MW of solar capacity and the Public Service Commission actively approves new solar projects. - **Multiple successful projects**: Multiple solar farms have been approved and built, including the conversion of former coal sites to solar facilities, showing a clear trend toward renewable energy adoption. - **Economic benefits emphasized**: Projects consistently highlight local job creation, union labor involvement, and economic development opportunities, indicating strong community support.","Mon Power, Potomac Edison (10/17/2024): Completion of second utility-scale solar site in Marion County, West Virginia, generating 5.5 megawatts of clean power and employing 63 local workers. The 27-acre Rivesville site supports approximately 173 homes per megawatt.; Link: https://www.firstenergycorp.com/newsroom/news_articles/new-solar-site-in-marion-county-wv-generating-clean-energy.html; Mon Power and Potomac Edison (9/22/2024): Groundbreaking of third solar site at Marlowe, being built on a former ash landfill. The facility will generate 5.75 megawatts of renewable energy using American-made materials and local union workers.; Link: https://investors.firstenergycorp.com/investor-materials/news-releases/news-details/2024/Mon-Power-and-Potomac-Edison-Break-Ground-on-Third-Solar-Site/default.aspx; Mon Power and Potomac Edison (11/30/2024): Rivesville Solar Site construction featuring 14,000 solar panels with 5.5 megawatts capacity. Part of a larger initiative to develop 200 megawatts of renewable energy in West Virginia.; Link: https://www.firstenergycorp.com/content/dam/corporate/generationmap/files/Rivesville-Solar-Site-fact%20sheet.pdf"
https://app.sparkhq.ai/reports?location=232,Nicholas County,WV,,,No mentions of moratoria,GOOD,"- **Multiple approved projects**: Nicholas County has approved several major solar projects, including a 250MW solar facility and a 150MW Deep Lake Energy Center project. - **Strong government support**: The county has received significant federal funding ($129M DOE grant) and state regulatory approval for renewable energy projects. - **Community benefits emphasized**: Projects focus on job creation (300+ construction jobs), economic development, and repurposing former mine lands, with strong community engagement components.","Nicholas County Solar Project, LLC (9/30/2024): A 250 MW solar facility planned for former coal mines, focusing on community engagement and economic revitalization; Link: https://static1.squarespace.com/static/631a42f953b3e1079c5f318d/t/679a3bf40572e063b873882b/1738161151315/Factsheet_CEML_NicholasCounty_9.27.24.pdf; Deep Lake Energy Center, LLC (8/6/2024): Approved 150 MW solar plant to power 90,000 homes in Nicholas and Clay counties, $386M investment creating 300+ construction jobs; Link: https://www.wtrf.com/west-virginia/major-solar-plant-farm-that-can-serve-90000-homes-gets-approved-in-west-virginia/; Deep Lake Energy Center, LLC (8/4/2024): Solar plant approved for construction on 1,521 acres of reclaimed surface mine land, demonstrating sustainable land use practices; Link: https://www.wvnstv.com/news/west-virginia-news/new-west-virginia-solar-power-plant-receives-approval-for-construction/?nxsparam=1"
https://app.sparkhq.ai/reports?location=240,Preston County,WV,,,No mentions of moratoria,GOOD,"- **Active Development**: Multiple energy projects are currently in development, including a 45MW battery storage facility and a 99.6MW solar facility, showing strong project momentum. - **Supportive Regulatory Framework**: The state has established clear rules for siting solar facilities and created the WV Corridor H Advanced Energy Authority to promote renewable development. - **Historical Success**: Preston County has a track record of approving renewable projects, including wind power installations dating back to 2000, demonstrating long-term acceptance of energy development.",
https://app.sparkhq.ai/reports?location=244,Monongalia County,WV,,,No mentions of moratoria,GOOD,"- **Multiple approved projects**: Several solar projects have been approved and completed, including Mon Power's 80-acre solar site and multiple other facilities totaling 50MW, showing strong regulatory support. - **Active development**: Ongoing construction of new solar facilities and battery storage projects, with the PSC consistently approving new renewable energy initiatives. - **Public support**: Studies show residents are willing to pay more for renewable energy, with demonstrated support through successful project implementations and positive community engagement.","Mountain State Renewables (10/31/2024): A 70-megawatt solar array project on 127 acres in West Virginia is facing financing challenges. The county has extended the deadline for payment in lieu of taxes (PILT) agreements due to delays caused by unstable energy prices and supply chain issues.; Link: https://www.dominionpost.com/wp-content/uploads/paperpages/DP-2024-11-01.pdf; Mon Power and Potomac Edison (9/22/2024): Construction began on a new 5.75-megawatt solar facility being built on a former coal ash landfill site. The Marlowe solar project demonstrates sustainable land use practices and will be built using local union workers with American-made materials.; Link: https://investors.firstenergycorp.com/investor-materials/news-releases/news-details/2024/Mon-Power-and-Potomac-Edison-Break-Ground-on-Third-Solar-Site/default.aspx; mon-power-potomac-edison (9/23/2024): The Marlowe solar project, spanning 36 acres on a repurposed coal ash disposal site, is part of a broader solar program in West Virginia. The project aligns with state legislation promoting solar energy development and is scheduled for completion in 2025.; Link: https://www.power-eng.com/renewables/solar-energy/firstenergy-utilities-repurpose-former-coal-ash-site-for-utility-scale-solar"
https://app.sparkhq.ai/reports?location=368,Mingo County,WV,,,No mentions of moratoria,GOOD,"- **Active solar development**: Multiple solar projects are being implemented, including a notable micro-agrivoltaic array on reclaimed mine land. - **Supportive infrastructure**: The town has streamlined permitting processes for solar installations and offers support through city hall. - **Community engagement**: Strong local commitment to sustainability with no evidence of opposition, plus public utilities actively pursuing solar facility purchases.",
https://app.sparkhq.ai/reports?location=1448,Webster County,WV,,,,,,
https://app.sparkhq.ai/reports?location=1469,Kanawha County,WV,,,No mentions of moratoria,GOOD,"- **Active Development**: Multiple large-scale solar projects are being developed, including a 90MW Mammoth Solar facility and a 250MW project at the Hobet 21 Mine site. - **Supportive Infrastructure**: The state has established clear regulations for solar siting certificates and decommissioning requirements, showing institutional support for renewable energy. - **Local Support**: Cities like South Charleston are actively pursuing solar installations, and utilities like Appalachian Power are seeking proposals for renewable energy projects.",
https://app.sparkhq.ai/reports?location=2547,Hancock County,WV,,,No mentions of moratoria,GOOD,"- **Strong government support**: Multiple solar and battery storage projects have received approval and funding, including a $760M Form Energy battery facility and multiple utility-scale solar projects. - **Local leadership backing**: Hancock County commissioners unanimously support renewable energy projects, voting 3-0 for solar initiatives and actively working to attract clean energy businesses. - **Economic development focus**: The region is actively transitioning from traditional industries to renewable energy, with projects creating hundreds of jobs and significant investment in infrastructure.","Potomac Hills Energy (9/30/2024): Construction of a 100 MW solar power facility with 200 MW battery storage in Mineral County, representing a $243 million investment and expected to power 60,000 homes daily.; Link: https://www.wvtrades.org/wp-content/uploads/2024/10/ACT-October-2024.pdf; Form Energy (10/22/2024): Expansion of iron-air battery manufacturing facility in West Virginia, increasing employment from 300 to 750 jobs by 2028, with innovative multi-day energy storage technology.; Link: https://www.renewableenergyworld.com/energy-storage/long-duration/form-energy-expanding-west-virginia-iron-air-battery-factory/; Potomac Edison (9/22/2024): Construction of third solar facility (Marlowe Solar Project) in Berkeley County, generating 5.75 MW of solar power by 2025, part of larger 50 MW solar initiative.; Link: https://thedailyrecord.com/2024/09/23/potomac-edison-mon-power-break-ground-on-third-solar-site/"
https://app.sparkhq.ai/reports?location=2688,Wayne County,WV,,,No mentions of moratoria,GOOD,"- **Strong institutional support**: Wayne County Schools is implementing the largest solar project in Appalachian schools, demonstrating significant commitment to renewable energy. - **Financial investment**: The county has approved a $6.5 million Power Purchase Agreement for solar installations, showing willingness to invest in energy development. - **Community backing**: Local officials, schools, and legislators actively support renewable energy initiatives, with plans to create apprenticeship programs and job opportunities.",
