Detailed Report,County,State,Municipality,Permitted Uses,Mentions of Moratoria,Sentiment,Sentiment Detail,Recent Projects
https://app.sparkhq.ai/reports?location=1346,Albany County,WY,,,Mentions moratoria,MIXED,"- **Strong support from officials**: County has approved multiple large wind projects (Rail Tie, Rock Creek, Two Rivers) and actively promotes solar installations on government buildings. - **Significant local opposition**: Residents have submitted petitions against wind projects, raised concerns about visual impacts, and requested moratoriums on development. - **Balanced regulations**: County has established comprehensive wind and solar ordinances while rejecting proposed moratoriums, showing a measured approach to development.","unknown (12/18/2024): Two Rivers Wind Energy Project - BLM approved project featuring 38 wind turbines capable of producing 280 MW, enough to power 120,196 homes annually. Construction to begin summer 2025 with operations expected by 2027.; Link: https://goconow.com/blm-approves-two-rivers-wind-energy-project/; Lucky Star Wind, LLC (8/31/2024): Lucky Star Wind Project - 24.8-mile transmission line project to connect 500 MW of clean energy from Carbon and Albany Counties to PacifiCorp grid, including 202 wooden H-frame transmission structures.; Link: https://legalectric.org/f/2024/12/LS-I_TLine_Prelim_POD_Sept-2024.pdf; Repsol Renewables (12/30/2026): Rail Tie Wind Project - Large-scale 504 MW wind project in Albany County representing over $500 million investment, creating jobs and generating tax revenue for local services.; Link: https://www.railtiewind.com"
https://app.sparkhq.ai/reports?location=2959,Platte County,WY,,,No mentions of moratoria,GOOD,"- **Clear regulatory framework**: Platte County has established Wind Energy Siting Regulations since 2007 and has a detailed permitting process for both wind and solar facilities. - **Active development**: Multiple large-scale renewable projects are in development, including the 300MW Chugwater Wind project and a previously proposed 152MW wind facility. - **Supportive infrastructure**: The county is investing in necessary infrastructure upgrades and has received significant federal funding ($679M to Tri-State) to support the transition to renewable energy.",
https://app.sparkhq.ai/reports?location=3473,Crook County,WY,,,No mentions of moratoria,GOOD,"- **Proactive Regulation Development**: County has developed and approved comprehensive Wind and Solar Energy Facility Regulations in 2025, showing commitment to enabling energy development. - **Active Project Development**: Powder River Energy Corp is implementing a significant solar and battery storage project with $23.5M federal funding, demonstrating practical support for energy projects. - **Economic Benefits Recognition**: County officials acknowledge potential economic benefits, including tax revenue opportunities and cost savings, showing positive attitude towards energy development.",
https://app.sparkhq.ai/reports?location=4129,Sweetwater County,WY,,,No mentions of moratoria,GOOD,"- **Strong track record of approvals**: County has approved multiple major solar projects including the 80MW Sweetwater Solar facility and the 66MW Raven Solar project, demonstrating consistent support for renewable energy development. - **Proactive regulatory framework**: County has established comprehensive solar ordinances and regularly updates zoning regulations to accommodate utility-scale solar projects. - **Positive government stance**: Local officials consistently show support for renewable projects, with commissioners unanimously approving projects and actively working to integrate solar development into planning efforts.",
https://app.sparkhq.ai/reports?location=4441,Fremont County,WY,,,No mentions of moratoria,GOOD,"- **Active Development**: Multiple energy projects are being considered or implemented, including a pumped storage hydro project and an 80MW solar/battery facility. - **Supportive Infrastructure**: Fremont County has established clear regulations and application processes for wind and solar facilities, showing institutional support. - **Positive Local Response**: The town council's approval of residential solar installations and lack of restrictive zoning ordinances indicates openness to renewable energy development.",
https://app.sparkhq.ai/reports?location=4443,Sheridan County,WY,,,No mentions of moratoria,MIXED,"- **Regulatory Framework**: County has established specific fees and regulations for solar energy facilities, showing willingness to accommodate projects but with strict oversight. - **Project Rejection**: A major 20MW solar project was unanimously denied due to application deficiencies, despite public support, indicating high standards for approval. - **Recent Progress**: County is actively working on amending solar energy facility rules and receiving federal funding for renewable projects, suggesting openness to future development.",
https://app.sparkhq.ai/reports?location=4445,Converse County,WY,,,No mentions of moratoria,GOOD,"- **Active project development**: Multiple large-scale renewable projects are being approved and developed, including the 499MW Dutchman solar project and 150MW Settler wind project. - **Supportive regulations**: County has recently updated and adopted comprehensive wind and solar siting regulations in 2024, showing commitment to renewable development. - **Strong economic benefits**: Projects are bringing significant economic advantages including job creation (400+ construction jobs) and substantial tax revenue ($200M+ from Dutchman project alone).","Enbridge (4/14/2025): Hardy Wind project securing 13,055 acres for a 290 MW wind energy facility, with environmental studies completed and mitigation measures in place; Link: https://www.conversecountywy.gov/AgendaCenter/ViewFile/Item/3135?fileID=3366; BrightNight (11/17/2024): 499 MW solar power facility with battery storage system approved in Converse County, expected to create hundreds of construction jobs; Link: https://www.thecheyennepost.com/business/new-solar-power-plant-approved-for-converse-county/article_c5e8e816-a2af-11ef-b95e-fbda7878e697.html; DUTC bn LLC (10/15/2024): 499 MW solar installation planned on 4,700-acre site near Glenrock, with $2.7M infrastructure funding request from Casper City Council; Link: https://oilcity.news/community/2024/10/15/casper-asks-state-for-2-7-million-if-converse-county-solar-farm-is-built"
https://app.sparkhq.ai/reports?location=4447,Lincoln County,WY,,,No mentions of moratoria,GOOD,"- **Multiple approved projects**: Lincoln County has approved several solar projects, including the 80MW Lincoln Solar 1 project and other utility-scale solar farms, showing a track record of supporting energy development. - **Supportive regulations**: The county has established regulations for both commercial and non-commercial wind energy projects, demonstrating a framework for renewable energy development. - **Local government support**: The Kemmerer City Council is actively working on creating amendments to enhance renewable energy implementation, and county commissioners have shown support for various energy projects including solar and nuclear developments.",
https://app.sparkhq.ai/reports?location=4453,Natrona County,WY,,,No mentions of moratoria,MIXED,"- **Recent project history is mixed**: Approved large solar project in 2020 but denied another in 2025 and implemented temporary freeze on applications. - **Strong community opposition**: Recent projects faced significant pushback from residents concerned about safety, property values, and environmental impacts. - **Has regulatory framework**: County has established wind and solar regulations, showing willingness to accommodate projects with proper oversight.","EG Haystack Solar LLC (2/4/2025): The Natrona County commissioners denied the permit for a 2,000-acre solar farm (199-megawatt solar energy system and 100-megawatt battery system) after a nearly six-hour public hearing. The denial came due to safety concerns, wildlife impact, and property value issues raised by residents.; Link: https://oilcity.news/local-2/2025/02/05/natrona-county-commissioners-deny-permit-for-2k-acre-solar-farm-northwest-of-casper/; EG Haystack Solar LLC (11/13/2024): Natrona County Planners approved a 2,000-acre solar farm with 199 MW capacity and 100 MW battery storage. The project promised $45 million in property taxes and 250 construction jobs over three decades.; Link: https://cowboystatedaily.com/2024/11/14/natrona-county-planners-ok-2-000-acre-solar-farm-west-of-casper; DUTC bn LLC (10/15/2024): DUTC bn LLC proposed a 499-megawatt solar installation on 4,700 acres near Glenrock. Casper City Council requested $2.7 million in state funding to support public infrastructure affected by the proposed solar farm.; Link: https://oilcity.news/community/2024/10/15/casper-asks-state-for-2-7-million-if-converse-county-solar-farm-is-built"
https://app.sparkhq.ai/reports?location=4582,Laramie County,WY,,,No mentions of moratoria,GOOD,"- **Strong regulatory support**: Laramie County has comprehensive regulations for renewable energy and has consistently approved major solar and wind projects, including multiple utility-scale facilities. - **Recent project approvals**: The county has approved several significant projects in 2023-2024, including the $1.2B Cowboy Solar Project and South Cheyenne Solar Facility, demonstrating ongoing commitment to energy development. - **Legislative backing**: Wyoming senators recently rejected a proposed moratorium on wind and solar projects, indicating state-level support for continued renewable energy development.","Enbridge (3/4/2025): Construction agreement reached with Cheyenne County officials for a $1.2 billion, 771-megawatt solar facility that will include over 1.2 million solar panels.; Link: https://www.okenergytoday.com/2025/03/agreement-allows-construction-of-1-2-billion-solar-farm-to-be-built-in-southern-wyoming/; Enbridge (9/10/2024): Proposal for Cowboy Solar I & II and BESS Project, featuring two 400 MW solar phases each with 136 MW battery storage systems.; Link: https://fugitive-emissions-journal.com/cowboy-solar-i-ii-and-bess-project; Enbridge Inc. (8/20/2024): Cowboy Solar project receives construction permit for $1.2 billion facility, to be developed in two phases with 400 MW solar power and 136 MW battery storage in first phase.; Link: https://verum-news.com/2024/08/21/enbridges-771-mw-cowboy-solar-project-in-wyoming-receives-construction-permit/"
